,SMA
2024-06-04,684.4982
2024-06-03,683.9574
2024-05-31,683.4434
2024-05-30,683.0219
2024-05-29,682.3267
2024-05-28,681.4705
2024-05-24,680.5653
2024-05-23,679.5761
2024-05-22,678.4026
2024-05-21,677.2794
2024-05-20,676.2264
2024-05-17,675.1986
2024-05-16,674.2731
2024-05-15,673.3470
2024-05-14,672.5661
2024-05-13,671.7538
2024-05-10,671.0796
2024-05-09,670.3242
2024-05-08,669.6163
2024-05-07,668.9670
2024-05-06,668.2703
2024-05-03,667.6584
2024-05-02,667.1630
2024-05-01,666.6471
2024-04-30,666.0919
2024-04-29,665.3936
2024-04-26,664.6104
2024-04-25,663.8459
2024-04-24,663.1075
2024-04-23,662.1026
2024-04-22,661.2430
2024-04-19,660.4118
2024-04-18,659.5688
2024-04-17,658.6886
2024-04-16,657.7336
2024-04-15,656.7934
2024-04-12,655.6431
2024-04-11,654.5378
2024-04-10,653.3944
2024-04-09,652.2556
2024-04-08,651.0053
2024-04-05,649.8776
2024-04-04,648.8769
2024-04-03,647.9068
2024-04-02,646.9595
2024-04-01,645.9588
2024-03-28,644.9189
2024-03-27,643.8157
2024-03-26,642.5878
2024-03-25,641.3408
2024-03-22,640.2783
2024-03-21,639.1871
2024-03-20,638.0275
2024-03-19,636.9544
2024-03-18,635.8784
2024-03-15,634.8250
2024-03-14,633.7572
2024-03-13,632.4898
2024-03-12,631.1309
2024-03-11,629.7929
2024-03-08,628.5704
2024-03-07,627.2579
2024-03-06,626.0656
2024-03-05,624.8130
2024-03-04,623.3793
2024-03-01,621.8288
2024-02-29,620.2353
2024-02-28,618.6651
2024-02-27,617.1175
2024-02-26,615.4521
2024-02-23,613.7647
2024-02-22,612.0725
2024-02-21,610.3625
2024-02-20,608.8728
2024-02-16,607.3251
2024-02-15,605.7064
2024-02-14,604.0129
2024-02-13,602.3591
2024-02-12,600.7353
2024-02-09,598.9148
2024-02-08,597.2368
2024-02-07,595.6468
2024-02-06,594.0837
2024-02-05,592.5059
2024-02-02,590.9709
2024-02-01,589.4917
2024-01-31,587.9713
2024-01-30,586.4157
2024-01-29,584.8557
2024-01-26,583.3820
2024-01-25,581.8766
2024-01-24,580.3073
2024-01-23,578.7726
2024-01-22,577.3906
2024-01-19,575.9668
2024-01-18,574.5223
2024-01-17,573.0257
2024-01-16,571.6134
2024-01-12,570.1311
2024-01-11,568.6522
2024-01-10,567.2069
2024-01-09,565.8636
2024-01-08,564.5966
2024-01-05,563.4113
2024-01-04,562.2312
2024-01-03,561.0475
2024-01-02,559.8870
2023-12-29,558.5159
2023-12-28,557.0745
2023-12-27,555.6553
2023-12-26,554.2135
2023-12-22,552.8527
2023-12-21,551.5546
2023-12-20,550.2725
2023-12-19,548.9801
2023-12-18,547.6791
2023-12-15,546.3681
2023-12-14,545.1354
2023-12-13,543.7451
2023-12-12,542.2884
2023-12-11,540.9190
2023-12-08,539.5850
2023-12-07,538.3398
2023-12-06,537.1001
2023-12-05,535.8092
2023-12-04,534.6620
2023-12-01,533.4920
2023-11-30,532.3597
2023-11-29,531.2329
2023-11-28,530.1743
2023-11-27,529.1292
2023-11-24,528.1204
2023-11-22,527.0907
2023-11-21,526.0015
2023-11-20,524.9552
