,ADX
2024-06-04,17.4415
2024-06-03,17.3887
2024-05-31,17.3384
2024-05-30,17.2916
2024-05-29,17.2365
2024-05-28,17.1774
2024-05-24,17.1189
2024-05-23,17.0747
2024-05-22,17.0306
2024-05-21,17.0055
2024-05-20,16.9815
2024-05-17,16.9566
2024-05-16,16.9324
2024-05-15,16.9011
2024-05-14,16.8715
2024-05-13,16.8481
2024-05-10,16.8258
2024-05-09,16.8013
2024-05-08,16.7773
2024-05-07,16.7495
2024-05-06,16.7216
2024-05-03,16.6934
2024-05-02,16.6708
2024-05-01,16.6543
2024-04-30,16.6382
2024-04-29,16.6062
2024-04-26,16.5758
2024-04-25,16.5452
2024-04-24,16.5246
2024-04-23,16.5009
2024-04-22,16.4799
2024-04-19,16.4644
2024-04-18,16.4488
2024-04-17,16.4109
2024-04-16,16.3676
2024-04-15,16.3167
2024-04-12,16.2655
2024-04-11,16.2085
2024-04-10,16.1512
2024-04-09,16.1003
2024-04-08,16.0492
2024-04-05,15.9847
2024-04-04,15.9205
2024-04-03,15.8560
2024-04-02,15.7820
2024-04-01,15.7082
2024-03-28,15.6282
2024-03-27,15.5495
2024-03-26,15.4705
2024-03-25,15.3785
2024-03-22,15.2821
2024-03-21,15.1890
2024-03-20,15.0995
2024-03-19,15.0139
2024-03-18,14.9279
2024-03-15,14.8334
2024-03-14,14.7441
2024-03-13,14.6530
2024-03-12,14.5542
2024-03-11,14.4549
2024-03-08,14.3613
2024-03-07,14.2579
2024-03-06,14.1632
2024-03-05,14.0745
2024-03-04,13.9931
2024-03-01,13.9101
2024-02-29,13.8389
2024-02-28,13.7728
2024-02-27,13.7089
2024-02-26,13.6446
2024-02-23,13.5743
2024-02-22,13.5037
2024-02-21,13.4420
2024-02-20,13.4056
2024-02-16,13.3625
2024-02-15,13.2978
2024-02-14,13.2340
2024-02-13,13.1698
2024-02-12,13.1074
2024-02-09,13.0372
2024-02-08,12.9732
2024-02-07,12.9128
2024-02-06,12.8537
2024-02-05,12.7956
2024-02-02,12.7330
2024-02-01,12.6784
2024-01-31,12.6336
2024-01-30,12.5914
