,EMA
2024-06-04,696.9629
2024-06-03,692.3378
2024-05-31,687.8767
2024-05-30,683.4815
2024-05-29,678.8281
2024-05-28,674.2887
2024-05-24,669.9860
2024-05-23,666.2225
2024-05-22,662.6645
2024-05-21,659.7309
2024-05-20,656.9548
2024-05-17,654.1356
2024-05-16,651.2258
2024-05-15,648.2324
2024-05-14,645.4540
2024-05-13,642.9363
2024-05-10,640.3051
2024-05-09,637.6648
2024-05-08,634.9754
2024-05-07,632.3641
2024-05-06,629.5643
2024-05-03,626.9080
2024-05-02,624.3859
2024-05-01,622.1740
2024-04-30,619.8769
2024-04-29,617.3393
2024-04-26,614.7405
2024-04-25,612.4952
2024-04-24,610.7247
2024-04-23,608.4258
2024-04-22,606.4234
2024-04-19,604.6687
2024-04-18,602.3893
2024-04-17,599.9041
2024-04-16,597.0552
2024-04-15,594.3694
2024-04-12,591.3887
2024-04-11,588.3176
2024-04-10,585.4447
2024-04-09,582.8941
2024-04-08,579.9645
2024-04-05,576.8790
2024-04-04,573.9469
2024-04-03,570.6295
2024-04-02,567.4719
2024-04-01,564.2862
2024-03-28,560.8824
2024-03-27,557.4745
2024-03-26,553.7196
2024-03-25,549.6517
2024-03-22,545.7349
2024-03-21,542.0601
2024-03-20,538.2318
2024-03-19,534.6167
2024-03-18,531.2765
2024-03-15,527.5320
2024-03-14,524.0975
2024-03-13,520.3624
2024-03-12,516.4412
2024-03-11,512.7828
2024-03-08,509.2503
2024-03-07,504.8071
2024-03-06,500.8198
2024-03-05,497.0070
2024-03-04,493.4325
2024-03-01,489.9371
2024-02-29,486.8215
2024-02-28,483.7657
2024-02-27,480.8273
2024-02-26,477.6824
2024-02-23,474.4738
2024-02-22,471.1234
2024-02-21,468.3188
2024-02-20,466.1913
2024-02-16,463.6463
2024-02-15,460.8595
2024-02-14,458.0678
2024-02-13,455.3151
2024-02-12,452.8164
2024-02-09,450.0714
2024-02-08,447.5066
2024-02-07,444.9621
2024-02-06,442.5684
2024-02-05,440.0189
2024-02-02,437.5849
2024-02-01,435.5538
2024-01-31,433.6905
2024-01-30,431.8748
2024-01-29,429.8942
2024-01-26,428.0612
2024-01-25,426.2372
2024-01-24,424.2552
2024-01-23,422.4589
2024-01-22,420.7182
2024-01-19,418.9120
2024-01-18,417.2946
2024-01-17,415.7342
2024-01-16,414.2499
2024-01-12,412.8842
2024-01-11,411.5448
2024-01-10,410.1538
2024-01-09,408.8879
2024-01-08,407.7313
2024-01-05,406.8534
2024-01-04,406.0722
2024-01-03,405.3530
2024-01-02,404.6550
2023-12-29,403.7731
2023-12-28,402.8252
2023-12-27,401.8849
2023-12-26,400.9483
2023-12-22,400.0570
2023-12-21,399.1338
2023-12-20,398.2400
2023-12-19,397.2523
2023-12-18,396.2780
2023-12-15,395.2963
2023-12-14,394.4259
2023-12-13,393.5270
2023-12-12,392.6956
2023-12-11,392.0150
2023-12-08,391.1822
2023-12-07,390.4312
2023-12-06,389.7625
2023-12-05,388.9349
2023-12-04,388.2748
2023-12-01,387.5469
2023-11-30,386.7668
2023-11-29,385.8282
2023-11-28,384.8444
2023-11-27,383.8652
2023-11-24,382.9199
2023-11-22,381.8978
2023-11-21,380.7266
2023-11-20,379.5160
2023-11-17,378.3751
2023-11-16,377.2014
2023-11-15,376.1008
2023-11-14,374.8630
2023-11-13,373.6383
2023-11-10,372.5380
2023-11-09,371.5091
2023-11-08,370.4731
2023-11-07,369.5640
2023-11-06,368.6841
2023-11-03,367.8390
2023-11-02,367.1125
2023-11-01,366.4483
2023-10-31,366.0229
2023-10-30,365.6369
2023-10-27,365.1830
2023-10-26,364.7202
2023-10-25,364.1801
2023-10-24,363.4793
2023-10-23,362.8037
2023-10-20,362.3071
2023-10-19,361.7390
2023-10-18,361.0727
2023-10-17,360.4218
2023-10-16,359.6227
2023-10-13,358.7088
2023-10-12,357.5951
2023-10-11,356.4886
2023-10-10,355.4294
2023-10-09,354.4485
2023-10-06,353.5049
2023-10-05,352.6169
2023-10-04,351.7344
2023-10-03,350.8740
2023-10-02,349.8978
2023-09-29,348.9900
2023-09-28,348.0934
2023-09-27,347.3252
2023-09-26,346.5624
2023-09-25,345.8249
2023-09-22,345.1212
2023-09-21,344.4124
2023-09-20,343.6953
2023-09-19,342.7684
2023-09-18,341.8087
2023-09-15,340.9484
2023-09-14,339.8189
2023-09-13,338.6168
2023-09-12,337.5384
2023-09-11,336.4352
2023-09-08,335.1792
2023-09-07,333.9313
2023-09-06,332.7128
2023-09-05,331.1890
2023-09-01,329.6723
2023-08-31,327.9856
2023-08-30,326.3204
2023-08-29,324.6722
2023-08-28,323.2463
2023-08-25,321.8247
2023-08-24,320.3355
2023-08-23,318.5094
2023-08-22,317.1020
2023-08-21,315.4525
2023-08-18,314.1522
2023-08-17,313.0257
2023-08-16,311.7537
2023-08-15,310.4136
2023-08-14,309.0561
2023-08-11,308.0943
2023-08-10,306.9957
2023-08-09,305.8449
2023-08-08,304.4702
2023-08-07,303.0235
2023-08-04,301.5364
2023-08-03,300.0469
2023-08-02,298.6616
2023-08-01,297.0582
2023-07-31,295.3756
2023-07-28,293.6465
2023-07-27,291.9087
2023-07-26,290.1683
2023-07-25,288.4605
2023-07-24,286.8441
2023-07-21,285.2325
2023-07-20,283.4985
2023-07-19,281.6748
2023-07-18,279.7367
2023-07-17,277.8557
2023-07-14,275.9973
2023-07-13,274.0906
2023-07-12,272.3722
2023-07-11,270.7858
2023-07-10,269.2389
2023-07-07,267.6588
2023-07-06,266.0964
2023-07-05,264.5664
2023-07-03,262.9917
2023-06-30,261.3629
2023-06-29,259.8018
2023-06-28,258.2372
2023-06-27,256.7471
2023-06-26,255.2282
2023-06-23,253.5269
2023-06-22,251.8082
2023-06-21,250.0935
2023-06-20,248.2362
2023-06-16,246.4107
2023-06-15,244.5214
2023-06-14,242.6984
2023-06-13,241.0357
2023-06-12,239.4204
2023-06-09,237.8879
2023-06-08,236.3564
2023-06-07,234.9415
2023-06-06,233.3926
2023-06-05,231.8372
2023-06-02,230.2582
2023-06-01,228.5439
2023-05-31,226.9740
