,RSI
2024-06-05,62.1883
2024-06-04,61.8042
2024-06-03,61.4971
2024-05-31,61.3345
2024-05-30,61.8371
2024-05-29,61.6019
2024-05-28,61.1840
2024-05-24,60.2973
2024-05-23,59.9167
2024-05-22,58.8516
2024-05-21,58.5413
2024-05-20,58.5770
2024-05-17,58.7230
2024-05-16,58.8506
2024-05-15,58.4458
2024-05-14,57.9609
2024-05-13,58.1675
2024-05-10,58.1382
2024-05-09,58.1907
2024-05-08,58.0149
2024-05-07,58.3921
2024-05-06,58.1056
2024-05-03,57.8348
2024-05-02,57.2613
2024-05-01,57.4074
2024-04-30,57.9136
2024-04-29,57.9972
2024-04-26,57.3460
2024-04-25,56.4658
2024-04-24,57.6817
2024-04-23,57.1064
2024-04-22,56.6148
2024-04-19,57.8642
2024-04-18,58.3262
2024-04-17,59.1969
2024-04-16,58.8509
2024-04-15,59.5530
2024-04-12,59.7128
2024-04-11,59.3007
2024-04-10,58.6556
2024-04-09,59.6015
2024-04-08,59.9456
2024-04-05,59.6073
2024-04-04,60.5902
2024-04-03,60.2360
2024-04-02,60.2293
2024-04-01,60.7500
2024-03-28,60.6954
2024-03-27,61.5828
2024-03-26,62.3816
2024-03-25,62.0399
2024-03-22,61.5304
2024-03-21,61.8725
2024-03-20,61.4115
2024-03-19,60.8284
2024-03-18,61.9373
2024-03-15,61.2787
2024-03-14,62.0970
2024-03-13,62.5612
2024-03-12,61.9862
2024-03-11,61.6705
2024-03-08,64.5371
2024-03-07,63.5737
2024-03-06,63.1465
2024-03-05,62.5839
2024-03-04,62.3462
2024-03-01,61.4667
2024-02-29,61.2692
2024-02-28,60.9452
2024-02-27,61.5573
2024-02-26,61.6690
2024-02-23,62.0515
2024-02-22,60.7708
2024-02-21,59.0985
2024-02-20,60.5403
2024-02-16,61.3539
2024-02-15,61.2984
2024-02-14,61.1380
2024-02-13,60.4528
2024-02-12,61.2971
2024-02-09,60.7851
2024-02-08,60.6701
2024-02-07,60.2265
2024-02-06,60.7357
2024-02-05,60.3785
2024-02-02,59.2629
2024-02-01,58.7534
2024-01-31,58.5719
2024-01-30,59.1449
2024-01-29,58.6854
2024-01-26,58.6099
2024-01-25,59.1598
2024-01-24,58.5908
2024-01-23,58.3838
2024-01-22,58.5739
2024-01-19,57.9886
2024-01-18,57.7786
2024-01-17,57.5138
2024-01-16,57.1245
2024-01-12,57.0071
2024-01-11,57.1554
2024-01-10,56.7469
2024-01-09,56.3834
2024-01-08,55.4985
2024-01-05,55.1696
2024-01-04,54.9503
2024-01-03,54.8612
2024-01-02,55.5433
2023-12-29,55.7664
2023-12-28,55.7136
2023-12-27,55.6726
2023-12-26,55.5042
2023-12-22,55.5920
2023-12-21,55.4734
2023-12-20,55.7994
2023-12-19,55.7285
2023-12-18,55.7212
2023-12-15,55.3512
2023-12-14,55.4261
2023-12-13,55.1919
2023-12-12,54.6993
2023-12-11,55.2510
2023-12-08,54.9708
2023-12-07,54.6888
2023-12-06,55.2716
2023-12-05,54.7172
2023-12-04,54.9525
2023-12-01,55.1266
2023-11-30,55.7140
2023-11-29,55.8543
2023-11-28,55.8097
2023-11-27,55.6739
2023-11-24,55.9368
2023-11-22,56.4841
2023-11-21,56.5934
2023-11-20,56.3438
2023-11-17,56.4279
2023-11-16,56.1685
2023-11-15,56.6674
2023-11-14,56.5895
2023-11-13,56.1714
2023-11-10,55.9167
2023-11-09,55.9064
2023-11-08,55.4792
2023-11-07,55.3593
2023-11-06,55.2224
2023-11-03,54.8213
2023-11-02,54.5999
2023-11-01,53.8041
2023-10-31,53.6606
2023-10-30,53.9052
2023-10-27,53.9217
2023-10-26,54.1993
2023-10-25,54.7993
2023-10-24,54.6956
2023-10-23,54.0925
2023-10-20,54.3500
2023-10-19,54.7111
2023-10-18,54.6394
2023-10-17,55.1957
2023-10-16,55.6208
2023-10-13,56.3920
2023-10-12,56.3339
2023-10-11,56.1493
2023-10-10,55.8662
2023-10-09,55.7159
2023-10-06,55.5069
2023-10-05,55.4608
2023-10-04,55.3617
2023-10-03,55.7892
2023-10-02,55.5399
2023-09-29,55.4747
2023-09-28,55.0330
2023-09-27,54.9908
2023-09-26,54.8840
2023-09-25,54.7510
2023-09-22,54.7448
2023-09-21,54.7491
2023-09-20,55.5431
2023-09-19,55.6359
2023-09-18,55.2900
2023-09-15,56.3344
2023-09-14,56.5842
2023-09-13,56.1554
2023-09-12,56.2119
2023-09-11,56.7925
2023-09-08,56.7275
2023-09-07,56.5960
2023-09-06,57.8182
2023-09-05,57.7490
2023-09-01,58.4091
2023-08-31,58.2913
2023-08-30,58.1877
2023-08-29,57.4434
2023-08-28,57.3850
2023-08-25,57.6116
2023-08-24,59.0133
2023-08-23,57.6204
2023-08-22,58.6550
2023-08-21,57.4348
2023-08-18,56.7869
2023-08-17,57.4113
2023-08-16,57.6712
2023-08-15,57.6901
2023-08-14,56.2365
2023-08-11,56.8398
2023-08-10,57.0367
2023-08-09,58.0710
2023-08-08,58.3594
2023-08-07,58.4882
2023-08-04,58.4437
2023-08-03,58.0220
2023-08-02,59.0437
2023-08-01,59.3656
2023-07-31,59.5169
2023-07-28,59.4869
2023-07-27,59.4351
2023-07-26,59.2618
2023-07-25,58.8828
2023-07-24,58.8087
2023-07-21,59.3446
2023-07-20,59.7129
2023-07-19,60.2078
2023-07-18,59.9444
2023-07-17,59.8015
2023-07-14,59.9533
2023-07-13,59.2297
2023-07-12,58.6955
2023-07-11,58.4944
2023-07-10,58.5849
2023-07-07,58.4632
2023-07-06,58.2892
2023-07-05,58.4375
2023-07-03,58.6324
2023-06-30,58.3295
2023-06-29,58.2852
2023-06-28,57.9578
2023-06-27,58.0280
2023-06-26,58.8755
2023-06-23,58.8770
2023-06-22,58.8014
2023-06-21,59.4448
2023-06-20,59.2660
2023-06-16,59.5005
2023-06-15,59.1992
2023-06-14,58.5559
2023-06-13,58.3213
2023-06-12,57.9553
2023-06-09,57.8944
2023-06-08,57.4005
2023-06-07,58.0147
2023-06-06,57.9813
2023-06-05,58.0221
2023-06-02,58.6395
2023-06-01,58.0381
2023-05-31,58.5645
2023-05-30,59.1560
2023-05-26,58.1277
2023-05-25,58.4705
2023-05-24,55.0036
2023-05-23,55.4412
2023-05-22,55.3970
2023-05-19,55.7503
2023-05-18,55.2467
2023-05-17,54.8718
2023-05-16,54.5308
2023-05-15,54.3774
2023-05-12,54.3886
2023-05-11,54.5900
2023-05-10,54.6498
2023-05-09,54.6017
2023-05-08,54.4306
2023-05-05,54.1127
2023-05-04,54.0327
2023-05-03,54.1344
2023-05-02,54.5885
2023-05-01,54.2063
2023-04-28,53.9238
2023-04-27,53.9981
2023-04-26,53.8324
2023-04-25,53.8730
2023-04-24,53.8434
2023-04-21,53.8156
2023-04-20,54.1976
2023-04-19,54.0577
2023-04-18,54.1493
2023-04-17,53.7115
2023-04-14,53.6835
2023-04-13,53.8045
2023-04-12,54.1400
2023-04-11,54.3273
2023-04-10,53.9232
2023-04-06,53.8152
2023-04-05,53.9441
2023-04-04,54.5473
2023-04-03,54.3432
2023-03-31,54.1778
2023-03-30,54.2249
2023-03-29,54.0443
2023-03-28,53.8749
2023-03-27,54.0796
2023-03-24,54.1815
2023-03-23,54.2257
2023-03-22,53.9196
2023-03-21,53.8106
2023-03-20,53.5584
2023-03-17,53.7480
2023-03-16,52.8633
2023-03-15,52.7409
2023-03-14,52.6190
2023-03-13,52.2750
2023-03-10,52.6106
2023-03-09,53.0054
2023-03-08,52.6881
2023-03-07,52.7463
2023-03-06,52.8939
2023-03-03,52.6314
2023-03-02,52.2457
2023-03-01,52.6064
2023-02-28,52.6989
2023-02-27,52.8521
2023-02-24,52.6476
2023-02-23,52.7576
2023-02-22,51.4753
2023-02-21,51.6248
2023-02-17,51.9480
2023-02-16,52.2068
2023-02-15,52.4221
2023-02-14,51.9620
2023-02-13,51.9429
2023-02-10,52.0209
2023-02-09,52.4935
2023-02-08,52.3906
2023-02-07,51.9151
2023-02-06,51.6396
2023-02-03,51.7389
2023-02-02,51.7389
2023-02-01,51.1107
2023-01-31,50.8571
2023-01-30,51.2530
2023-01-27,51.0158
2023-01-26,51.1370
2023-01-25,50.7528
2023-01-24,50.7109
2023-01-23,50.3365
2023-01-20,49.8129
2023-01-19,49.8253
2023-01-18,50.1390
2023-01-17,49.7559
2023-01-13,49.4434
2023-01-12,49.3535
2023-01-11,49.2221
2023-01-10,49.0543
2023-01-09,48.9416
2023-01-06,48.5304
2023-01-05,48.5385
2023-01-04,48.5749
2023-01-03,48.7105
2022-12-30,48.4498
2022-12-29,48.4821
2022-12-28,48.2426
2022-12-27,48.7875
2022-12-23,48.8459
2022-12-22,49.2775
2022-12-21,49.2874
2022-12-20,49.2627
2022-12-19,49.5068
2022-12-16,49.6476
2022-12-15,49.7835
2022-12-14,50.1914
2022-12-13,50.4575
2022-12-12,49.7292
2022-12-09,49.7892
2022-12-08,49.3511
2022-12-07,49.1015
2022-12-06,49.4685
2022-12-05,49.5409
2022-12-02,49.5310
2022-12-01,49.6954
2022-11-30,49.0511
2022-11-29,49.1118
2022-11-28,49.2073
2022-11-25,49.3473
2022-11-23,49.2390
2022-11-22,48.8582
2022-11-21,48.7683
2022-11-18,49.1573
2022-11-17,49.0334
2022-11-16,49.2459
2022-11-15,49.5137
2022-11-14,49.2669
2022-11-11,49.0649
2022-11-10,48.5647
2022-11-09,48.2442
2022-11-08,48.5456
2022-11-07,48.2574
2022-11-04,48.1353
2022-11-03,47.6565
2022-11-02,48.0341
2022-11-01,48.0143
2022-10-31,47.9976
2022-10-28,47.6561
2022-10-27,47.9004
2022-10-26,47.5132
2022-10-25,47.4235
2022-10-24,47.3288
2022-10-21,47.1196
2022-10-20,47.1263
2022-10-19,47.0073
2022-10-18,47.2175
2022-10-17,46.7971
2022-10-14,47.0403
2022-10-13,46.4826
2022-10-12,46.7569
2022-10-11,46.7477
2022-10-10,46.9625
2022-10-07,47.1746
2022-10-06,47.5007
2022-10-05,47.3440
2022-10-04,47.3280
2022-10-03,47.0589
2022-09-30,46.9270
2022-09-29,47.0890
2022-09-28,47.0699
2022-09-27,47.1132
2022-09-26,47.1052
2022-09-23,47.0699
2022-09-22,47.3576
2022-09-21,47.4211
2022-09-20,47.4218
2022-09-19,47.3228
2022-09-16,47.1907
2022-09-15,47.3102
2022-09-14,47.4143
2022-09-13,47.6539
2022-09-12,47.9032
2022-09-09,47.8016
2022-09-08,47.4661
2022-09-07,47.5114
2022-09-06,47.5826
2022-09-02,47.7427
