,SMA
2024-06-04,645.9039
2024-06-03,642.3161
2024-05-31,638.8605
2024-05-30,635.4619
2024-05-29,631.7532
2024-05-28,628.1877
2024-05-24,624.7832
2024-05-23,621.7740
2024-05-22,618.9149
2024-05-21,616.3971
2024-05-20,613.9660
2024-05-17,611.4681
2024-05-16,609.0408
2024-05-15,606.6179
2024-05-14,604.3315
2024-05-13,602.1845
2024-05-10,599.9862
2024-05-09,597.7716
2024-05-08,595.4918
2024-05-07,593.2538
2024-05-06,590.9879
2024-05-03,588.8433
2024-05-02,586.8266
2024-05-01,584.9387
2024-04-30,582.9989
2024-04-29,580.9656
2024-04-26,578.8113
2024-04-25,576.7717
2024-04-24,574.9520
2024-04-23,572.8869
2024-04-22,570.9642
2024-04-19,569.1508
2024-04-18,567.0996
2024-04-17,564.9766
2024-04-16,562.6432
2024-04-15,560.3991
2024-04-12,557.9769
2024-04-11,555.5315
2024-04-10,553.2832
2024-04-09,551.2097
2024-04-08,548.9499
2024-04-05,546.6895
2024-04-04,544.4957
2024-04-03,542.1475
2024-04-02,539.8531
2024-04-01,537.4715
2024-03-28,534.9655
2024-03-27,532.4252
2024-03-26,529.7211
2024-03-25,526.8144
2024-03-22,524.0628
2024-03-21,521.4467
2024-03-20,518.7766
2024-03-19,516.2911
2024-03-18,513.8800
2024-03-15,511.3344
2024-03-14,509.0171
2024-03-13,506.4322
2024-03-12,503.8051
2024-03-11,500.9127
2024-03-08,498.1409
2024-03-07,494.9286
2024-03-06,491.9971
2024-03-05,489.1161
2024-03-04,486.3315
2024-03-01,483.5668
2024-02-29,480.9921
2024-02-28,478.4636
2024-02-27,476.0272
2024-02-26,473.5082
2024-02-23,470.9680
2024-02-22,468.3544
2024-02-21,465.9942
2024-02-20,463.9763
2024-02-16,461.7707
2024-02-15,459.4995
2024-02-14,457.1979
2024-02-13,454.8988
2024-02-12,452.7468
2024-02-09,450.4667
2024-02-08,448.2937
2024-02-07,446.1405
2024-02-06,444.0719
2024-02-05,441.9737
2024-02-02,439.9303
2024-02-01,438.1081
2024-01-31,436.3311
2024-01-30,434.5841
2024-01-29,432.7756
2024-01-26,431.0822
2024-01-25,429.4202
2024-01-24,427.6436
2024-01-23,425.9574
2024-01-22,424.3201
2024-01-19,422.7157
2024-01-18,421.1914
2024-01-17,419.6851
2024-01-16,418.2290
2024-01-12,416.8191
2024-01-11,415.4102
2024-01-10,414.0018
2024-01-09,412.6723
2024-01-08,411.4078
2024-01-05,410.2531
2024-01-04,409.1388
2024-01-03,408.0309
2024-01-02,406.9555
2023-12-29,405.6944
2023-12-28,404.3916
2023-12-27,403.0840
2023-12-26,401.7458
2023-12-22,400.4677
2023-12-21,399.2164
2023-12-20,397.9500
2023-12-19,396.6470
2023-12-18,395.3700
2023-12-15,394.0655
2023-12-14,392.7798
2023-12-13,391.5195
2023-12-12,390.3062
2023-12-11,389.1870
2023-12-08,387.9733
2023-12-07,386.8151
2023-12-06,385.5651
2023-12-05,384.2540
2023-12-04,383.0619
2023-12-01,381.8645
2023-11-30,380.6654
2023-11-29,379.3430
2023-11-28,378.0008
2023-11-27,376.6733
2023-11-24,375.4134
2023-11-22,374.1090
2023-11-21,372.6854
2023-11-20,371.2193
2023-11-17,369.8035
2023-11-16,368.3772
2023-11-15,366.9277
2023-11-14,365.3893
2023-11-13,363.9027
2023-11-10,362.4597
2023-11-09,361.0696
2023-11-08,359.6418
2023-11-07,358.2780
2023-11-06,356.8951
2023-11-03,355.4814
2023-11-02,354.1321
2023-11-01,352.8490
2023-10-31,351.6496
2023-10-30,350.4409
2023-10-27,349.1915
2023-10-26,347.9269
2023-10-25,346.6095
2023-10-24,345.2038
2023-10-23,343.7736
2023-10-20,342.4367
2023-10-19,341.0705
2023-10-18,339.6724
2023-10-17,338.2596
2023-10-16,336.7796
2023-10-13,335.2229
2023-10-12,333.6285
2023-10-11,332.0495
2023-10-10,330.5443
2023-10-09,329.0845
2023-10-06,327.6455
2023-10-05,326.2644
2023-10-04,324.9050
2023-10-03,323.5751
2023-10-02,322.2340
2023-09-29,320.9589
2023-09-28,319.6193
2023-09-27,318.3542
2023-09-26,317.0513
2023-09-25,315.7398
2023-09-22,314.4866
2023-09-21,313.2419
2023-09-20,311.9956
2023-09-19,310.6655
2023-09-18,309.2586
2023-09-15,307.9123
2023-09-14,306.4463
2023-09-13,304.9645
2023-09-12,303.5392
2023-09-11,302.0684
2023-09-08,300.5182
2023-09-07,299.0192
2023-09-06,297.5284
