,EMA
2024-06-04,113.3416
2024-06-03,113.2845
2024-05-31,113.2419
2024-05-30,113.2082
2024-05-29,113.1383
2024-05-28,113.0392
2024-05-24,112.9367
2024-05-23,112.8314
2024-05-22,112.6935
2024-05-21,112.5735
2024-05-20,112.4541
2024-05-17,112.3400
2024-05-16,112.2311
2024-05-15,112.1335
2024-05-14,112.0527
2024-05-13,112.0080
2024-05-10,111.9566
2024-05-09,111.9044
2024-05-08,111.8492
2024-05-07,111.7903
2024-05-06,111.7279
2024-05-03,111.6817
2024-05-02,111.6385
2024-05-01,111.6024
2024-04-30,111.5792
2024-04-29,111.5439
2024-04-26,111.4892
2024-04-25,111.4334
2024-04-24,111.4113
2024-04-23,111.3714
2024-04-22,111.3332
2024-04-19,111.2860
2024-04-18,111.2375
2024-04-17,111.1619
2024-04-16,111.0632
2024-04-15,110.9725
2024-04-12,110.8598
2024-04-11,110.7505
2024-04-10,110.6402
2024-04-09,110.5326
2024-04-08,110.3937
2024-04-05,110.2510
2024-04-04,110.1126
2024-04-03,109.9410
2024-04-02,109.8012
2024-04-01,109.6574
2024-03-28,109.5018
2024-03-27,109.3462
2024-03-26,109.1696
2024-03-25,108.9971
2024-03-22,108.8136
2024-03-21,108.6148
2024-03-20,108.3989
2024-03-19,108.1862
2024-03-18,107.9938
2024-03-15,107.8049
2024-03-14,107.6457
2024-03-13,107.4531
2024-03-12,107.2507
2024-03-11,107.0638
2024-03-08,107.0217
2024-03-07,106.9546
2024-03-06,106.8881
2024-03-05,106.8454
2024-03-04,106.7890
2024-03-01,106.7244
2024-02-29,106.6783
2024-02-28,106.6316
2024-02-27,106.5887
2024-02-26,106.5518
2024-02-23,106.5007
2024-02-22,106.4491
2024-02-21,106.4020
2024-02-20,106.4019
2024-02-16,106.3639
2024-02-15,106.3007
2024-02-14,106.2245
2024-02-13,106.1469
2024-02-12,106.0737
2024-02-09,105.9751
2024-02-08,105.8675
2024-02-07,105.7586
2024-02-06,105.6614
2024-02-05,105.5539
2024-02-02,105.4574
2024-02-01,105.3570
2024-01-31,105.2847
2024-01-30,105.2028
2024-01-29,105.1245
2024-01-26,105.0371
2024-01-25,104.9443
2024-01-24,104.8481
2024-01-23,104.7656
2024-01-22,104.7137
2024-01-19,104.6635
2024-01-18,104.6203
2024-01-17,104.5999
2024-01-16,104.5847
2024-01-12,104.5698
2024-01-11,104.5679
2024-01-10,104.5735
2024-01-09,104.5917
2024-01-08,104.6066
2024-01-05,104.6306
2024-01-04,104.6590
2024-01-03,104.6853
2024-01-02,104.7065
2023-12-29,104.7158
2023-12-28,104.7044
2023-12-27,104.6988
2023-12-26,104.6901
2023-12-22,104.6793
2023-12-21,104.6765
2023-12-20,104.6837
2023-12-19,104.6785
2023-12-18,104.6829
2023-12-15,104.7030
2023-12-14,104.7605
2023-12-13,104.7967
2023-12-12,104.8413
2023-12-11,104.8701
2023-12-08,104.7887
2023-12-07,104.7241
2023-12-06,104.6548
2023-12-05,104.5596
2023-12-04,104.4671
2023-12-01,104.3567
2023-11-30,104.2472
2023-11-29,104.1288
2023-11-28,104.0043
2023-11-27,103.8920
2023-11-24,103.7785
2023-11-22,103.6590
2023-11-21,103.5362
2023-11-20,103.4071
2023-11-17,103.2922
