,RSI
2024-06-05,53.1111
2024-06-04,52.6454
2024-06-03,52.3788
2024-05-31,52.2100
2024-05-30,52.9211
2024-05-29,53.4922
2024-05-28,53.5432
2024-05-24,53.5798
2024-05-23,54.2205
2024-05-22,53.8839
2024-05-21,53.8540
2024-05-20,53.7382
2024-05-17,53.6294
2024-05-16,53.4113
2024-05-15,53.0981
2024-05-14,52.4384
2024-05-13,52.5647
2024-05-10,52.5687
2024-05-09,52.6165
2024-05-08,52.6800
2024-05-07,52.7374
2024-05-06,52.4403
2024-05-03,52.3779
2024-05-02,52.2443
2024-05-01,52.0084
2024-04-30,52.2379
2024-04-29,52.6098
2024-04-26,52.6196
2024-04-25,52.0125
2024-04-24,52.3550
2024-04-23,52.3175
2024-04-22,52.4859
2024-04-19,52.5034
2024-04-18,53.0221
2024-04-17,53.4639
2024-04-16,53.3087
2024-04-15,53.7274
2024-04-12,53.6511
2024-04-11,53.6477
2024-04-10,53.5840
2024-04-09,54.1846
2024-04-08,54.2341
2024-04-05,54.1360
2024-04-04,54.7769
2024-04-03,54.2103
2024-04-02,54.2610
2024-04-01,54.4695
2024-03-28,54.4442
2024-03-27,54.8374
2024-03-26,54.7402
2024-03-25,54.9268
2024-03-22,55.1996
2024-03-21,55.5087
2024-03-20,55.4199
2024-03-19,55.0503
2024-03-18,54.9597
2024-03-15,54.4298
2024-03-14,55.0807
2024-03-13,55.2394
2024-03-12,54.9476
2024-03-11,52.3453
2024-03-08,52.8554
2024-03-07,52.8313
2024-03-06,52.3753
2024-03-05,52.6492
2024-03-04,52.8075
2024-03-01,52.4520
2024-02-29,52.4520
2024-02-28,52.3735
2024-02-27,52.2540
2024-02-26,52.5369
2024-02-23,52.5369
2024-02-22,52.4427
2024-02-21,51.5554
2024-02-20,52.3317
2024-02-16,52.8513
2024-02-15,53.1115
2024-02-14,53.1263
2024-02-13,53.0276
2024-02-12,53.5504
2024-02-09,53.7211
2024-02-08,53.7275
2024-02-07,53.4908
2024-02-06,53.6899
2024-02-05,53.4681
2024-02-02,53.5292
2024-02-01,52.9924
2024-01-31,53.1815
2024-01-30,53.0982
2024-01-29,53.2721
2024-01-26,53.3663
2024-01-25,53.4185
2024-01-24,53.1502
2024-01-23,52.5715
2024-01-22,52.5286
2024-01-19,52.3909
2024-01-18,51.9540
2024-01-17,51.8540
2024-01-16,51.8446
2024-01-12,51.5980
2024-01-11,51.4565
2024-01-10,51.2179
2024-01-09,51.2899
