,SMA
2024-06-04,113.5656
2024-06-03,113.5430
2024-05-31,113.5349
2024-05-30,113.5231
2024-05-29,113.4821
2024-05-28,113.4231
2024-05-24,113.3697
2024-05-23,113.3232
2024-05-22,113.2595
2024-05-21,113.2075
2024-05-20,113.1558
2024-05-17,113.1068
2024-05-16,113.0693
2024-05-15,113.0380
2024-05-14,113.0130
2024-05-13,113.0077
2024-05-10,113.0036
2024-05-09,112.9986
2024-05-08,112.9953
2024-05-07,112.9902
2024-05-06,112.9764
2024-05-03,112.9759
2024-05-02,112.9937
2024-05-01,113.0051
2024-04-30,113.0235
2024-04-29,113.0326
2024-04-26,113.0269
2024-04-25,113.0138
2024-04-24,113.0106
2024-04-23,112.9970
2024-04-22,112.9873
2024-04-19,112.9724
2024-04-18,112.9662
2024-04-17,112.9541
2024-04-16,112.9399
2024-04-15,112.9096
2024-04-12,112.8744
2024-04-11,112.8403
2024-04-10,112.8133
2024-04-09,112.7961
2024-04-08,112.7738
2024-04-05,112.7520
2024-04-04,112.7454
2024-04-03,112.7362
2024-04-02,112.7180
2024-04-01,112.6718
2024-03-28,112.6540
2024-03-27,112.5927
2024-03-26,112.4891
2024-03-25,112.3783
2024-03-22,112.2701
2024-03-21,112.1537
2024-03-20,112.0252
2024-03-19,111.9025
2024-03-18,111.7828
2024-03-15,111.6639
2024-03-14,111.5628
2024-03-13,111.4431
2024-03-12,111.2942
2024-03-11,111.1477
2024-03-08,111.0897
2024-03-07,111.0264
2024-03-06,110.9633
2024-03-05,110.8994
2024-03-04,110.8240
2024-03-01,110.7370
2024-02-29,110.6628
2024-02-28,110.5874
2024-02-27,110.5137
2024-02-26,110.4396
2024-02-23,110.3556
2024-02-22,110.2760
2024-02-21,110.1886
2024-02-20,110.1247
2024-02-16,110.0425
2024-02-15,109.9472
2024-02-14,109.8451
2024-02-13,109.7400
2024-02-12,109.6378
2024-02-09,109.5205
2024-02-08,109.4061
2024-02-07,109.2926
2024-02-06,109.1838
2024-02-05,109.0752
2024-02-02,108.9706
