,SMA
2024-06-04,28.7287
2024-06-03,28.7526
2024-05-31,28.7775
2024-05-30,28.8075
2024-05-29,28.8394
2024-05-28,28.8691
2024-05-24,28.8965
2024-05-23,28.9236
2024-05-22,28.9505
2024-05-21,28.9757
2024-05-20,29.0006
2024-05-17,29.0257
2024-05-16,29.0518
2024-05-15,29.0792
2024-05-14,29.1099
2024-05-13,29.1411
2024-05-10,29.1765
2024-05-09,29.2098
2024-05-08,29.2480
2024-05-07,29.2886
2024-05-06,29.3234
2024-05-03,29.3578
2024-05-02,29.3926
2024-05-01,29.4285
2024-04-30,29.4697
2024-04-29,29.5152
2024-04-26,29.5596
2024-04-25,29.6061
2024-04-24,29.6453
2024-04-23,29.6844
2024-04-22,29.7228
2024-04-19,29.7660
2024-04-18,29.8140
2024-04-17,29.8619
2024-04-16,29.9067
2024-04-15,29.9498
2024-04-12,29.9949
2024-04-11,30.0405
2024-04-10,30.0859
2024-04-09,30.1384
2024-04-08,30.1908
2024-04-05,30.2453
2024-04-04,30.3024
2024-04-03,30.3565
2024-04-02,30.4075
2024-04-01,30.4625
2024-03-28,30.5134
2024-03-27,30.5610
2024-03-26,30.6104
2024-03-25,30.6599
2024-03-22,30.7072
2024-03-21,30.7556
2024-03-20,30.8010
2024-03-19,30.8466
2024-03-18,30.8907
2024-03-15,30.9283
2024-03-14,30.9673
2024-03-13,31.0082
2024-03-12,31.0511
2024-03-11,31.1014
2024-03-08,31.1493
2024-03-07,31.1913
2024-03-06,31.2308
2024-03-05,31.2720
2024-03-04,31.3195
2024-03-01,31.3652
2024-02-29,31.4095
2024-02-28,31.4542
2024-02-27,31.4993
2024-02-26,31.5467
2024-02-23,31.5906
2024-02-22,31.6342
2024-02-21,31.6780
2024-02-20,31.7207
2024-02-16,31.7682
2024-02-15,31.8164
2024-02-14,31.8647
2024-02-13,31.9129
2024-02-12,31.9580
2024-02-09,32.0056
2024-02-08,32.0559
2024-02-07,32.1083
2024-02-06,32.1603
2024-02-05,32.2166
2024-02-02,32.2731
2024-02-01,32.3325
2024-01-31,32.3915
2024-01-30,32.4519
2024-01-29,32.5090
2024-01-26,32.5683
2024-01-25,32.6278
2024-01-24,32.6834
2024-01-23,32.7412
2024-01-22,32.7965
2024-01-19,32.8531
2024-01-18,32.9076
2024-01-17,32.9614
2024-01-16,33.0140
2024-01-12,33.0632
2024-01-11,33.1133
2024-01-10,33.1632
2024-01-09,33.2084
2024-01-08,33.2528
2024-01-05,33.3009
2024-01-04,33.3514
2024-01-03,33.3947
2024-01-02,33.4394
2023-12-29,33.4868
2023-12-28,33.5333
2023-12-27,33.5819
2023-12-26,33.6276
2023-12-22,33.6736
2023-12-21,33.7248
2023-12-20,33.7783
2023-12-19,33.8338
2023-12-18,33.8938
2023-12-15,33.9547
2023-12-14,34.0154
2023-12-13,34.0754
2023-12-12,34.1375
2023-12-11,34.1927
2023-12-08,34.2498
2023-12-07,34.3087
2023-12-06,34.3689
2023-12-05,34.4282
2023-12-04,34.4872
2023-12-01,34.5484
2023-11-30,34.6111
2023-11-29,34.6704
2023-11-28,34.7305
2023-11-27,34.7880
2023-11-24,34.8454
2023-11-22,34.9018
2023-11-21,34.9595
2023-11-20,35.0207
2023-11-17,35.0833
2023-11-16,35.1424
2023-11-15,35.2010
2023-11-14,35.2606
2023-11-13,35.3244
2023-11-10,35.3891
2023-11-09,35.4517
2023-11-08,35.5126
2023-11-07,35.5729
2023-11-06,35.6331
2023-11-03,35.6932
2023-11-02,35.7528
2023-11-01,35.8180
2023-10-31,35.8876
2023-10-30,35.9630
2023-10-27,36.0375
2023-10-26,36.1101
2023-10-25,36.1879
2023-10-24,36.2743
2023-10-23,36.3583
2023-10-20,36.4417
2023-10-19,36.5263
2023-10-18,36.6128
2023-10-17,36.6949
2023-10-16,36.7736
2023-10-13,36.8533
2023-10-12,36.9362
2023-10-11,37.0169
2023-10-10,37.0963
2023-10-09,37.1773
2023-10-06,37.2566
2023-10-05,37.3352
2023-10-04,37.4210
2023-10-03,37.5093
2023-10-02,37.5939
2023-09-29,37.6825
2023-09-28,37.7694
2023-09-27,37.8560
2023-09-26,37.9335
2023-09-25,38.0077
2023-09-22,38.0863
2023-09-21,38.1641
2023-09-20,38.2384
2023-09-19,38.3087
2023-09-18,38.3783
2023-09-15,38.4447
2023-09-14,38.5098
2023-09-13,38.5728
2023-09-12,38.6362
2023-09-11,38.6979
2023-09-08,38.7571
2023-09-07,38.8189
2023-09-06,38.8756
2023-09-05,38.9332
2023-09-01,38.9900
2023-08-31,39.0420
2023-08-30,39.0883
2023-08-29,39.1356
2023-08-28,39.1808
2023-08-25,39.2246
2023-08-24,39.2704
2023-08-23,39.3160
2023-08-22,39.3535
2023-08-21,39.3961
2023-08-18,39.4411
2023-08-17,39.4832
2023-08-16,39.5243
2023-08-15,39.5668
2023-08-14,39.6062
2023-08-11,39.6430
2023-08-10,39.6798
2023-08-09,39.7075
2023-08-08,39.7362
2023-08-07,39.7640
2023-08-04,39.7991
2023-08-03,39.8304
2023-08-02,39.8593
2023-08-01,39.8808
2023-07-31,39.9027
2023-07-28,39.9211
2023-07-27,39.9419
2023-07-26,39.9635
2023-07-25,39.9903
2023-07-24,40.0162
2023-07-21,40.0426
2023-07-20,40.0711
2023-07-19,40.1020
2023-07-18,40.1343
2023-07-17,40.1697
2023-07-14,40.2022
2023-07-13,40.2318
2023-07-12,40.2658
2023-07-11,40.2953
2023-07-10,40.3327
2023-07-07,40.3714
2023-07-06,40.4133
2023-07-05,40.4540
2023-07-03,40.4929
2023-06-30,40.5327
2023-06-29,40.5781
2023-06-28,40.6289
2023-06-27,40.6732
2023-06-26,40.7099
2023-06-23,40.7449
2023-06-22,40.7731
2023-06-21,40.8038
2023-06-20,40.8259
2023-06-16,40.8495
2023-06-15,40.8740
2023-06-14,40.9008
2023-06-13,40.9290
