,EMA
2024-06-04,63.8432
2024-06-03,63.8503
2024-05-31,63.8584
2024-05-30,63.8698
2024-05-29,63.8808
2024-05-28,63.9075
2024-05-24,63.9236
2024-05-23,63.9435
2024-05-22,63.9576
2024-05-21,63.9592
2024-05-20,63.9549
2024-05-17,63.9492
2024-05-16,63.9478
2024-05-15,63.9514
2024-05-14,63.9398
2024-05-13,63.9353
2024-05-10,63.9403
2024-05-09,63.9338
2024-05-08,63.9344
2024-05-07,63.9191
2024-05-06,63.8974
2024-05-03,63.8762
2024-05-02,63.8384
2024-05-01,63.8096
2024-04-30,63.7776
2024-04-29,63.7150
2024-04-26,63.6921
2024-04-25,63.6877
2024-04-24,63.6899
2024-04-23,63.6856
2024-04-22,63.6887
2024-04-19,63.6952
2024-04-18,63.7123
2024-04-17,63.7109
2024-04-16,63.7102
2024-04-15,63.7174
2024-04-12,63.7039
2024-04-11,63.6871
2024-04-10,63.6654
2024-04-09,63.6508
2024-04-08,63.6176
2024-04-05,63.5984
2024-04-04,63.5873
2024-04-03,63.5632
2024-04-02,63.5540
2024-04-01,63.5500
2024-03-28,63.5153
2024-03-27,63.4816
2024-03-26,63.4390
2024-03-25,63.4058
2024-03-22,63.3918
2024-03-21,63.3612
2024-03-20,63.3417
2024-03-19,63.3393
2024-03-18,63.3350
2024-03-15,63.3371
2024-03-14,63.3445
2024-03-13,63.3529
2024-03-12,63.3868
2024-03-11,63.4229
2024-03-08,63.4673
2024-03-07,63.5150
2024-03-06,63.5658
2024-03-05,63.6143
2024-03-04,63.6555
2024-03-01,63.6881
2024-02-29,63.7199
2024-02-28,63.7512
2024-02-27,63.7919
2024-02-26,63.8344
2024-02-23,63.8836
2024-02-22,63.9342
2024-02-21,63.9962
2024-02-20,64.0557
2024-02-16,64.1142
2024-02-15,64.1670
2024-02-14,64.2203
2024-02-13,64.2769
2024-02-12,64.3412
2024-02-09,64.3988
2024-02-08,64.4811
2024-02-07,64.5465
2024-02-06,64.5465
2024-02-05,64.5718
2024-02-02,64.5977
2024-02-01,64.6259
2024-01-31,64.6572
2024-01-30,64.6738
2024-01-29,64.6917
2024-01-26,64.7268
2024-01-25,64.7711
2024-01-24,64.7842
2024-01-23,64.7721
2024-01-22,64.7746
2024-01-19,64.7420
2024-01-18,64.7595
2024-01-17,64.8024
2024-01-16,64.8766
2024-01-12,64.9251
2024-01-11,64.9565
2024-01-10,64.9998
2024-01-09,65.0405
2024-01-08,65.0883
2024-01-05,65.1354
2024-01-04,65.2098
2024-01-03,65.2820
2024-01-02,65.3281
2023-12-29,65.3694
2023-12-28,65.3932
2023-12-27,65.4210
2023-12-26,65.4487
2023-12-22,65.4839
2023-12-21,65.5172
2023-12-20,65.5504
2023-12-19,65.5766
2023-12-18,65.6146
2023-12-15,65.6568
2023-12-14,65.6898
2023-12-13,65.7175
2023-12-12,65.7877
2023-12-11,65.8520
2023-12-08,65.9198
2023-12-07,65.9968
2023-12-06,66.0662
2023-12-05,66.1490
2023-12-04,66.2178
2023-12-01,66.2860
2023-11-30,66.3730
2023-11-29,66.4566
2023-11-28,66.5292
2023-11-27,66.6303
2023-11-24,66.7372
2023-11-22,66.8451
2023-11-21,66.9562
2023-11-20,67.0608
2023-11-17,67.1665
2023-11-16,67.2700
2023-11-15,67.3636
2023-11-14,67.4677
2023-11-13,67.5881
2023-11-10,67.7202
2023-11-09,67.8547
2023-11-08,67.9759
2023-11-07,68.1130
2023-11-06,68.2504
2023-11-03,68.3670
2023-11-02,68.4971
2023-11-01,68.6323
2023-10-31,68.8003
2023-10-30,68.9783
2023-10-27,69.1595
2023-10-26,69.3369
2023-10-25,69.5162
2023-10-24,69.6867
2023-10-23,69.8455
2023-10-20,70.0157
2023-10-19,70.1767
2023-10-18,70.3226
2023-10-17,70.4612
2023-10-16,70.6014
2023-10-13,70.7471
2023-10-12,70.8903
2023-10-11,71.0189
2023-10-10,71.1487
2023-10-09,71.2812
2023-10-06,71.4248
2023-10-05,71.5715
2023-10-04,71.7039
2023-10-03,71.8406
2023-10-02,71.9808
2023-09-29,72.1151
2023-09-28,72.2484
2023-09-27,72.3975
2023-09-26,72.5316
2023-09-25,72.6747
2023-09-22,72.8268
2023-09-21,72.9655
2023-09-20,73.0964
2023-09-19,73.2022
2023-09-18,73.3138
2023-09-15,73.4140
2023-09-14,73.5019
2023-09-13,73.5985
2023-09-12,73.7070
2023-09-11,73.8258
2023-09-08,73.9474
2023-09-07,74.0717
2023-09-06,74.1930
2023-09-05,74.3043
2023-09-01,74.4141
2023-08-31,74.5275
2023-08-30,74.6462
2023-08-29,74.7695
2023-08-28,74.9015
2023-08-25,75.0353
2023-08-24,75.1765
2023-08-23,75.3120
2023-08-22,75.4530
2023-08-21,75.6091
2023-08-18,75.7714
2023-08-17,75.9562
2023-08-16,76.1265
2023-08-15,76.2942
2023-08-14,76.4302
2023-08-11,76.5737
2023-08-10,76.7175
2023-08-09,76.8594
2023-08-08,76.9977
2023-08-07,77.1306
