,SMA
2024-06-04,60.7184
2024-06-03,60.6978
2024-05-31,60.6798
2024-05-30,60.6799
2024-05-29,60.6768
2024-05-28,60.6820
2024-05-24,60.6835
2024-05-23,60.6893
2024-05-22,60.6954
2024-05-21,60.6916
2024-05-20,60.6936
2024-05-17,60.7045
2024-05-16,60.7560
2024-05-15,60.8190
2024-05-14,60.8679
2024-05-13,60.9112
2024-05-10,60.9657
2024-05-09,61.0072
2024-05-08,61.0562
2024-05-07,61.0941
2024-05-06,61.1274
2024-05-03,61.1615
2024-05-02,61.1956
2024-05-01,61.2295
2024-04-30,61.2571
2024-04-29,61.2704
2024-04-26,61.2973
2024-04-25,61.3352
2024-04-24,61.3661
2024-04-23,61.3795
2024-04-22,61.3936
2024-04-19,61.4169
2024-04-18,61.4471
2024-04-17,61.4635
2024-04-16,61.4750
2024-04-15,61.4916
2024-04-12,61.4965
2024-04-11,61.5040
2024-04-10,61.5091
2024-04-09,61.5206
2024-04-08,61.5234
2024-04-05,61.5405
2024-04-04,61.5526
2024-04-03,61.5524
2024-04-02,61.5456
2024-04-01,61.5466
2024-03-28,61.5293
2024-03-27,61.5130
2024-03-26,61.4944
2024-03-25,61.4817
2024-03-22,61.4839
2024-03-21,61.4739
2024-03-20,61.4677
2024-03-19,61.4685
2024-03-18,61.4617
2024-03-15,61.4553
2024-03-14,61.4475
2024-03-13,61.4325
2024-03-12,61.4413
2024-03-11,61.4505
2024-03-08,61.4707
2024-03-07,61.4818
2024-03-06,61.4990
2024-03-05,61.5126
2024-03-04,61.5208
2024-03-01,61.5277
2024-02-29,61.5338
2024-02-28,61.5513
2024-02-27,61.5701
2024-02-26,61.6047
2024-02-23,61.6577
2024-02-22,61.7420
2024-02-21,61.8180
2024-02-20,61.8864
2024-02-16,61.9573
2024-02-15,62.0371
2024-02-14,62.1230
2024-02-13,62.2012
2024-02-12,62.2768
2024-02-09,62.3398
2024-02-08,62.4283
2024-02-07,62.5104
2024-02-06,62.5547
2024-02-05,62.6166
2024-02-02,62.6831
2024-02-01,62.7627
2024-01-31,62.8393
2024-01-30,62.9003
2024-01-29,62.9544
2024-01-26,63.0181
2024-01-25,63.0966
2024-01-24,63.1516
2024-01-23,63.1880
2024-01-22,63.2409
2024-01-19,63.2781
2024-01-18,63.3413
2024-01-17,63.4114
2024-01-16,63.4989
2024-01-12,63.5647
2024-01-11,63.6212
2024-01-10,63.6920
2024-01-09,63.7469
2024-01-08,63.8102
2024-01-05,63.8925
2024-01-04,63.9745
2024-01-03,64.0494
2024-01-02,64.1157
2023-12-29,64.1768
2023-12-28,64.2223
2023-12-27,64.2796
2023-12-26,64.3293
2023-12-22,64.3993
2023-12-21,64.4732
2023-12-20,64.5380
2023-12-19,64.6060
2023-12-18,64.6817
2023-12-15,64.7454
2023-12-14,64.7967
2023-12-13,64.8501
2023-12-12,64.9241
2023-12-11,64.9988
2023-12-08,65.0708
2023-12-07,65.1589
2023-12-06,65.2403
2023-12-05,65.3197
2023-12-04,65.4041
2023-12-01,65.4913
2023-11-30,65.5858
2023-11-29,65.6906
2023-11-28,65.7977
2023-11-27,65.9122
2023-11-24,66.0408
2023-11-22,66.1726
2023-11-21,66.3039
2023-11-20,66.4378
2023-11-17,66.5821
2023-11-16,66.7313
2023-11-15,66.8482
2023-11-14,66.9617
2023-11-13,67.0886
2023-11-10,67.2192
2023-11-09,67.3479
2023-11-08,67.4617
2023-11-07,67.5870
2023-11-06,67.7039
2023-11-03,67.8057
2023-11-02,67.9099
2023-11-01,68.0337
2023-10-31,68.1748
2023-10-30,68.3120
2023-10-27,68.4523
2023-10-26,68.5881
2023-10-25,68.7151
2023-10-24,68.8374
2023-10-23,68.9518
2023-10-20,69.0737
2023-10-19,69.1843
2023-10-18,69.2745
2023-10-17,69.3392
2023-10-16,69.3986
2023-10-13,69.4587
2023-10-12,69.5210
2023-10-11,69.5708
2023-10-10,69.6229
2023-10-09,69.6772
2023-10-06,69.7341
2023-10-05,69.7953
2023-10-04,69.8503
2023-10-03,69.9162
2023-10-02,69.9953
2023-09-29,70.0874
2023-09-28,70.1588
2023-09-27,70.2415
2023-09-26,70.3217
2023-09-25,70.3886
2023-09-22,70.4678
2023-09-21,70.5427
2023-09-20,70.6271
2023-09-19,70.7098
2023-09-18,70.7878
2023-09-15,70.8672
2023-09-14,70.9436
2023-09-13,71.0271
2023-09-12,71.1107
2023-09-11,71.2020
2023-09-08,71.3146
2023-09-07,71.4410
2023-09-06,71.5541
2023-09-05,71.6866
2023-09-01,71.8322
2023-08-31,71.9673
2023-08-30,72.0863
2023-08-29,72.1950
2023-08-28,72.2869
2023-08-25,72.3697
2023-08-24,72.4474
2023-08-23,72.5140
2023-08-22,72.5983
2023-08-21,72.7143
2023-08-18,72.8420
2023-08-17,72.9826
2023-08-16,73.1180
2023-08-15,73.2635
2023-08-14,73.3902
2023-08-11,73.5103
2023-08-10,73.6217
2023-08-09,73.7268
2023-08-08,73.8347
2023-08-07,73.9377
2023-08-04,74.0597
2023-08-03,74.1492
2023-08-02,74.2370
2023-08-01,74.2619
2023-07-31,74.2986
2023-07-28,74.3446
2023-07-27,74.4163
2023-07-26,74.5055
2023-07-25,74.6072
2023-07-24,74.6939
2023-07-21,74.7764
2023-07-20,74.8504
2023-07-19,74.9261
2023-07-18,75.0021
2023-07-17,75.0638
2023-07-14,75.1280
2023-07-13,75.2000
2023-07-12,75.2777
2023-07-11,75.3734
2023-07-10,75.4906
2023-07-07,75.6172
2023-07-06,75.7513
2023-07-05,75.8872
2023-07-03,76.0225
2023-06-30,76.1707
2023-06-29,76.3112
2023-06-28,76.4661
2023-06-27,76.6169
2023-06-26,76.7505
2023-06-23,76.8756
2023-06-22,76.9943
2023-06-21,77.1252
2023-06-20,77.2418
2023-06-16,77.3833
2023-06-15,77.5199
2023-06-14,77.6595
2023-06-13,77.8232
2023-06-12,77.9762
2023-06-09,78.1238
2023-06-08,78.2689
2023-06-07,78.4182
2023-06-06,78.5814
2023-06-05,78.7530
2023-06-02,78.9329
2023-06-01,79.1271
