,EMA
2024-06-04,152.8915
2024-06-03,152.3586
2024-05-31,151.7837
2024-05-30,151.2188
2024-05-29,150.6481
2024-05-28,150.0738
2024-05-24,149.4080
2024-05-23,148.8689
2024-05-22,148.3044
2024-05-21,147.7639
2024-05-20,147.2871
2024-05-17,146.8257
2024-05-16,146.3706
2024-05-15,145.8900
2024-05-14,145.4545
2024-05-13,145.0696
2024-05-10,144.6942
2024-05-09,144.3269
2024-05-08,143.9658
2024-05-07,143.6438
2024-05-06,143.2614
2024-05-03,142.8805
2024-05-02,142.4925
2024-05-01,142.1684
2024-04-30,141.9507
2024-04-29,141.6836
2024-04-26,141.4541
2024-04-25,141.2453
2024-04-24,141.0226
2024-04-23,140.7998
2024-04-22,140.6039
2024-04-19,140.4352
2024-04-18,140.2323
2024-04-17,140.0167
2024-04-16,139.7302
2024-04-15,139.4380
2024-04-12,139.0952
2024-04-11,138.7689
2024-04-10,138.4453
2024-04-09,138.1110
2024-04-08,137.7449
2024-04-05,137.3984
2024-04-04,137.0760
2024-04-03,136.7022
2024-04-02,136.3746
2024-04-01,136.0390
2024-03-28,135.7220
2024-03-27,135.3936
2024-03-26,135.0584
2024-03-25,134.7338
2024-03-22,134.4076
2024-03-21,134.0615
2024-03-20,133.6999
2024-03-19,133.4012
2024-03-18,133.0796
2024-03-15,132.7065
2024-03-14,132.3678
2024-03-13,132.0006
2024-03-12,131.6136
2024-03-11,131.2057
2024-03-08,130.8329
2024-03-07,130.3981
2024-03-06,130.0111
2024-03-05,129.6681
2024-03-04,129.3226
2024-03-01,128.9697
2024-02-29,128.6706
2024-02-28,128.3937
2024-02-27,128.1227
2024-02-26,127.8396
2024-02-23,127.5710
2024-02-22,127.3028
2024-02-21,127.0411
2024-02-20,126.8259
2024-02-16,126.5881
2024-02-15,126.2923
2024-02-14,126.0181
2024-02-13,125.7780
2024-02-12,125.5484
2024-02-09,125.3128
2024-02-08,125.0885
2024-02-07,124.8834
2024-02-06,124.6931
2024-02-05,124.5074
2024-02-02,124.3462
2024-02-01,124.1953
2024-01-31,124.0408
2024-01-30,123.8402
2024-01-29,123.6111
2024-01-26,123.3558
2024-01-25,123.0799
2024-01-24,122.7476
2024-01-23,122.4399
2024-01-22,122.1482
2024-01-19,121.8548
2024-01-18,121.6131
2024-01-17,121.4099
2024-01-16,121.2399
2024-01-12,121.0643
2024-01-11,120.8658
2024-01-10,120.6965
2024-01-09,120.5165
2024-01-08,120.3582
2024-01-05,120.2037
2024-01-04,120.0560
2024-01-03,119.9139
2024-01-02,119.7361
2023-12-29,119.5236
2023-12-28,119.2769
2023-12-27,119.0200
2023-12-26,118.7639
2023-12-22,118.5219
2023-12-21,118.2867
