,RSI
2024-06-05,57.2946
2024-06-04,57.1995
2024-06-03,57.6567
2024-05-31,57.5123
2024-05-30,57.5123
2024-05-29,57.4927
2024-05-28,58.5704
2024-05-24,57.3329
2024-05-23,57.5883
2024-05-22,57.3078
2024-05-21,56.6386
2024-05-20,56.4410
2024-05-17,56.3327
2024-05-16,56.5999
2024-05-15,56.1077
2024-05-14,55.5549
2024-05-13,55.4198
2024-05-10,55.2999
2024-05-09,55.1982
2024-05-08,54.7612
2024-05-07,55.4826
2024-05-06,55.4274
2024-05-03,55.4692
2024-05-02,54.7732
2024-05-01,53.6051
2024-04-30,54.2050
2024-04-29,53.7655
2024-04-26,53.5121
2024-04-25,53.6622
2024-04-24,53.6392
2024-04-23,53.3193
2024-04-22,52.9955
2024-04-19,53.4057
2024-04-18,53.5415
2024-04-17,54.4243
2024-04-16,54.4607
2024-04-15,55.0864
2024-04-12,54.8712
2024-04-11,54.8051
2024-04-10,54.9034
2024-04-09,55.2783
2024-04-08,55.0275
2024-04-05,54.7305
2024-04-04,55.3681
2024-04-03,54.8249
2024-04-02,54.8874
2024-04-01,54.6467
2024-03-28,54.7563
2024-03-27,54.8025
2024-03-26,54.6504
2024-03-25,54.6319
2024-03-22,54.8500
2024-03-21,55.0057
2024-03-20,54.2853
2024-03-19,54.5457
2024-03-18,55.1838
2024-03-15,54.7676
2024-03-14,55.1017
2024-03-13,55.3192
2024-03-12,55.5469
2024-03-11,55.1217
2024-03-08,55.9137
2024-03-07,55.3411
2024-03-06,54.8063
2024-03-05,54.7961
2024-03-04,54.8492
2024-03-01,54.2007
2024-02-29,53.9111
2024-02-28,53.8107
2024-02-27,53.9376
2024-02-26,53.7375
2024-02-23,53.7027
2024-02-22,53.5971
2024-02-21,53.0282
2024-02-20,53.2994
2024-02-16,54.0441
2024-02-15,53.7596
2024-02-14,53.3299
2024-02-13,53.1763
2024-02-12,53.2269
2024-02-09,53.0655
2024-02-08,52.8132
2024-02-07,52.6140
2024-02-06,52.5361
2024-02-05,52.2237
2024-02-02,52.0798
2024-02-01,52.1082
2024-01-31,52.6888
2024-01-30,53.0387
2024-01-29,53.3568
2024-01-26,53.5981
2024-01-25,54.3258
2024-01-24,54.0018
2024-01-23,53.7789
2024-01-22,53.7650
2024-01-19,53.1224
2024-01-18,52.6306
2024-01-17,52.2031
2024-01-16,52.2536
2024-01-12,52.5360
2024-01-11,52.1574
2024-01-10,52.2758
2024-01-09,51.9896
2024-01-08,51.9225
2024-01-05,51.8213
