,SMA
2024-06-04,143.0383
2024-06-03,142.5474
2024-05-31,142.0439
2024-05-30,141.5580
2024-05-29,141.0747
2024-05-28,140.5937
2024-05-24,140.0873
2024-05-23,139.6452
2024-05-22,139.1920
2024-05-21,138.7790
2024-05-20,138.3786
2024-05-17,137.9844
2024-05-16,137.6604
2024-05-15,137.3344
2024-05-14,137.0237
2024-05-13,136.7322
2024-05-10,136.4387
2024-05-09,136.1348
2024-05-08,135.8407
2024-05-07,135.5704
2024-05-06,135.2580
2024-05-03,134.9560
2024-05-02,134.6613
2024-05-01,134.3856
2024-04-30,134.1644
2024-04-29,133.9231
2024-04-26,133.6871
2024-04-25,133.4507
2024-04-24,133.2096
2024-04-23,132.9630
2024-04-22,132.7255
2024-04-19,132.5015
2024-04-18,132.2803
2024-04-17,132.0549
2024-04-16,131.7970
2024-04-15,131.5277
2024-04-12,131.2320
2024-04-11,130.9448
2024-04-10,130.6501
2024-04-09,130.3493
2024-04-08,130.0437
2024-04-05,129.7624
2024-04-04,129.5111
2024-04-03,129.2488
2024-04-02,128.9967
2024-04-01,128.7558
2024-03-28,128.5255
2024-03-27,128.2752
2024-03-26,128.0058
2024-03-25,127.7341
2024-03-22,127.4683
2024-03-21,127.1744
2024-03-20,126.8886
2024-03-19,126.6446
2024-03-18,126.3776
2024-03-15,126.0817
2024-03-14,125.8055
2024-03-13,125.4704
2024-03-12,125.1127
2024-03-11,124.7472
2024-03-08,124.4109
2024-03-07,124.0437
2024-03-06,123.7184
2024-03-05,123.4065
2024-03-04,123.0920
2024-03-01,122.7828
2024-02-29,122.4928
2024-02-28,122.2188
2024-02-27,121.9580
2024-02-26,121.6959
2024-02-23,121.4425
2024-02-22,121.1973
2024-02-21,120.9559
2024-02-20,120.7187
2024-02-16,120.5325
2024-02-15,120.3162
2024-02-14,120.1173
2024-02-13,119.9264
2024-02-12,119.7362
2024-02-09,119.5460
2024-02-08,119.3745
2024-02-07,119.2190
2024-02-06,119.0721
2024-02-05,118.9256
2024-02-02,118.7920
2024-02-01,118.6794
2024-01-31,118.5599
2024-01-30,118.4266
2024-01-29,118.2762
2024-01-26,118.1351
2024-01-25,117.9890
2024-01-24,117.8010
2024-01-23,117.6280
2024-01-22,117.4601
2024-01-19,117.3099
2024-01-18,117.1968
2024-01-17,117.1025
2024-01-16,117.0277
2024-01-12,116.9333
2024-01-11,116.8292
2024-01-10,116.7510
2024-01-09,116.6581
2024-01-08,116.5784
2024-01-05,116.5017
2024-01-04,116.4242
2024-01-03,116.3395
2024-01-02,116.2378
2023-12-29,116.1013
2023-12-28,115.9405
2023-12-27,115.7814
2023-12-26,115.6111
2023-12-22,115.4675
2023-12-21,115.3465
2023-12-20,115.2244
2023-12-19,115.1157
2023-12-18,115.0154
2023-12-15,114.9113
2023-12-14,114.8006
2023-12-13,114.7099
2023-12-12,114.6308
2023-12-11,114.5675
2023-12-08,114.5006
2023-12-07,114.4615
2023-12-06,114.4107
2023-12-05,114.3623
2023-12-04,114.3476
2023-12-01,114.3378
2023-11-30,114.3286
2023-11-29,114.3116
2023-11-28,114.2960
2023-11-27,114.2936
2023-11-24,114.3131
2023-11-22,114.3347
2023-11-21,114.3475
2023-11-20,114.3611
2023-11-17,114.3567
2023-11-16,114.3882
2023-11-15,114.3929
2023-11-14,114.3968
2023-11-13,114.4022
2023-11-10,114.4262
2023-11-09,114.4745
2023-11-08,114.4980
2023-11-07,114.5303
2023-11-06,114.5508
2023-11-03,114.5314
2023-11-02,114.5349
2023-11-01,114.5409
2023-10-31,114.5812
2023-10-30,114.6262
2023-10-27,114.6762
2023-10-26,114.7165
2023-10-25,114.7510
2023-10-24,114.7786
2023-10-23,114.7758
2023-10-20,114.7749
2023-10-19,114.7556
2023-10-18,114.7396
2023-10-17,114.7138
2023-10-16,114.7009
2023-10-13,114.6892
2023-10-12,114.6687
2023-10-11,114.6467
2023-10-10,114.6371
2023-10-09,114.6323
2023-10-06,114.6267
2023-10-05,114.6309
2023-10-04,114.6510
2023-10-03,114.6857
2023-10-02,114.7396
2023-09-29,114.8088
2023-09-28,114.8180
2023-09-27,114.8586
2023-09-26,114.8875
2023-09-25,114.9185
2023-09-22,114.9851
2023-09-21,115.0508
2023-09-20,115.1161
2023-09-19,115.1774
2023-09-18,115.1980
2023-09-15,115.2185
2023-09-14,115.2434
2023-09-13,115.2822
2023-09-12,115.3254
2023-09-11,115.3656
2023-09-08,115.3986
2023-09-07,115.4709
2023-09-06,115.4970
2023-09-05,115.5168
2023-09-01,115.5538
2023-08-31,115.5634
2023-08-30,115.5806
2023-08-29,115.5824
2023-08-28,115.5768
2023-08-25,115.5678
2023-08-24,115.5511
2023-08-23,115.5141
2023-08-22,115.4803
2023-08-21,115.5048
2023-08-18,115.5421
2023-08-17,115.5768
2023-08-16,115.5858
2023-08-15,115.6137
2023-08-14,115.6258
2023-08-11,115.6283
2023-08-10,115.6284
2023-08-09,115.5891
2023-08-08,115.5589
2023-08-07,115.5187
2023-08-04,115.4726
2023-08-03,115.4434
2023-08-02,115.4214
2023-08-01,115.2904
2023-07-31,115.1747
2023-07-28,115.0764
2023-07-27,115.0276
2023-07-26,114.9971
2023-07-25,114.9921
2023-07-24,114.9647
2023-07-21,114.9325
2023-07-20,114.8880
2023-07-19,114.8299
2023-07-18,114.7797
2023-07-17,114.7505
2023-07-14,114.7355
2023-07-13,114.7172
2023-07-12,114.7174
2023-07-11,114.7411
2023-07-10,114.7669
2023-07-07,114.8007
2023-07-06,114.8296
2023-07-05,114.8620
2023-07-03,114.8879
2023-06-30,114.9105
2023-06-29,114.9417
2023-06-28,115.0049
2023-06-27,115.0597
2023-06-26,115.1004
2023-06-23,115.1518
2023-06-22,115.2121
2023-06-21,115.2764
2023-06-20,115.3200
2023-06-16,115.3656
2023-06-15,115.4138
2023-06-14,115.4767
2023-06-13,115.5660
2023-06-12,115.6373
2023-06-09,115.7145
2023-06-08,115.8179
2023-06-07,115.9458
2023-06-06,116.0877
2023-06-05,116.2436
2023-06-02,116.3863
2023-06-01,116.5355
2023-05-31,116.6924
2023-05-30,116.8432
2023-05-26,116.9948
2023-05-25,117.1810
2023-05-24,117.3806
2023-05-23,117.5996
2023-05-22,117.8030
2023-05-19,118.0089
2023-05-18,118.1940
2023-05-17,118.3801
2023-05-16,118.5626
2023-05-15,118.7393
2023-05-12,118.9500
2023-05-11,119.1656
2023-05-10,119.3776
2023-05-09,119.5870
2023-05-08,119.8100
2023-05-05,120.0131
2023-05-04,120.1910
2023-05-03,120.3735
2023-05-02,120.5034
2023-05-01,120.6253
2023-04-28,120.6999
2023-04-27,120.7639
2023-04-26,120.8490
2023-04-25,120.9313
2023-04-24,120.9967
2023-04-21,121.0479
2023-04-20,121.0770
2023-04-19,121.0852
2023-04-18,121.1158
2023-04-17,121.1403
2023-04-14,121.1824
2023-04-13,121.2147
2023-04-12,121.2339
2023-04-11,121.2136
2023-04-10,121.1911
2023-04-06,121.1794
2023-04-05,121.1758
2023-04-04,121.1655
2023-04-03,121.1613
2023-03-31,121.1728
2023-03-30,121.1791
2023-03-29,121.1851
2023-03-28,121.2286
2023-03-27,121.2858
2023-03-24,121.3467
2023-03-23,121.4101
2023-03-22,121.4999
2023-03-21,121.5761
2023-03-20,121.6480
2023-03-17,121.7417
2023-03-16,121.8172
2023-03-15,121.8949
2023-03-14,121.9522
2023-03-13,121.9934
2023-03-10,122.0596
2023-03-09,122.1055
2023-03-08,122.1472
2023-03-07,122.1857
