,1. open,2. high,3. low,4. close,5. volume
2024-06-04,11.3050,11.5500,11.1200,11.2200,26634685
2024-06-03,11.1280,11.4200,10.6400,11.4000,35600511
2024-05-31,10.8400,11.1000,10.4700,10.9200,39955757
2024-05-30,10.3000,11.2286,10.2550,10.9700,49178436
2024-05-29,10.2200,10.3500,9.9700,10.2200,19353803
2024-05-28,10.4400,10.6750,10.3100,10.4200,22960257
2024-05-24,10.0600,10.4600,10.0200,10.4400,25691347
2024-05-23,10.5500,10.5501,9.8900,9.9500,37322224
2024-05-22,10.0200,10.7400,9.9400,10.7000,37629948
2024-05-21,10.2400,10.3500,9.9800,10.0500,23584306
2024-05-20,10.4300,10.6000,10.2100,10.2800,21629725
2024-05-17,10.0700,10.5100,9.8900,10.5000,23884000
2024-05-16,10.2400,10.4100,10.0800,10.1300,34749741
2024-05-15,11.0600,11.1400,10.1400,10.2000,64347727
2024-05-14,11.4800,12.1299,11.1100,11.1900,60966814
2024-05-13,10.0400,11.1900,10.0250,10.9000,65312720
2024-05-10,10.2000,10.4100,9.8400,9.9900,32543759
2024-05-09,10.2500,10.4700,10.0400,10.2200,31407533
2024-05-08,9.5100,10.2800,9.2500,10.2700,67612805
2024-05-07,11.1400,11.2150,10.0700,10.2500,98119549
2024-05-06,10.2000,10.4950,10.0800,10.3300,30848943
2024-05-03,10.1300,10.4080,9.9000,10.0700,47151951
2024-05-02,9.4200,10.1300,9.2150,9.8300,54894033
2024-05-01,8.8500,9.5500,8.8400,9.2100,27707980
2024-04-30,9.1100,9.2000,8.9000,8.9000,23045093
2024-04-29,9.2100,9.4100,9.0200,9.3800,30756641
2024-04-26,8.5500,9.0400,8.5000,9.0400,28226128
2024-04-25,8.6200,8.7100,8.4600,8.5200,21892061
2024-04-24,9.1600,9.2000,8.6933,8.8400,34694494
2024-04-23,8.7200,9.2400,8.6850,9.0400,33568591
2024-04-22,8.4600,8.8600,8.3150,8.7900,35054889
2024-04-19,8.6600,8.8900,8.5700,8.6300,26728624
2024-04-18,8.7000,9.0800,8.3800,8.8300,30808445
2024-04-17,8.7500,9.0100,8.7300,8.7400,32606886
2024-04-16,8.3650,8.8700,8.2600,8.7100,51527134
2024-04-15,9.1200,9.1700,8.3200,8.4000,82423868
2024-04-12,9.4800,9.5100,9.0800,9.1300,57909457
2024-04-11,10.2500,10.3000,9.3800,9.5700,80132277
2024-04-10,10.2500,10.4200,10.1100,10.2700,30300749
2024-04-09,10.4500,10.6900,10.3900,10.6300,26826906
2024-04-08,10.1900,10.4950,10.1600,10.4400,28456446
2024-04-05,10.1100,10.3650,10.0100,10.1000,36852610
2024-04-04,10.6300,10.7100,10.1300,10.1300,41110199
