,SMA
2024-06-04,15.9647
2024-06-03,16.0135
2024-05-31,16.0597
2024-05-30,16.1138
2024-05-29,16.1668
2024-05-28,16.2256
2024-05-24,16.2867
2024-05-23,16.3606
2024-05-22,16.4267
2024-05-21,16.5051
2024-05-20,16.5880
2024-05-17,16.6627
2024-05-16,16.7445
2024-05-15,16.8292
2024-05-14,16.9090
2024-05-13,16.9849
2024-05-10,17.0749
2024-05-09,17.1514
2024-05-08,17.2300
2024-05-07,17.3089
2024-05-06,17.3857
2024-05-03,17.4570
2024-05-02,17.5332
2024-05-01,17.6056
2024-04-30,17.6814
2024-04-29,17.7626
2024-04-26,17.8456
2024-04-25,17.9299
2024-04-24,18.0109
2024-04-23,18.0927
2024-04-22,18.1635
2024-04-19,18.2215
2024-04-18,18.2817
2024-04-17,18.3274
2024-04-16,18.3648
2024-04-15,18.3966
2024-04-12,18.4205
2024-04-11,18.4417
2024-04-10,18.4584
2024-04-09,18.4770
2024-04-08,18.4967
2024-04-05,18.5255
2024-04-04,18.5512
2024-04-03,18.5745
2024-04-02,18.5946
2024-04-01,18.6166
2024-03-28,18.6328
2024-03-27,18.6485
2024-03-26,18.6666
2024-03-25,18.6816
2024-03-22,18.7018
2024-03-21,18.7177
2024-03-20,18.7337
2024-03-19,18.7527
2024-03-18,18.7690
2024-03-15,18.7868
2024-03-14,18.8098
2024-03-13,18.8254
2024-03-12,18.8370
2024-03-11,18.8430
2024-03-08,18.8489
2024-03-07,18.8506
2024-03-06,18.8603
2024-03-05,18.8723
2024-03-04,18.8841
2024-03-01,18.8957
2024-02-29,18.9027
2024-02-28,18.9141
2024-02-27,18.9300
2024-02-26,18.9506
2024-02-23,18.9663
2024-02-22,18.9788
2024-02-21,18.9846
2024-02-20,18.9703
2024-02-16,18.9527
2024-02-15,18.9346
2024-02-14,18.9206
2024-02-13,18.9062
2024-02-12,18.8892
2024-02-09,18.8702
2024-02-08,18.8483
2024-02-07,18.8338
2024-02-06,18.8174
2024-02-05,18.8038
2024-02-02,18.7923
2024-02-01,18.7847
2024-01-31,18.7740
2024-01-30,18.7653
2024-01-29,18.7573
2024-01-26,18.7555
2024-01-25,18.7547
2024-01-24,18.7513
2024-01-23,18.7424
2024-01-22,18.7352
2024-01-19,18.7339
2024-01-18,18.7316
2024-01-17,18.7193
2024-01-16,18.7068
2024-01-12,18.6848
2024-01-11,18.6592
2024-01-10,18.6338
2024-01-09,18.6053
2024-01-08,18.5749
2024-01-05,18.5487
2024-01-04,18.5177
2024-01-03,18.4820
2024-01-02,18.4454
2023-12-29,18.4015
2023-12-28,18.3481
2023-12-27,18.3001
2023-12-26,18.2501
2023-12-22,18.2064
2023-12-21,18.1622
2023-12-20,18.1177
2023-12-19,18.0771
2023-12-18,18.0430
2023-12-15,18.0101
2023-12-14,17.9742
2023-12-13,17.9609
2023-12-12,17.9630
2023-12-11,17.9573
2023-12-08,17.9492
2023-12-07,17.9485
2023-12-06,17.9496
2023-12-05,17.9598
2023-12-04,17.9738
2023-12-01,17.9889
2023-11-30,17.9999
2023-11-29,18.0052
2023-11-28,18.0100
2023-11-27,18.0211
2023-11-24,18.0417
2023-11-22,18.0592
2023-11-21,18.0802
2023-11-20,18.0957
2023-11-17,18.1112
2023-11-16,18.1310
2023-11-15,18.1431
2023-11-14,18.1507
2023-11-13,18.1656
2023-11-10,18.1799
2023-11-09,18.2012
2023-11-08,18.2039
2023-11-07,18.2006
2023-11-06,18.1974
2023-11-03,18.1873
2023-11-02,18.1787
2023-11-01,18.1822
2023-10-31,18.1844
2023-10-30,18.1899
2023-10-27,18.1959
2023-10-26,18.1949
2023-10-25,18.1942
2023-10-24,18.1908
2023-10-23,18.1847
2023-10-20,18.1887
2023-10-19,18.1896
2023-10-18,18.1951
2023-10-17,18.1878
2023-10-16,18.1834
2023-10-13,18.1761
2023-10-12,18.1730
2023-10-11,18.1751
2023-10-10,18.1793
2023-10-09,18.1904
2023-10-06,18.2082
2023-10-05,18.2322
2023-10-04,18.2457
2023-10-03,18.2572
2023-10-02,18.2659
2023-09-29,18.2822
2023-09-28,18.2987
2023-09-27,18.3254
2023-09-26,18.3535
2023-09-25,18.3847
2023-09-22,18.4302
2023-09-21,18.4773
2023-09-20,18.5214
2023-09-19,18.5664
2023-09-18,18.5942
2023-09-15,18.6198
2023-09-14,18.6441
2023-09-13,18.6760
2023-09-12,18.7044
2023-09-11,18.7313
2023-09-08,18.7622
2023-09-07,18.8084
2023-09-06,18.8572
2023-09-05,18.9127
2023-09-01,18.9691
2023-08-31,19.0260
2023-08-30,19.0768
2023-08-29,19.1308
2023-08-28,19.1840
2023-08-25,19.2398
2023-08-24,19.3030
2023-08-23,19.3691
2023-08-22,19.4267
2023-08-21,19.4874
2023-08-18,19.5638
2023-08-17,19.6340
2023-08-16,19.7005
2023-08-15,19.7705
2023-08-14,19.8322
2023-08-11,19.8843
2023-08-10,19.9316
2023-08-09,19.9703
2023-08-08,20.0016
2023-08-07,20.0373
2023-08-04,20.0693
2023-08-03,20.0842
2023-08-02,20.1226
2023-08-01,20.1453
2023-07-31,20.1727
2023-07-28,20.1949
