,SMA
2024-06-04,52.5875
2024-06-03,52.6583
2024-05-31,52.7148
2024-05-30,52.7764
2024-05-29,52.8413
2024-05-28,52.9012
2024-05-24,52.9611
2024-05-23,53.0188
2024-05-22,53.0656
2024-05-21,53.1097
2024-05-20,53.1554
2024-05-17,53.1968
2024-05-16,53.2352
2024-05-15,53.2811
2024-05-14,53.3214
2024-05-13,53.3583
2024-05-10,53.4002
2024-05-09,53.4374
2024-05-08,53.4784
2024-05-07,53.5171
2024-05-06,53.5524
2024-05-03,53.5961
2024-05-02,53.6336
2024-05-01,53.6734
2024-04-30,53.7154
2024-04-29,53.7507
2024-04-26,53.7863
2024-04-25,53.8181
2024-04-24,53.8375
2024-04-23,53.8516
2024-04-22,53.8465
2024-04-19,53.8406
2024-04-18,53.8372
2024-04-17,53.8241
2024-04-16,53.8078
2024-04-15,53.7911
2024-04-12,53.7644
2024-04-11,53.7298
2024-04-10,53.6883
2024-04-09,53.6462
2024-04-08,53.6077
2024-04-05,53.5628
2024-04-04,53.5215
2024-04-03,53.4842
2024-04-02,53.4434
2024-04-01,53.4077
2024-03-28,53.3679
2024-03-27,53.3197
2024-03-26,53.2838
2024-03-25,53.2496
2024-03-22,53.2113
2024-03-21,53.1619
2024-03-20,53.1228
2024-03-19,53.0779
2024-03-18,53.0213
2024-03-15,52.9649
2024-03-14,52.9145
2024-03-13,52.8744
2024-03-12,52.8351
2024-03-11,52.8011
2024-03-08,52.7775
2024-03-07,52.7459
2024-03-06,52.7184
2024-03-05,52.6816
2024-03-04,52.6504
2024-03-01,52.6199
2024-02-29,52.5924
2024-02-28,52.5678
2024-02-27,52.5479
2024-02-26,52.5342
2024-02-23,52.5179
2024-02-22,52.5022
2024-02-21,52.4845
2024-02-20,52.4632
2024-02-16,52.4435
2024-02-15,52.4370
2024-02-14,52.4371
2024-02-13,52.4319
2024-02-12,52.4239
2024-02-09,52.4255
2024-02-08,52.4297
2024-02-07,52.4358
2024-02-06,52.4483
2024-02-05,52.4605
2024-02-02,52.4729
2024-02-01,52.4832
2024-01-31,52.4957
2024-01-30,52.5066
2024-01-29,52.5182
2024-01-26,52.5073
2024-01-25,52.4933
2024-01-24,52.4785
2024-01-23,52.4743
2024-01-22,52.4713
2024-01-19,52.4815
2024-01-18,52.4913
2024-01-17,52.4926
2024-01-16,52.4989
2024-01-12,52.4875
2024-01-11,52.4695
2024-01-10,52.4506
2024-01-09,52.4261
2024-01-08,52.4094
2024-01-05,52.3958
2024-01-04,52.3728
2024-01-03,52.3293
2024-01-02,52.2965
2023-12-29,52.2531
2023-12-28,52.2226
2023-12-27,52.2016
2023-12-26,52.1777
2023-12-22,52.1636
2023-12-21,52.1643
2023-12-20,52.1665
2023-12-19,52.1739
2023-12-18,52.1851
2023-12-15,52.1883
2023-12-14,52.1970
2023-12-13,52.2094
2023-12-12,52.2337
2023-12-11,52.2574
2023-12-08,52.2726
2023-12-07,52.2944
2023-12-06,52.3093
2023-12-05,52.3206
2023-12-04,52.3333
2023-12-01,52.3506
2023-11-30,52.3686
2023-11-29,52.3849
2023-11-28,52.3982
2023-11-27,52.4059
2023-11-24,52.4131
2023-11-22,52.4168
2023-11-21,52.4236
2023-11-20,52.4227
2023-11-17,52.4160
2023-11-16,52.4245
2023-11-15,52.4390
2023-11-14,52.4448
2023-11-13,52.4529
2023-11-10,52.4689
2023-11-09,52.4815
2023-11-08,52.4877
2023-11-07,52.4898
2023-11-06,52.4965
2023-11-03,52.4929
2023-11-02,52.4835
2023-11-01,52.4945
2023-10-31,52.5011
2023-10-30,52.5064
2023-10-27,52.5021
2023-10-26,52.4980
2023-10-25,52.4921
2023-10-24,52.4804
2023-10-23,52.4495
2023-10-20,52.4126
2023-10-19,52.3658
2023-10-18,52.3267
2023-10-17,52.2843
2023-10-16,52.2467
2023-10-13,52.2131
2023-10-12,52.1794
2023-10-11,52.1398
2023-10-10,52.1129
2023-10-09,52.0822
2023-10-06,52.0425
2023-10-05,52.0112
2023-10-04,51.9753
2023-10-03,51.9341
2023-10-02,51.9001
2023-09-29,51.8567
2023-09-28,51.7857
2023-09-27,51.7296
2023-09-26,51.6811
2023-09-25,51.6372
2023-09-22,51.5942
2023-09-21,51.5616
2023-09-20,51.5146
2023-09-19,51.4715
2023-09-18,51.4170
2023-09-15,51.3612
2023-09-14,51.2998
2023-09-13,51.2448
2023-09-12,51.1934
2023-09-11,51.1479
2023-09-08,51.0952
2023-09-07,51.0473
2023-09-06,50.9985
2023-09-05,50.9633
2023-09-01,50.9302
2023-08-31,50.9008
2023-08-30,50.8730
2023-08-29,50.8451
2023-08-28,50.8225
2023-08-25,50.8100
2023-08-24,50.7859
2023-08-23,50.7624
2023-08-22,50.7341
2023-08-21,50.7008
2023-08-18,50.6688
2023-08-17,50.6302
2023-08-16,50.5888
2023-08-15,50.5592
2023-08-14,50.5266
2023-08-11,50.4859
2023-08-10,50.4394
2023-08-09,50.3751
2023-08-08,50.3081
2023-08-07,50.2422
2023-08-04,50.1680
2023-08-03,50.0901
2023-08-02,50.0174
2023-08-01,49.9388
2023-07-31,49.8547
2023-07-28,49.7717
2023-07-27,49.6960
2023-07-26,49.6172
2023-07-25,49.5373
2023-07-24,49.4463
2023-07-21,49.3597
2023-07-20,49.2674
2023-07-19,49.1558
2023-07-18,49.0492
2023-07-17,48.9389
2023-07-14,48.8281
2023-07-13,48.7181
2023-07-12,48.6135
2023-07-11,48.5202
2023-07-10,48.4446
2023-07-07,48.3724
2023-07-06,48.3120
2023-07-05,48.2621
2023-07-03,48.2085
2023-06-30,48.1551
2023-06-29,48.1061
2023-06-28,48.0599
2023-06-27,48.0129
2023-06-26,47.9587
2023-06-23,47.9059
2023-06-22,47.8645
2023-06-21,47.8148
2023-06-20,47.7642
2023-06-16,47.7158
2023-06-15,47.6705
2023-06-14,47.6253
2023-06-13,47.5794
2023-06-12,47.5376
2023-06-09,47.4980
2023-06-08,47.4461
2023-06-07,47.3860
2023-06-06,47.3313
2023-06-05,47.2816
2023-06-02,47.2188
2023-06-01,47.1671
2023-05-31,47.1290
2023-05-30,47.0964
2023-05-26,47.0551
2023-05-25,47.0005
2023-05-24,46.9490
2023-05-23,46.8916
2023-05-22,46.8268
2023-05-19,46.7757
2023-05-18,46.7319
2023-05-17,46.6928
2023-05-16,46.6533
2023-05-15,46.6115
2023-05-12,46.5713
2023-05-11,46.5274
2023-05-10,46.4842
2023-05-09,46.4257
