,EMA
2024-06-04,86.7014
2024-06-03,86.7150
2024-05-31,86.7510
2024-05-30,86.8013
2024-05-29,86.8648
2024-05-28,86.9439
2024-05-24,87.0083
2024-05-23,87.0769
2024-05-22,87.1288
2024-05-21,87.1830
2024-05-20,87.2270
2024-05-17,87.2619
2024-05-16,87.2940
2024-05-15,87.3281
2024-05-14,87.3746
2024-05-13,87.4578
2024-05-10,87.5674
2024-05-09,87.6849
2024-05-08,87.7938
2024-05-07,87.8896
2024-05-06,87.9464
2024-05-03,87.9759
2024-05-02,88.0033
2024-05-01,88.0431
2024-04-30,88.0957
2024-04-29,88.1480
2024-04-26,88.2011
2024-04-25,88.2655
2024-04-24,88.3357
2024-04-23,88.3939
2024-04-22,88.4667
2024-04-19,88.5394
2024-04-18,88.6100
2024-04-17,88.6757
2024-04-16,88.7400
2024-04-15,88.7927
2024-04-12,88.8454
2024-04-11,88.8908
2024-04-10,88.9374
2024-04-09,88.9858
2024-04-08,89.0272
2024-04-05,89.0718
2024-04-04,89.1177
2024-04-03,89.1482
2024-04-02,89.1855
2024-04-01,89.2226
2024-03-28,89.2550
2024-03-27,89.2858
2024-03-26,89.3097
2024-03-25,89.3370
2024-03-22,89.3679
2024-03-21,89.3742
2024-03-20,89.3790
2024-03-19,89.3853
2024-03-18,89.3892
2024-03-15,89.3942
2024-03-14,89.4147
2024-03-13,89.4291
2024-03-12,89.4454
2024-03-11,89.4654
2024-03-08,89.4953
2024-03-07,89.5138
2024-03-06,89.5370
2024-03-05,89.5649
2024-03-04,89.5995
2024-03-01,89.6293
2024-02-29,89.6495
2024-02-28,89.6841
2024-02-27,89.7280
2024-02-26,89.7636
2024-02-23,89.7958
2024-02-22,89.8108
2024-02-21,89.8264
2024-02-20,89.8462
2024-02-16,89.8620
2024-02-15,89.8588
2024-02-14,89.8449
2024-02-13,89.7912
2024-02-12,89.7193
2024-02-09,89.6539
2024-02-08,89.5910
2024-02-07,89.5249
2024-02-06,89.4471
2024-02-05,89.3772
2024-02-02,89.2965
2024-02-01,89.2100
2024-01-31,89.1213
2024-01-30,89.0193
2024-01-29,88.9290
2024-01-26,88.8488
2024-01-25,88.7840
2024-01-24,88.6989
2024-01-23,88.5970
2024-01-22,88.4937
2024-01-19,88.3798
2024-01-18,88.2813
2024-01-17,88.1929
2024-01-16,88.1038
2024-01-12,87.9984
2024-01-11,87.8801
2024-01-10,87.7754
2024-01-09,87.7016
2024-01-08,87.6571
2024-01-05,87.6214
2024-01-04,87.5880
2024-01-03,87.5540
2024-01-02,87.5033
2023-12-29,87.4430
2023-12-28,87.3711
2023-12-27,87.3047
2023-12-26,87.2412
2023-12-22,87.1910
2023-12-21,87.1452
2023-12-20,87.0956
2023-12-19,87.0472
2023-12-18,87.0009
2023-12-15,86.9550
2023-12-14,86.8917
2023-12-13,86.8474
2023-12-12,86.8099
2023-12-11,86.7838
2023-12-08,86.7586
2023-12-07,86.7424
2023-12-06,86.7299
2023-12-05,86.7071
2023-12-04,86.7154
2023-12-01,86.7300
2023-11-30,86.7436
2023-11-29,86.7450
2023-11-28,86.7434
2023-11-27,86.7438
2023-11-24,86.7482
2023-11-22,86.7535
2023-11-21,86.7472
2023-11-20,86.7410
2023-11-17,86.7386
2023-11-16,86.7301
2023-11-15,86.7305
2023-11-14,86.7216
2023-11-13,86.7451
2023-11-10,86.7770
2023-11-09,86.7912
2023-11-08,86.8030
2023-11-07,86.7846
2023-11-06,86.7824
2023-11-03,86.7870
2023-11-02,86.7810
2023-11-01,86.7923
2023-10-31,86.8170
2023-10-30,86.8572
2023-10-27,86.9167
2023-10-26,86.9806
2023-10-25,87.0350
2023-10-24,87.0677
2023-10-23,87.1014
2023-10-20,87.1465
2023-10-19,87.1810
2023-10-18,87.2115
2023-10-17,87.2325
2023-10-16,87.2560
2023-10-13,87.2807
2023-10-12,87.2961
2023-10-11,87.3016
2023-10-10,87.3213
2023-10-09,87.3518
2023-10-06,87.4015
2023-10-05,87.4527
2023-10-04,87.5009
2023-10-03,87.5620
2023-10-02,87.6230
2023-09-29,87.6830
2023-09-28,87.7319
2023-09-27,87.7925
2023-09-26,87.8414
2023-09-25,87.8988
2023-09-22,87.9503
2023-09-21,88.0030
2023-09-20,88.0575
2023-09-19,88.0841
2023-09-18,88.1017
2023-09-15,88.1219
2023-09-14,88.1324
2023-09-13,88.1574
2023-09-12,88.1981
2023-09-11,88.2311
2023-09-08,88.2653
2023-09-07,88.3085
2023-09-06,88.3448
2023-09-05,88.3730
2023-09-01,88.4132
2023-08-31,88.4423
2023-08-30,88.4983
2023-08-29,88.5613
2023-08-28,88.6331
2023-08-25,88.7052
2023-08-24,88.7812
2023-08-23,88.8497
2023-08-22,88.9203
2023-08-21,88.9860
2023-08-18,89.0549
2023-08-17,89.1283
2023-08-16,89.1876
2023-08-15,89.2552
2023-08-14,89.3166
2023-08-11,89.3770
2023-08-10,89.4222
2023-08-09,89.4499
2023-08-08,89.4442
2023-08-07,89.4407
2023-08-04,89.4314
2023-08-03,89.4179
2023-08-02,89.4148
2023-08-01,89.3930
2023-07-31,89.3548
2023-07-28,89.3131
2023-07-27,89.2714
2023-07-26,89.2199
2023-07-25,89.1811
2023-07-24,89.1455
2023-07-21,89.1059
2023-07-20,89.0616
2023-07-19,89.0221
2023-07-18,88.9676
2023-07-17,88.9115
2023-07-14,88.8782
2023-07-13,88.8376
2023-07-12,88.7922
2023-07-11,88.7865
2023-07-10,88.7781
2023-07-07,88.7648
2023-07-06,88.7489
2023-07-05,88.7327
2023-07-03,88.7086
2023-06-30,88.6831
2023-06-29,88.6723
2023-06-28,88.6608
2023-06-27,88.6433
2023-06-26,88.6347
2023-06-23,88.6176
2023-06-22,88.5942
2023-06-21,88.5471
2023-06-20,88.4844
2023-06-16,88.4021
2023-06-15,88.3040
2023-06-14,88.2019
2023-06-13,88.0795
2023-06-12,87.9606
2023-06-09,87.8548
2023-06-08,87.7507
2023-06-07,87.6688
2023-06-06,87.5652
2023-06-05,87.4536
2023-06-02,87.3409
2023-06-01,87.2365
2023-05-31,87.1496
2023-05-30,87.0818
2023-05-26,86.9944
2023-05-25,86.9111
2023-05-24,86.8284
2023-05-23,86.7550
2023-05-22,86.6695
2023-05-19,86.5577
2023-05-18,86.4453
2023-05-17,86.3216
2023-05-16,86.2320
2023-05-15,86.1581
2023-05-12,86.0761
2023-05-11,85.9912
2023-05-10,85.9177
2023-05-09,85.8495
2023-05-08,85.7825
2023-05-05,85.7204
2023-05-04,85.6502
2023-05-03,85.5820
2023-05-02,85.5242
2023-05-01,85.4707
2023-04-28,85.4071
2023-04-27,85.3486
2023-04-26,85.2641
2023-04-25,85.1942
2023-04-24,85.1342
2023-04-21,85.0697
2023-04-20,85.0043
2023-04-19,84.9474
2023-04-18,84.8895
2023-04-17,84.8254
2023-04-14,84.7708
2023-04-13,84.7127
2023-04-12,84.6615
2023-04-11,84.6109
2023-04-10,84.5673
2023-04-06,84.5381
2023-04-05,84.5037
2023-04-04,84.4524
2023-04-03,84.3918
2023-03-31,84.3342
2023-03-30,84.2826
2023-03-29,84.2411
2023-03-28,84.2169
2023-03-27,84.2007
2023-03-24,84.1742
2023-03-23,84.1357
2023-03-22,84.0965
2023-03-21,84.0511
2023-03-20,84.0035
2023-03-17,83.9710
2023-03-16,83.9409
2023-03-15,83.9380
2023-03-14,83.9461
2023-03-13,83.9397
2023-03-10,83.9316
2023-03-09,83.9118
2023-03-08,83.8753
2023-03-07,83.8380
2023-03-06,83.7963
2023-03-03,83.7688
2023-03-02,83.7666
2023-03-01,83.7767
2023-02-28,83.7782
2023-02-27,83.7820
2023-02-24,83.7835
2023-02-23,83.7970
2023-02-22,83.8064
2023-02-21,83.8194
2023-02-17,83.8224
2023-02-16,83.8072
2023-02-15,83.7738
2023-02-14,83.7372
2023-02-13,83.6864
2023-02-10,83.6385
2023-02-09,83.5796
2023-02-08,83.5020
2023-02-07,83.4320
2023-02-06,83.3641
2023-02-03,83.2917
2023-02-02,83.1915
2023-02-01,83.1060
2023-01-31,83.0508
2023-01-30,82.9949
2023-01-27,82.9346
2023-01-26,82.8717
2023-01-25,82.8141
2023-01-24,82.7552
2023-01-23,82.6953
2023-01-20,82.6435
2023-01-19,82.5886
2023-01-18,82.5343
2023-01-17,82.4823
2023-01-13,82.4469
2023-01-12,82.4322
2023-01-11,82.4127
2023-01-10,82.4002
2023-01-09,82.4125
2023-01-06,82.4225
2023-01-05,82.4572
2023-01-04,82.5068
2023-01-03,82.5548
2022-12-30,82.6116
2022-12-29,82.6849
2022-12-28,82.7572
2022-12-27,82.8276
2022-12-23,82.8966
2022-12-22,82.9591
2022-12-21,83.0210
2022-12-20,83.0790
2022-12-19,83.1379
2022-12-16,83.1890
2022-12-15,83.2437
2022-12-14,83.2752
2022-12-13,83.2884
2022-12-12,83.3010
2022-12-09,83.3363
2022-12-08,83.3777
2022-12-07,83.4300
2022-12-06,83.4757
2022-12-05,83.5043
2022-12-02,83.5240
2022-12-01,83.5344
2022-11-30,83.5435
2022-11-29,83.5707
2022-11-28,83.5910
2022-11-25,83.5963
2022-11-23,83.6072
2022-11-22,83.6310
2022-11-21,83.6617
2022-11-18,83.7099
2022-11-17,83.7406
2022-11-16,83.7862
2022-11-15,83.8103
2022-11-14,83.8127
2022-11-11,83.8256
2022-11-10,83.8426
2022-11-09,83.9006
2022-11-08,83.9800
2022-11-07,84.0557
2022-11-04,84.1532
2022-11-03,84.2621
2022-11-02,84.3977
2022-11-01,84.5158
2022-10-31,84.6580
2022-10-28,84.8359
2022-10-27,85.0191
2022-10-26,85.2000
2022-10-25,85.3866
2022-10-24,85.5827
2022-10-21,85.7926
2022-10-20,86.0144
2022-10-19,86.2306
2022-10-18,86.4475
2022-10-17,86.6570
2022-10-14,86.8761
2022-10-13,87.0892
2022-10-12,87.3455
2022-10-11,87.5873
2022-10-10,87.8167
2022-10-07,88.0351
2022-10-06,88.2439
2022-10-05,88.4502
2022-10-04,88.6657
2022-10-03,88.8783
2022-09-30,89.1158
2022-09-29,89.3669
2022-09-28,89.6044
2022-09-27,89.8506
2022-09-26,90.0892
2022-09-23,90.3222
2022-09-22,90.5463
2022-09-21,90.7554
2022-09-20,90.9603
2022-09-19,91.1627
2022-09-16,91.3673
2022-09-15,91.5692
2022-09-14,91.7684
2022-09-13,91.9710
2022-09-12,92.1567
2022-09-09,92.3309
2022-09-08,92.5093
2022-09-07,92.6950
2022-09-06,92.8937
2022-09-02,93.0668
2022-09-01,93.2208
2022-08-31,93.3689
2022-08-30,93.5013
2022-08-29,93.6218
2022-08-26,93.7542
2022-08-25,93.8499
2022-08-24,93.9566
2022-08-23,94.0677
2022-08-22,94.1728
2022-08-19,94.2589
2022-08-18,94.3367
2022-08-17,94.4213
2022-08-16,94.5007
2022-08-15,94.5911
2022-08-12,94.6760
2022-08-11,94.7677
2022-08-10,94.8621
2022-08-09,94.9723
