,RSI
2024-06-05,49.7010
2024-06-04,49.4397
2024-06-03,48.8758
2024-05-31,48.5206
2024-05-30,48.1910
2024-05-29,47.8009
2024-05-28,48.1764
2024-05-24,48.0822
2024-05-23,48.5064
2024-05-22,48.4570
2024-05-21,48.7214
2024-05-20,48.9527
2024-05-17,49.0316
2024-05-16,48.9881
2024-05-15,48.6810
2024-05-14,47.7417
2024-05-13,47.0588
2024-05-10,46.8773
2024-05-09,47.1099
2024-05-08,47.4505
2024-05-07,48.4340
2024-05-06,49.1393
2024-05-03,49.2011
2024-05-02,48.8787
2024-05-01,48.5485
2024-04-30,48.5688
2024-04-29,48.5634
2024-04-26,48.2743
2024-04-25,48.1373
2024-04-24,48.4527
2024-04-23,48.0793
2024-04-22,48.1017
2024-04-19,48.1689
2024-04-18,48.3080
2024-04-17,48.3602
2024-04-16,48.6637
2024-04-15,48.6762
2024-04-12,48.8704
2024-04-11,48.8496
2024-04-10,48.8158
2024-04-09,49.0012
2024-04-08,48.9292
2024-04-05,48.9061
2024-04-04,49.2978
2024-04-03,49.1295
2024-04-02,49.1467
2024-04-01,49.2694
2024-03-28,49.3160
2024-03-27,49.4898
2024-03-26,49.4148
2024-03-25,49.3300
2024-03-22,49.9377
2024-03-21,49.9772
2024-03-20,49.9402
2024-03-19,50.0015
2024-03-18,49.9746
2024-03-15,49.5974
2024-03-14,49.7501
2024-03-13,49.7085
2024-03-12,49.6231
2024-03-11,49.3862
2024-03-08,49.6642
2024-03-07,49.5570
2024-03-06,49.4475
2024-03-05,49.2917
2024-03-04,49.4125
2024-03-01,49.6473
2024-02-29,49.3059
2024-02-28,49.0890
2024-02-27,49.2917
2024-02-26,49.3814
2024-02-23,49.7964
2024-02-22,49.7820
2024-02-21,49.6887
2024-02-20,49.7855
2024-02-16,50.2390
2024-02-15,50.4954
2024-02-14,51.4551
2024-02-13,51.8971
2024-02-12,51.7293
2024-02-09,51.6547
2024-02-08,51.7193
2024-02-07,51.9906
2024-02-06,51.7944
2024-02-05,52.0408
2024-02-02,52.1681
2024-02-01,52.1980
2024-01-31,52.5071
2024-01-30,52.2210
2024-01-29,51.9673
2024-01-26,51.5988
2024-01-25,52.0834
2024-01-24,52.4833
2024-01-23,52.4934
2024-01-22,52.7304
2024-01-19,52.3570
2024-01-18,52.1045
2024-01-17,52.0999
2024-01-16,52.4830
2024-01-12,52.7808
2024-01-11,52.4463
2024-01-10,51.7076
2024-01-09,51.0002
2024-01-08,50.7787
2024-01-05,50.7160
2024-01-04,50.7209
2024-01-03,51.1249
2024-01-02,51.3495
2023-12-29,51.6254
2023-12-28,51.4792
2023-12-27,51.3943
2023-12-26,51.0655
2023-12-22,50.9515
2023-12-21,51.0328
2023-12-20,50.9927
2023-12-19,50.9339
2023-12-18,50.9128
2023-12-15,51.3226
2023-12-14,50.8659
2023-12-13,50.6959
2023-12-12,50.4186
2023-12-11,50.3901
2023-12-08,50.1718
2023-12-07,50.0792
2023-12-06,50.3227
2023-12-05,49.5765
2023-12-04,49.4287
2023-12-01,49.4523
2023-11-30,49.7459
2023-11-29,49.8147
2023-11-28,49.7670
2023-11-27,49.6742
2023-11-24,49.6529
2023-11-22,49.9245
2023-11-21,49.9222
2023-11-20,49.8308
2023-11-17,49.9704
2023-11-16,49.7627
2023-11-15,49.9784
2023-11-14,49.2155
2023-11-13,49.0221
2023-11-10,49.4360
2023-11-09,49.4964
2023-11-08,50.2055
2023-11-07,49.8170
2023-11-06,49.6550
2023-11-03,49.9073
2023-11-02,49.4921
2023-11-01,49.1765
2023-10-31,48.8073
2023-10-30,48.3429
2023-10-27,48.2515
2023-10-26,48.4846
2023-10-25,48.9999
2023-10-24,48.9853
2023-10-23,48.7141
2023-10-20,48.9708
2023-10-19,49.0737
2023-10-18,49.3009
2023-10-17,49.2478
2023-10-16,49.2214
2023-10-13,49.4450
2023-10-12,49.6788
2023-10-11,49.3427
2023-10-10,49.0907
2023-10-09,48.6356
2023-10-06,48.6088
2023-10-05,48.6914
2023-10-04,48.3909
2023-10-03,48.4069
2023-10-02,48.4454
2023-09-29,48.7062
2023-09-28,48.4420
2023-09-27,48.7185
2023-09-26,48.5247
2023-09-25,48.6738
2023-09-22,48.6572
2023-09-21,48.6264
2023-09-20,49.2687
2023-09-19,49.4817
2023-09-18,49.4232
2023-09-15,49.6497
2023-09-14,49.3159
2023-09-13,48.9510
2023-09-12,49.1372
2023-09-11,49.1137
2023-09-08,48.9142
2023-09-07,49.0764
2023-09-06,49.2683
2023-09-05,48.9951
2023-09-01,49.2545
2023-08-31,48.6286
2023-08-30,48.4764
2023-08-29,48.2811
2023-08-28,48.2922
2023-08-25,48.2164
2023-08-24,48.3974
2023-08-23,48.3668
2023-08-22,48.4878
2023-08-21,48.4294
2023-08-18,48.3410
2023-08-17,48.6644
2023-08-16,48.4860
2023-08-15,48.6367
2023-08-14,48.6717
2023-08-11,49.0174
2023-08-10,49.4130
2023-08-09,50.1693
2023-08-08,50.1196
2023-08-07,50.2489
2023-08-04,50.3418
2023-08-03,50.1067
2023-08-02,50.5307
2023-08-01,50.8998
2023-07-31,50.9711
2023-07-28,50.9623
2023-07-27,51.1753
2023-07-26,50.8876
2023-07-25,50.8083
2023-07-24,50.8900
2023-07-21,50.9875
2023-07-20,50.8721
2023-07-19,51.2048
2023-07-18,51.2274
2023-07-17,50.7215
2023-07-14,50.8770
2023-07-13,50.9762
2023-07-12,50.0942
2023-07-11,50.1546
2023-07-10,50.2619
2023-07-07,50.3155
2023-07-06,50.3199
2023-07-05,50.4908
2023-07-03,50.5152
2023-06-30,50.1910
2023-06-29,50.2042
2023-06-28,50.3335
2023-06-27,50.1385
2023-06-26,50.3198
2023-06-23,50.4531
2023-06-22,50.9709
2023-06-21,51.3053
2023-06-20,51.7353
2023-06-16,52.0718
2023-06-15,52.1425
2023-06-14,52.5823
2023-06-13,52.4826
2023-06-12,52.1867
2023-06-09,52.1303
2023-06-08,51.6404
2023-06-07,52.1164
2023-06-06,52.2770
2023-06-05,52.2749
2023-06-02,52.0786
2023-06-01,51.6873
2023-05-31,51.2659
2023-05-30,51.6919
2023-05-26,51.5854
2023-05-25,51.5578
2023-05-24,51.3411
2023-05-23,51.5955
2023-05-22,52.1761
2023-05-19,52.1635
2023-05-18,52.3947
2023-05-17,51.6515
2023-05-16,51.2968
2023-05-15,51.4607
2023-05-12,51.5108
2023-05-11,51.2471
2023-05-10,51.1159
2023-05-09,51.0772
2023-05-08,50.9594
2023-05-05,51.1243
2023-05-04,51.0668
2023-05-03,50.8302
2023-05-02,50.7256
2023-05-01,50.9369
2023-04-28,50.8158
2023-04-27,51.3756
2023-04-26,51.0512
2023-04-25,50.8217
2023-04-24,50.9112
2023-04-21,50.9134
2023-04-20,50.7226
2023-04-19,50.7291
2023-04-18,50.8531
2023-04-17,50.6383
2023-04-14,50.7031
2023-04-13,50.5456
2023-04-12,50.5246
2023-04-11,50.3654
2023-04-10,50.0541
2023-04-06,50.1577
2023-04-05,50.5082
2023-04-04,50.6962
2023-04-03,50.6193
2023-03-31,50.4864
2023-03-30,50.2637
2023-03-29,49.8929
2023-03-28,49.7201
2023-03-27,49.9311
2023-03-24,50.1787
2023-03-23,50.1829
2023-03-22,50.3064
2023-03-21,50.3419
2023-03-20,50.0197
2023-03-17,49.9638
2023-03-16,49.3922
2023-03-15,49.1580
2023-03-14,49.4575
2023-03-13,49.4904
2023-03-10,49.7309
2023-03-09,50.0702
2023-03-08,50.0785
2023-03-07,50.1633
2023-03-06,49.8606
2023-03-03,49.3316
2023-03-02,49.0705
2023-03-01,49.2476
2023-02-28,49.2015
2023-02-27,49.2461
2023-02-24,48.9976
2023-02-23,49.0840
2023-02-22,49.0091
2023-02-21,49.2132
2023-02-17,49.5777
2023-02-16,49.9459
2023-02-15,50.0030
2023-02-14,50.2852
2023-02-13,50.2163
2023-02-10,50.4330
2023-02-09,50.8035
2023-02-08,50.6351
2023-02-07,50.5810
2023-02-06,50.6567
2023-02-03,51.2152
2023-02-02,50.9032
2023-02-01,50.2763
2023-01-31,50.2784
2023-01-30,50.3582
2023-01-27,50.3970
2023-01-26,50.2807
2023-01-25,50.2928
2023-01-24,50.3029
2023-01-23,50.1280
2023-01-20,50.1819
2023-01-19,50.1582
2023-01-18,50.1031
2023-01-17,49.7636
2023-01-13,49.3469
2023-01-12,49.4367
2023-01-11,49.2930
2023-01-10,48.7921
2023-01-09,48.8384
2023-01-06,48.3409
2023-01-05,48.0434
2023-01-04,48.0833
2023-01-03,47.9111
2022-12-30,47.5857
2022-12-29,47.6156
2022-12-28,47.6679
2022-12-27,47.7051
2022-12-23,47.8389
2022-12-22,47.8612
2022-12-21,47.9445
2022-12-20,47.9385
2022-12-19,48.0931
2022-12-16,48.0315
2022-12-15,48.4706
2022-12-14,48.8157
2022-12-13,48.8287
2022-12-12,48.3861
2022-12-09,48.2734
2022-12-08,48.0654
2022-12-07,48.1958
2022-12-06,48.5185
2022-12-05,48.6910
2022-12-02,48.8656
2022-12-01,48.8916
2022-11-30,48.5415
2022-11-29,48.6742
2022-11-28,48.9535
2022-11-25,48.8471
2022-11-23,48.6010
2022-11-22,48.4709
2022-11-21,48.1375
2022-11-18,48.4641
2022-11-17,48.1788
2022-11-16,48.5802
2022-11-15,48.9883
2022-11-14,48.7840
2022-11-11,48.7061
2022-11-10,47.9043
2022-11-09,47.4869
2022-11-08,47.5690
2022-11-07,47.1449
2022-11-04,46.9314
2022-11-03,46.4103
2022-11-02,46.7466
2022-11-01,46.2744
2022-10-31,45.5538
2022-10-28,45.4772
2022-10-27,45.5516
2022-10-26,45.4692
2022-10-25,45.3087
2022-10-24,45.0589
2022-10-21,44.8529
2022-10-20,44.9861
2022-10-19,45.0121
2022-10-18,45.1778
2022-10-17,45.0204
2022-10-14,45.1615
2022-10-13,44.2933
2022-10-12,44.5845
2022-10-11,44.8399
2022-10-10,45.0724
2022-10-07,45.2764
2022-10-06,45.3568
2022-10-05,45.2054
2022-10-04,45.2956
2022-10-03,44.8153
2022-09-30,44.5775
2022-09-29,44.8540
2022-09-28,44.7207
2022-09-27,44.8934
2022-09-26,45.0304
2022-09-23,45.2244
2022-09-22,45.5231
2022-09-21,45.6323
2022-09-20,45.7103
2022-09-19,45.7082
2022-09-16,45.7908
2022-09-15,45.8699
2022-09-14,45.8436
2022-09-13,46.1696
2022-09-12,46.4012
2022-09-09,46.3513
2022-09-08,46.2416
2022-09-07,46.0180
2022-09-06,46.4939
2022-09-02,46.8577
2022-09-01,46.9872
2022-08-31,47.2913
2022-08-30,47.5247
2022-08-29,47.3169
2022-08-26,47.9950
2022-08-25,47.7991
2022-08-24,47.7325
2022-08-23,47.8611
2022-08-22,48.2204
2022-08-19,48.3884
2022-08-18,48.2708
2022-08-17,48.3805
2022-08-16,48.1845
2022-08-15,48.2990
2022-08-12,48.1842
2022-08-11,48.1498
2022-08-10,47.8668
2022-08-09,47.7960
2022-08-08,48.2991
2022-08-05,48.1237
2022-08-04,48.1123
2022-08-03,48.1739
2022-08-02,48.0453
2022-08-01,47.9622
2022-07-29,47.7126
2022-07-28,48.1180
2022-07-27,47.9329
2022-07-26,47.9624
2022-07-25,48.0717
2022-07-22,48.3972
2022-07-21,48.0207
2022-07-20,48.0607
2022-07-19,47.5970
2022-07-18,47.3231
2022-07-15,47.1800
2022-07-14,46.9967
2022-07-13,47.0746
2022-07-12,47.2032
2022-07-11,47.2980
2022-07-08,47.3148
2022-07-07,47.1742
2022-07-06,47.0636
2022-07-05,46.7911
2022-07-01,46.9370
2022-06-30,47.0864
2022-06-29,47.4554
2022-06-28,47.7893
2022-06-27,47.7560
2022-06-24,47.4954
2022-06-23,47.4566
2022-06-22,47.3995
2022-06-21,47.6507
2022-06-17,47.3047
2022-06-16,47.1624
2022-06-15,47.3043
2022-06-14,47.3175
2022-06-13,47.5980
2022-06-10,48.2271
2022-06-09,48.7058
2022-06-08,48.8070
2022-06-07,48.6523
2022-06-06,48.9192
2022-06-03,48.9637
2022-06-02,48.8604
2022-06-01,49.3230
2022-05-31,49.0134
2022-05-27,48.5207
2022-05-26,48.1879
2022-05-25,48.0052
2022-05-24,48.1760
2022-05-23,48.2690
2022-05-20,48.3450
2022-05-19,48.0120
2022-05-18,48.1294
2022-05-17,47.8884
2022-05-16,47.6738
2022-05-13,47.5225
2022-05-12,47.1378
2022-05-11,46.8331
2022-05-10,47.0391
2022-05-09,46.9469
2022-05-06,47.2677
2022-05-05,47.7029
2022-05-04,47.5568
2022-05-03,47.5148
2022-05-02,47.4585
2022-04-29,47.6820
2022-04-28,47.5609
2022-04-27,47.1687
2022-04-26,47.5026
2022-04-25,47.5239
2022-04-22,47.7043
2022-04-21,48.2441
2022-04-20,48.1151
2022-04-19,47.7406
2022-04-18,47.8066
2022-04-14,48.3960
2022-04-13,48.1949
2022-04-12,48.5613
2022-04-11,48.7780
2022-04-08,49.4486
2022-04-07,49.4624
2022-04-06,49.6630
2022-04-05,50.3531
2022-04-04,50.3478
2022-04-01,50.2975
2022-03-31,50.5737
2022-03-30,50.7379
2022-03-29,50.9058
2022-03-28,50.5371
2022-03-25,50.8464
2022-03-24,50.8327
2022-03-23,50.6755
2022-03-22,50.6825
2022-03-21,50.7926
2022-03-18,50.5688
2022-03-17,50.2549
2022-03-16,49.9594
2022-03-15,49.2849
2022-03-14,49.2849
2022-03-11,49.8591
2022-03-10,49.8121
2022-03-09,49.2419
2022-03-08,49.0842
2022-03-07,49.3446
2022-03-04,49.5667
2022-03-03,50.1358
2022-03-02,49.8854
2022-03-01,50.1693
2022-02-28,50.2255
2022-02-25,50.2886
2022-02-24,49.3037
2022-02-23,50.4019
2022-02-22,50.1574
2022-02-18,50.6086
2022-02-17,50.8003
2022-02-16,50.8679
2022-02-15,51.0706
2022-02-14,51.0549
2022-02-11,51.5814
2022-02-10,51.5277
2022-02-09,51.4896
2022-02-08,51.4294
2022-02-07,51.4985
2022-02-04,51.3873
2022-02-03,51.5338
2022-02-02,53.0653
2022-02-01,52.0343
2022-01-31,51.5766
2022-01-28,50.7424
2022-01-27,50.8405
2022-01-26,52.1997
2022-01-25,51.5313
2022-01-24,51.8475
2022-01-21,52.2061
2022-01-20,52.7650
2022-01-19,52.3657
2022-01-18,54.1240
2022-01-14,54.8179
2022-01-13,55.4185
2022-01-12,55.3304
2022-01-11,54.9565
2022-01-10,54.8184
2022-01-07,55.2622
2022-01-06,55.2442
2022-01-05,57.1127
2022-01-04,56.2041
2022-01-03,55.8097
2021-12-31,55.6979
2021-12-30,55.8032
2021-12-29,55.9789
2021-12-28,56.2136
2021-12-27,55.6736
2021-12-23,55.4244
2021-12-22,55.0005
2021-12-21,54.6732
2021-12-20,54.4495
2021-12-17,55.0931
2021-12-16,55.6241
2021-12-15,55.3854
2021-12-14,55.0407
2021-12-13,55.4983
2021-12-10,55.5653
2021-12-09,55.8650
2021-12-08,56.1568
2021-12-07,55.7846
2021-12-06,55.1625
2021-12-03,55.5003
2021-12-02,54.9989
2021-12-01,56.0645
2021-11-30,55.8842
2021-11-29,55.7822
2021-11-26,55.6802
2021-11-24,55.7122
2021-11-23,55.8447
2021-11-22,56.6517
2021-11-19,56.6818
2021-11-18,56.6843
2021-11-17,56.4783
2021-11-16,56.5105
2021-11-15,56.3391
2021-11-12,56.1038
2021-11-11,56.0674
2021-11-10,56.0216
2021-11-09,56.4930
2021-11-08,56.7046
2021-11-05,56.5842
2021-11-04,56.3805
2021-11-03,56.4025
2021-11-02,56.2141
2021-11-01,55.8344
2021-10-29,55.0352
2021-10-28,54.9742
2021-10-27,54.8385
2021-10-26,55.3484
2021-10-25,54.8619
2021-10-22,54.4177
2021-10-21,54.1914
2021-10-20,54.5523
2021-10-19,54.4517
2021-10-18,54.1569
2021-10-15,54.5831
2021-10-14,54.2062
2021-10-13,53.9631
2021-10-12,53.8709
2021-10-11,53.8505
2021-10-08,53.5641
2021-10-07,53.2776
2021-10-06,53.0474
2021-10-05,53.4891
2021-10-04,53.7846
2021-10-01,54.2317
2021-09-30,54.6032
2021-09-29,54.9188
2021-09-28,55.4678
2021-09-27,55.9871
2021-09-24,55.9455
2021-09-23,55.5912
2021-09-22,55.2351
2021-09-21,55.0690
2021-09-20,54.3287
2021-09-17,54.9290
2021-09-16,55.0273
2021-09-15,54.8728
2021-09-14,55.0459
