,SMA
2024-06-04,86.8514
2024-06-03,86.8408
2024-05-31,86.8374
2024-05-30,86.8444
2024-05-29,86.8586
2024-05-28,86.8880
2024-05-24,86.9186
2024-05-23,86.9678
2024-05-22,87.0072
2024-05-21,87.0504
2024-05-20,87.0902
2024-05-17,87.1201
2024-05-16,87.1577
2024-05-15,87.2041
2024-05-14,87.2581
2024-05-13,87.3300
2024-05-10,87.4192
2024-05-09,87.5052
2024-05-08,87.5846
2024-05-07,87.6587
2024-05-06,87.7151
2024-05-03,87.7549
2024-05-02,87.8009
2024-05-01,87.8535
2024-04-30,87.9006
2024-04-29,87.9507
2024-04-26,88.0031
2024-04-25,88.0409
2024-04-24,88.0827
2024-04-23,88.1205
2024-04-22,88.1665
2024-04-19,88.2121
2024-04-18,88.2602
2024-04-17,88.3060
2024-04-16,88.3434
2024-04-15,88.3750
2024-04-12,88.4093
2024-04-11,88.4352
2024-04-10,88.4656
2024-04-09,88.4997
2024-04-08,88.5417
2024-04-05,88.5927
2024-04-04,88.6536
2024-04-03,88.7139
2024-04-02,88.7791
2024-04-01,88.8535
2024-03-28,88.9230
2024-03-27,88.9845
2024-03-26,89.0411
2024-03-25,89.0876
2024-03-22,89.1462
2024-03-21,89.1959
2024-03-20,89.2447
2024-03-19,89.2896
2024-03-18,89.3240
2024-03-15,89.3490
2024-03-14,89.3912
2024-03-13,89.4277
2024-03-12,89.4643
2024-03-11,89.4977
2024-03-08,89.5415
2024-03-07,89.5923
2024-03-06,89.6449
2024-03-05,89.7049
2024-03-04,89.7505
2024-03-01,89.7853
2024-02-29,89.8187
2024-02-28,89.8603
2024-02-27,89.9002
2024-02-26,89.9328
2024-02-23,89.9626
2024-02-22,89.9809
2024-02-21,90.0032
2024-02-20,90.0261
2024-02-16,90.0414
2024-02-15,90.0447
2024-02-14,90.0474
2024-02-13,90.0277
2024-02-12,90.0117
2024-02-09,89.9917
2024-02-08,89.9679
2024-02-07,89.9448
2024-02-06,89.9164
2024-02-05,89.8877
2024-02-02,89.8542
2024-02-01,89.8210
2024-01-31,89.7821
2024-01-30,89.7386
2024-01-29,89.6975
2024-01-26,89.6616
2024-01-25,89.6298
2024-01-24,89.5809
2024-01-23,89.5265
2024-01-22,89.4802
2024-01-19,89.4335
2024-01-18,89.3931
2024-01-17,89.3551
2024-01-16,89.3119
2024-01-12,89.2522
2024-01-11,89.1825
2024-01-10,89.1251
2024-01-09,89.0896
2024-01-08,89.0691
2024-01-05,89.0562
2024-01-04,89.0454
2024-01-03,89.0267
2024-01-02,88.9985
2023-12-29,88.9522
2023-12-28,88.8948
2023-12-27,88.8478
2023-12-26,88.8035
2023-12-22,88.7718
2023-12-21,88.7508
2023-12-20,88.7283
2023-12-19,88.7087
2023-12-18,88.6831
2023-12-15,88.6452
2023-12-14,88.5927
2023-12-13,88.5544
2023-12-12,88.5185
2023-12-11,88.4896
2023-12-08,88.4553
2023-12-07,88.4278
2023-12-06,88.4004
2023-12-05,88.3731
2023-12-04,88.3703
2023-12-01,88.3797
2023-11-30,88.3899
2023-11-29,88.4008
2023-11-28,88.4085
2023-11-27,88.4225
2023-11-24,88.4475
2023-11-22,88.4687
2023-11-21,88.4828
2023-11-20,88.4987
2023-11-17,88.5302
2023-11-16,88.5508
2023-11-15,88.5603
2023-11-14,88.5653
2023-11-13,88.5883
2023-11-10,88.6164
2023-11-09,88.6327
2023-11-08,88.6479
2023-11-07,88.6483
2023-11-06,88.6525
2023-11-03,88.6615
2023-11-02,88.6645
2023-11-01,88.6748
2023-10-31,88.6831
2023-10-30,88.6886
2023-10-27,88.7058
2023-10-26,88.7213
2023-10-25,88.7193
2023-10-24,88.7074
2023-10-23,88.6837
2023-10-20,88.6583
2023-10-19,88.6284
2023-10-18,88.5921
2023-10-17,88.5432
2023-10-16,88.4961
2023-10-13,88.4509
2023-10-12,88.4020
2023-10-11,88.3516
2023-10-10,88.3089
2023-10-09,88.2737
2023-10-06,88.2477
2023-10-05,88.2265
2023-10-04,88.2019
2023-10-03,88.1954
2023-10-02,88.1978
2023-09-29,88.1996
2023-09-28,88.1845
2023-09-27,88.1721
2023-09-26,88.1483
2023-09-25,88.1321
2023-09-22,88.1213
2023-09-21,88.1156
2023-09-20,88.1151
2023-09-19,88.1012
2023-09-18,88.0737
2023-09-15,88.0510
2023-09-14,88.0309
2023-09-13,88.0152
2023-09-12,88.0009
2023-09-11,87.9792
2023-09-08,87.9494
2023-09-07,87.9329
2023-09-06,87.9054
2023-09-05,87.8846
2023-09-01,87.8806
2023-08-31,87.8657
2023-08-30,87.8620
2023-08-29,87.8412
2023-08-28,87.8141
2023-08-25,87.7891
2023-08-24,87.7551
2023-08-23,87.7119
2023-08-22,87.6566
2023-08-21,87.6079
2023-08-18,87.5491
2023-08-17,87.4752
2023-08-16,87.3920
2023-08-15,87.3148
2023-08-14,87.2322
2023-08-11,87.1451
2023-08-10,87.0442
2023-08-09,86.9295
2023-08-08,86.8019
2023-08-07,86.6762
2023-08-04,86.5524
2023-08-03,86.4228
2023-08-02,86.3025
2023-08-01,86.1525
2023-07-31,86.0030
2023-07-28,85.8593
2023-07-27,85.7224
2023-07-26,85.5867
2023-07-25,85.4599
2023-07-24,85.3313
2023-07-21,85.2035
2023-07-20,85.0621
2023-07-19,84.9178
2023-07-18,84.7743
2023-07-17,84.6270
2023-07-14,84.4965
2023-07-13,84.3664
2023-07-12,84.2398
2023-07-11,84.1417
2023-07-10,84.0454
2023-07-07,83.9490
2023-07-06,83.8513
2023-07-05,83.7559
2023-07-03,83.6589
2023-06-30,83.5608
2023-06-29,83.4795
2023-06-28,83.4045
2023-06-27,83.3254
2023-06-26,83.2481
2023-06-23,83.1610
2023-06-22,83.0846
2023-06-21,83.0069
2023-06-20,82.9254
2023-06-16,82.8430
2023-06-15,82.7598
2023-06-14,82.6697
2023-06-13,82.5890
2023-06-12,82.5056
2023-06-09,82.4277
2023-06-08,82.3547
2023-06-07,82.3032
2023-06-06,82.2459
2023-06-05,82.1821
2023-06-02,82.1214
2023-06-01,82.0603
2023-05-31,82.0116
2023-05-30,81.9699
2023-05-26,81.9178
2023-05-25,81.8610
2023-05-24,81.8029
2023-05-23,81.7640
2023-05-22,81.7150
2023-05-19,81.6530
2023-05-18,81.5930
2023-05-17,81.5245
2023-05-16,81.4715
2023-05-15,81.4201
2023-05-12,81.3767
2023-05-11,81.3273
2023-05-10,81.2849
2023-05-09,81.2487
2023-05-08,81.2226
2023-05-05,81.1893
2023-05-04,81.1535
2023-05-03,81.1068
2023-05-02,81.0585
2023-05-01,81.0089
2023-04-28,80.9498
2023-04-27,80.8957
2023-04-26,80.8329
2023-04-25,80.7804
2023-04-24,80.7338
2023-04-21,80.6815
2023-04-20,80.6262
2023-04-19,80.5681
2023-04-18,80.5143
2023-04-17,80.4621
2023-04-14,80.4260
2023-04-13,80.3982
2023-04-12,80.3732
2023-04-11,80.3418
2023-04-10,80.3131
2023-04-06,80.2902
2023-04-05,80.2724
2023-04-04,80.2370
2023-04-03,80.1934
2023-03-31,80.1560
2023-03-30,80.1221
2023-03-29,80.1020
2023-03-28,80.1093
2023-03-27,80.1347
2023-03-24,80.1580
2023-03-23,80.1712
2023-03-22,80.1920
2023-03-21,80.2111
2023-03-20,80.2266
2023-03-17,80.2632
2023-03-16,80.2925
2023-03-15,80.3218
2023-03-14,80.3477
2023-03-13,80.3612
2023-03-10,80.3790
2023-03-09,80.3937
2023-03-08,80.4024
2023-03-07,80.4019
2023-03-06,80.4027
2023-03-03,80.4043
2023-03-02,80.4126
2023-03-01,80.4231
2023-02-28,80.4187
2023-02-27,80.4073
2023-02-24,80.4010
2023-02-23,80.3982
2023-02-22,80.4030
2023-02-21,80.4226
2023-02-17,80.4332
2023-02-16,80.4336
2023-02-15,80.4234
2023-02-14,80.4186
2023-02-13,80.4036
2023-02-10,80.3796
2023-02-09,80.3604
2023-02-08,80.3329
2023-02-07,80.3150
2023-02-06,80.3146
2023-02-03,80.3089
2023-02-02,80.2793
2023-02-01,80.2595
2023-01-31,80.2728
2023-01-30,80.2805
2023-01-27,80.2971
2023-01-26,80.3190
2023-01-25,80.3633
2023-01-24,80.4077
2023-01-23,80.4575
2023-01-20,80.5313
2023-01-19,80.6037
2023-01-18,80.6751
2023-01-17,80.7558
2023-01-13,80.8497
2023-01-12,80.9587
2023-01-11,81.0547
2023-01-10,81.1630
2023-01-09,81.2833
2023-01-06,81.3979
2023-01-05,81.5248
2023-01-04,81.6621
2023-01-03,81.7918
2022-12-30,81.9166
2022-12-29,82.0407
2022-12-28,82.1448
2022-12-27,82.2475
2022-12-23,82.3658
2022-12-22,82.4791
2022-12-21,82.5758
2022-12-20,82.6657
2022-12-19,82.7634
2022-12-16,82.8632
2022-12-15,82.9809
2022-12-14,83.0796
2022-12-13,83.1771
2022-12-12,83.2759
2022-12-09,83.3876
2022-12-08,83.4744
2022-12-07,83.5972
2022-12-06,83.7096
2022-12-05,83.8256
2022-12-02,83.9423
2022-12-01,84.0560
2022-11-30,84.1746
2022-11-29,84.3018
2022-11-28,84.4395
2022-11-25,84.5683
2022-11-23,84.6986
2022-11-22,84.8336
2022-11-21,84.9738
2022-11-18,85.1192
2022-11-17,85.2598
2022-11-16,85.4486
2022-11-15,85.5967
2022-11-14,85.7210
2022-11-11,85.8275
2022-11-10,85.9387
2022-11-09,86.1051
2022-11-08,86.2637
2022-11-07,86.4281
2022-11-04,86.6118
2022-11-03,86.8145
2022-11-02,87.0191
2022-11-01,87.2561
2022-10-31,87.5203
2022-10-28,87.8151
2022-10-27,88.1092
2022-10-26,88.3909
2022-10-25,88.6708
2022-10-24,88.9644
2022-10-21,89.2634
2022-10-20,89.6077
2022-10-19,89.9233
2022-10-18,90.2275
2022-10-17,90.5239
2022-10-14,90.8263
2022-10-13,91.1284
2022-10-12,91.4558
2022-10-11,91.7603
2022-10-10,92.0508
2022-10-07,92.3235
2022-10-06,92.5819
2022-10-05,92.8322
2022-10-04,93.0999
2022-10-03,93.3760
2022-09-30,93.6573
2022-09-29,93.9353
2022-09-28,94.2149
2022-09-27,94.4989
2022-09-26,94.7841
2022-09-23,95.0714
2022-09-22,95.3433
2022-09-21,95.5907
2022-09-20,95.8418
2022-09-19,96.0781
2022-09-16,96.3359
2022-09-15,96.5868
2022-09-14,96.8328
2022-09-13,97.0769
2022-09-12,97.3122
2022-09-09,97.5435
2022-09-08,97.7922
2022-09-07,98.0442
2022-09-06,98.3018
2022-09-02,98.5404
2022-09-01,98.7692
2022-08-31,98.9898
2022-08-30,99.1958
2022-08-29,99.3942
2022-08-26,99.5967
2022-08-25,99.7900
2022-08-24,99.9925
2022-08-23,100.1935
2022-08-22,100.3855
2022-08-19,100.5681
2022-08-18,100.7411
2022-08-17,100.9072
2022-08-16,101.0498
2022-08-15,101.1959
2022-08-12,101.3355
