,EMA
2024-06-04,69.2413
2024-06-03,69.2932
2024-05-31,69.3454
2024-05-30,69.3904
2024-05-29,69.4294
2024-05-28,69.4741
2024-05-24,69.5043
2024-05-23,69.5322
2024-05-22,69.5496
2024-05-21,69.5364
2024-05-20,69.5016
2024-05-17,69.4724
2024-05-16,69.4488
2024-05-15,69.4308
2024-05-14,69.4007
2024-05-13,69.3927
2024-05-10,69.3681
2024-05-09,69.3250
2024-05-08,69.3037
2024-05-07,69.2908
2024-05-06,69.2524
2024-05-03,69.2425
2024-05-02,69.1696
2024-05-01,69.1774
2024-04-30,69.1901
2024-04-29,69.1316
2024-04-26,69.0768
2024-04-25,69.0274
2024-04-24,69.0025
2024-04-23,68.9365
2024-04-22,68.9070
2024-04-19,68.8841
2024-04-18,68.8637
2024-04-17,68.8171
2024-04-16,68.7694
2024-04-15,68.7332
2024-04-12,68.6447
2024-04-11,68.5422
2024-04-10,68.4330
2024-04-09,68.3399
2024-04-08,68.2398
2024-04-05,68.1423
2024-04-04,68.0945
2024-04-03,67.9849
2024-04-02,67.8801
2024-04-01,67.7626
2024-03-28,67.5902
2024-03-27,67.4274
2024-03-26,67.2514
2024-03-25,67.0866
2024-03-22,66.9506
2024-03-21,66.7891
2024-03-20,66.6321
2024-03-19,66.5108
2024-03-18,66.3778
2024-03-15,66.2378
2024-03-14,66.0938
2024-03-13,65.8964
2024-03-12,65.7412
2024-03-11,65.5682
2024-03-08,65.4081
2024-03-07,65.2820
2024-03-06,65.1660
2024-03-05,65.0605
2024-03-04,64.9495
2024-03-01,64.8041
2024-02-29,64.6535
2024-02-28,64.5043
2024-02-27,64.3786
2024-02-26,64.2623
2024-02-23,64.1290
2024-02-22,63.9715
2024-02-21,63.9533
2024-02-20,63.9485
2024-02-16,63.9321
2024-02-15,63.8993
2024-02-14,63.8553
2024-02-13,63.8329
2024-02-12,63.8129
2024-02-09,63.7807
2024-02-08,63.7259
2024-02-07,63.6839
2024-02-06,63.6497
2024-02-05,63.6235
2024-02-02,63.5896
2024-02-01,63.5611
2024-01-31,63.5361
2024-01-30,63.4945
2024-01-29,63.4256
2024-01-26,63.4086
2024-01-25,63.4227
2024-01-24,63.4252
2024-01-23,63.3884
2024-01-22,63.3496
2024-01-19,63.3116
2024-01-18,63.2971
2024-01-17,63.2849
2024-01-16,63.2805
2024-01-12,63.2584
2024-01-11,63.2107
2024-01-10,63.1565
2024-01-09,63.0882
2024-01-08,63.0312
2024-01-05,62.9845
2024-01-04,62.9388
2024-01-03,62.8879
2024-01-02,62.8265
2023-12-29,62.6991
2023-12-28,62.5321
2023-12-27,62.3588
2023-12-26,62.2016
2023-12-22,62.0499
2023-12-21,61.8988
2023-12-20,61.7454
2023-12-19,61.5917
2023-12-18,61.4610
2023-12-15,61.3350
2023-12-14,61.1994
2023-12-13,61.0928
2023-12-12,61.0060
2023-12-11,60.9236
2023-12-08,60.8431
2023-12-07,60.7727
2023-12-06,60.7098
2023-12-05,60.6588
2023-12-04,60.6220
2023-12-01,60.5780
2023-11-30,60.5486
2023-11-29,60.5130
2023-11-28,60.4822
2023-11-27,60.4820
2023-11-24,60.4958
2023-11-22,60.5111
2023-11-21,60.5250
2023-11-20,60.5437
2023-11-17,60.5700
2023-11-16,60.6115
2023-11-15,60.6577
2023-11-14,60.7093
2023-11-13,60.7772
2023-11-10,60.8759
2023-11-09,60.9753
2023-11-08,61.0575
2023-11-07,61.1590
2023-11-06,61.2741
2023-11-03,61.3955
2023-11-02,61.5020
2023-11-01,61.6808
2023-10-31,61.8992
2023-10-30,62.1246
2023-10-27,62.3432
2023-10-26,62.5641
2023-10-25,62.7742
2023-10-24,62.9673
2023-10-23,63.1501
2023-10-20,63.3468
2023-10-19,63.5361
2023-10-18,63.7286
2023-10-17,63.9141
2023-10-16,64.1124
2023-10-13,64.3161
2023-10-12,64.5140
2023-10-11,64.6895
2023-10-10,64.8739
2023-10-09,65.0807
2023-10-06,65.3014
2023-10-05,65.5341
2023-10-04,65.7755
2023-10-03,66.0145
2023-10-02,66.2501
2023-09-29,66.4705
2023-09-28,66.6842
2023-09-27,66.9119
2023-09-26,67.1295
2023-09-25,67.3525
2023-09-22,67.5809
2023-09-21,67.7989
2023-09-20,68.0129
2023-09-19,68.1940
2023-09-18,68.3775
2023-09-15,68.5340
2023-09-14,68.6832
2023-09-13,68.8247
2023-09-12,68.9729
2023-09-11,69.1256
2023-09-08,69.2780
2023-09-07,69.4115
2023-09-06,69.5441
2023-09-05,69.6633
2023-09-01,69.7789
2023-08-31,69.8934
2023-08-30,70.0149
2023-08-29,70.1424
2023-08-28,70.2888
2023-08-25,70.4324
2023-08-24,70.5834
2023-08-23,70.7142
2023-08-22,70.8591
2023-08-21,70.9902
2023-08-18,71.1324
2023-08-17,71.2943
2023-08-16,71.4372
2023-08-15,71.5709
2023-08-14,71.6863
2023-08-11,71.8031
2023-08-10,71.9057
2023-08-09,71.9946
2023-08-08,72.0786
2023-08-07,72.1719
2023-08-04,72.2524
2023-08-03,72.2984
2023-08-02,72.2877
2023-08-01,72.2390
2023-07-31,72.1622
2023-07-28,72.0896
2023-07-27,72.0271
2023-07-26,71.9587
2023-07-25,71.9165
2023-07-24,71.8595
2023-07-21,71.8193
2023-07-20,71.7685
2023-07-19,71.7136
2023-07-18,71.6389
2023-07-17,71.5743
2023-07-14,71.5368
2023-07-13,71.4888
2023-07-12,71.4762
2023-07-11,71.4626
2023-07-10,71.4798
2023-07-07,71.5265
2023-07-06,71.6001
2023-07-05,71.6425
2023-07-03,71.7019
2023-06-30,71.7525
2023-06-29,71.8194
2023-06-28,71.8892
2023-06-27,71.9715
2023-06-26,72.0684
2023-06-23,72.1629
2023-06-22,72.2570
2023-06-21,72.3311
2023-06-20,72.3876
2023-06-16,72.4529
2023-06-15,72.5126
2023-06-14,72.6017
2023-06-13,72.6797
2023-06-12,72.7530
2023-06-09,72.8288
2023-06-08,72.9049
2023-06-07,72.9706
2023-06-06,73.0356
2023-06-05,73.1429
2023-06-02,73.2377
2023-06-01,73.3456
2023-05-31,73.4830
2023-05-30,73.6344
2023-05-26,73.7739
2023-05-25,73.9173
2023-05-24,74.0369
2023-05-23,74.1720
2023-05-22,74.3111
2023-05-19,74.4751
2023-05-18,74.6258
2023-05-17,74.7935
2023-05-16,74.9817
2023-05-15,75.1751
2023-05-12,75.3748
2023-05-11,75.5565
2023-05-10,75.7465
2023-05-09,75.9050
2023-05-08,76.0809
2023-05-05,76.2498
2023-05-04,76.4067
2023-05-03,76.5794
2023-05-02,76.7664
2023-05-01,76.9388
2023-04-28,77.1021
2023-04-27,77.2757
2023-04-26,77.4375
2023-04-25,77.6006
2023-04-24,77.7380
2023-04-21,77.8791
2023-04-20,78.0369
2023-04-19,78.2009
2023-04-18,78.3537
2023-04-17,78.4899
2023-04-14,78.6373
2023-04-13,78.7814
2023-04-12,78.9371
2023-04-11,79.0543
2023-04-10,79.1749
2023-04-06,79.3040
2023-04-05,79.4297
2023-04-04,79.5524
2023-04-03,79.6659
2023-03-31,79.7872
2023-03-30,79.8997
2023-03-29,80.0094
2023-03-28,80.1622
2023-03-27,80.3246
2023-03-24,80.5042
2023-03-23,80.7127
2023-03-22,80.9209
2023-03-21,80.9588
2023-03-20,81.0103
2023-03-17,81.0868
2023-03-16,81.1486
2023-03-15,81.1991
2023-03-14,81.2871
2023-03-13,81.3837
2023-03-10,81.4982
2023-03-09,81.6076
2023-03-08,81.6456
2023-03-07,81.6826
2023-03-06,81.6947
2023-03-03,81.6976
2023-03-02,81.7281
2023-03-01,81.7913
2023-02-28,81.8464
2023-02-27,81.9118
2023-02-24,81.9583
2023-02-23,82.0034
2023-02-22,82.0811
2023-02-21,82.1752
2023-02-17,82.2665
2023-02-16,82.3197
2023-02-15,82.3403
2023-02-14,82.3769
2023-02-13,82.4406
2023-02-10,82.5103
2023-02-09,82.5848
2023-02-08,82.5972
2023-02-07,82.5941
2023-02-06,82.5993
2023-02-03,82.5984
2023-02-02,82.5752
2023-02-01,82.5328
2023-01-31,82.5374
2023-01-30,82.5541
2023-01-27,82.5604
2023-01-26,82.5792
2023-01-25,82.5746
2023-01-24,82.6307
2023-01-23,82.6555
2023-01-20,82.7139
2023-01-19,82.8246
2023-01-18,82.9455
2023-01-17,83.0224
2023-01-13,83.1296
2023-01-12,83.2634
2023-01-11,83.3778
2023-01-10,83.5026
2023-01-09,83.6517
2023-01-06,83.7919
2023-01-05,83.9779
2023-01-04,84.1702
2023-01-03,84.3549
2022-12-30,84.5364
2022-12-29,84.7724
2022-12-28,85.0214
2022-12-27,85.2829
2022-12-23,85.5349
2022-12-22,85.7928
2022-12-21,86.0400
2022-12-20,86.2842
2022-12-19,86.5550
2022-12-16,86.7994
2022-12-15,87.0187
2022-12-14,87.2049
2022-12-13,87.3670
2022-12-12,87.5379
2022-12-09,87.7765
2022-12-08,88.0245
2022-12-07,88.2901
2022-12-06,88.5661
2022-12-05,88.8218
2022-12-02,89.0371
2022-12-01,89.2559
2022-11-30,89.4693
2022-11-29,89.7444
2022-11-28,90.0225
2022-11-25,90.3051
2022-11-23,90.5695
2022-11-22,90.8502
2022-11-21,91.1449
2022-11-18,91.4117
2022-11-17,91.6365
2022-11-16,91.8839
2022-11-15,92.0875
2022-11-14,92.2615
2022-11-11,92.4828
2022-11-10,92.7581
2022-11-09,93.0562
2022-11-08,93.3845
2022-11-07,93.6880
2022-11-04,94.0047
2022-11-03,94.3430
2022-11-02,94.7544
