,SMA
2024-06-04,64.4280
2024-06-03,64.3930
2024-05-31,64.3632
2024-05-30,64.3393
2024-05-29,64.3120
2024-05-28,64.2951
2024-05-24,64.2781
2024-05-23,64.2626
2024-05-22,64.2376
2024-05-21,64.2041
2024-05-20,64.1775
2024-05-17,64.1822
2024-05-16,64.2088
2024-05-15,64.2520
2024-05-14,64.2868
2024-05-13,64.3274
2024-05-10,64.3623
2024-05-09,64.3748
2024-05-08,64.4055
2024-05-07,64.4319
2024-05-06,64.4507
2024-05-03,64.4856
2024-05-02,64.4989
2024-05-01,64.5473
2024-04-30,64.5842
2024-04-29,64.5908
2024-04-26,64.5816
2024-04-25,64.5757
2024-04-24,64.5670
2024-04-23,64.5233
2024-04-22,64.4850
2024-04-19,64.4659
2024-04-18,64.4400
2024-04-17,64.4059
2024-04-16,64.3635
2024-04-15,64.3260
2024-04-12,64.2568
2024-04-11,64.1743
2024-04-10,64.0906
2024-04-09,64.0161
2024-04-08,63.9490
2024-04-05,63.8929
2024-04-04,63.8578
2024-04-03,63.7954
2024-04-02,63.7216
2024-04-01,63.6479
2024-03-28,63.5502
2024-03-27,63.4573
2024-03-26,63.3589
2024-03-25,63.2725
2024-03-22,63.2020
2024-03-21,63.0987
2024-03-20,63.0052
2024-03-19,62.9241
2024-03-18,62.8238
2024-03-15,62.7143
2024-03-14,62.6103
2024-03-13,62.4791
2024-03-12,62.3825
2024-03-11,62.2707
2024-03-08,62.1649
2024-03-07,62.0651
2024-03-06,61.9784
2024-03-05,61.8897
2024-03-04,61.7896
2024-03-01,61.6712
2024-02-29,61.5487
2024-02-28,61.4377
2024-02-27,61.3359
2024-02-26,61.2560
2024-02-23,61.1605
2024-02-22,61.0578
2024-02-21,61.0321
2024-02-20,61.0061
2024-02-16,60.9681
2024-02-15,60.9301
2024-02-14,60.8922
2024-02-13,60.8609
2024-02-12,60.8377
2024-02-09,60.8087
2024-02-08,60.7821
2024-02-07,60.7611
2024-02-06,60.7365
2024-02-05,60.7139
2024-02-02,60.6939
2024-02-01,60.6858
2024-01-31,60.6746
2024-01-30,60.6577
2024-01-29,60.6224
2024-01-26,60.6332
2024-01-25,60.6585
2024-01-24,60.6743
2024-01-23,60.6728
2024-01-22,60.6726
2024-01-19,60.6783
2024-01-18,60.6925
2024-01-17,60.7129
2024-01-16,60.7392
2024-01-12,60.7359
2024-01-11,60.7159
2024-01-10,60.6851
2024-01-09,60.6341
2024-01-08,60.5903
2024-01-05,60.6377
2024-01-04,60.6792
2024-01-03,60.7062
2024-01-02,60.7359
2023-12-29,60.7390
2023-12-28,60.7046
2023-12-27,60.6641
2023-12-26,60.6241
2023-12-22,60.5907
2023-12-21,60.5944
2023-12-20,60.5984
2023-12-19,60.6156
2023-12-18,60.6496
2023-12-15,60.6730
2023-12-14,60.6760
2023-12-13,60.6986
2023-12-12,60.7266
2023-12-11,60.7670
2023-12-08,60.8097
2023-12-07,60.8418
2023-12-06,60.8702
2023-12-05,60.9067
2023-12-04,60.9700
2023-12-01,61.0463
2023-11-30,61.1223
2023-11-29,61.1821
2023-11-28,61.2417
2023-11-27,61.3147
