,1. open,2. high,3. low,4. close,5. volume
2023-07-10,40.5999,40.5999,40.5999,40.5999,250
2023-07-06,40.5999,40.5999,40.5999,40.5999,350
2023-05-12,40.5999,40.5999,40.5999,40.5999,0
2023-05-11,40.5999,40.5999,40.5999,40.5999,0
2023-05-10,40.5999,40.5999,40.5999,40.5999,0
2023-05-09,40.5999,40.5999,40.5999,40.5999,0
2023-05-08,40.5999,40.5999,40.5999,40.5999,0
2023-05-05,40.5999,40.5999,40.5999,40.5999,0
2023-05-04,40.5999,40.5999,40.5999,40.5999,0
2023-05-03,40.5999,40.5999,40.5999,40.5999,0
2023-05-02,40.5999,40.5999,40.5999,40.5999,0
2023-05-01,40.5999,40.5999,40.5999,40.5999,0
2023-04-28,40.5999,40.5999,40.5999,40.5999,0
2023-04-27,40.5999,40.5999,40.5999,40.5999,0
2023-04-25,40.5999,40.5999,40.5999,40.5999,0
2023-04-24,40.5999,40.5999,40.5999,40.5999,0
2023-04-21,40.5999,40.5999,40.5999,40.5999,0
2023-04-20,40.5999,40.5999,40.5999,40.5999,0
2023-04-19,40.5999,40.5999,40.5999,40.5999,0
2023-04-18,40.5999,40.5999,40.5999,40.5999,0
2023-04-17,40.5999,40.5999,40.5999,40.5999,0
2023-04-14,40.5999,40.5999,40.5999,40.5999,0
2023-04-13,40.5999,40.5999,40.5999,40.5999,33
2023-04-12,40.5999,40.5999,40.5999,40.5999,0
2023-04-11,40.5999,40.5999,40.5999,40.5999,0
2023-04-10,40.5999,40.5999,40.5999,40.5999,0
2023-04-06,40.5999,40.5999,40.5999,40.5999,0
2023-04-05,40.5999,40.5999,40.5999,40.5999,0
2023-04-04,40.5999,40.5999,40.5999,40.5999,0
2023-04-03,40.5999,40.5999,40.5999,40.5999,0
2023-03-31,40.5999,40.5999,40.5999,40.5999,0
2023-03-30,40.5999,40.5999,40.5999,40.5999,0
2023-03-29,40.5999,40.5999,40.5999,40.5999,0
2023-03-28,40.5999,40.5999,40.5999,40.5999,0
2023-03-27,40.5999,40.5999,40.5999,40.5999,0
2023-03-24,40.5999,40.5999,40.5999,40.5999,0
2023-03-23,40.5999,40.5999,40.5999,40.5999,0
2023-03-22,40.5999,40.5999,40.5999,40.5999,0
2023-03-21,40.5999,40.5999,40.5999,40.5999,0
2023-03-20,40.5999,40.5999,40.5999,40.5999,0
2023-03-17,40.5999,40.5999,40.5999,40.5999,0
2023-03-16,40.5999,40.5999,40.5999,40.5999,0
2023-03-15,40.5999,40.5999,40.5999,40.5999,0
2023-03-14,40.5999,40.5999,40.5999,40.5999,0
