,EMA
2023-07-10,45.5538
2023-07-06,45.6036
2023-05-12,45.6539
2023-05-11,45.7047
2023-05-10,45.7560
2023-05-09,45.8078
2023-05-08,45.8601
2023-05-05,45.9130
2023-05-04,45.9664
2023-05-03,46.0203
2023-05-02,46.0748
2023-05-01,46.1298
2023-04-28,46.1854
2023-04-27,46.2416
2023-04-25,46.2983
2023-04-24,46.3555
2023-04-21,46.4134
2023-04-20,46.4718
2023-04-19,46.5308
2023-04-18,46.5904
2023-04-17,46.6506
2023-04-14,46.7114
2023-04-13,46.7729
2023-04-12,46.8349
2023-04-11,46.8976
2023-04-10,46.9609
2023-04-06,47.0248
2023-04-05,47.0894
2023-04-04,47.1546
2023-04-03,47.2205
2023-03-31,47.2870
2023-03-30,47.3542
2023-03-29,47.4221
2023-03-28,47.4907
2023-03-27,47.5599
2023-03-24,47.6299
2023-03-23,47.7005
2023-03-22,47.7719
2023-03-21,47.8440
2023-03-20,47.9168
2023-03-17,47.9903
2023-03-16,48.0646
2023-03-15,48.1396
2023-03-14,48.2154
2023-03-13,48.2919
2023-03-10,48.3692
2023-03-09,48.4473
2023-03-08,48.5262
2023-03-07,48.6058
2023-03-06,48.6863
2023-03-03,48.7676
2023-03-02,48.8496
2023-03-01,48.9326
2023-02-28,49.0163
2023-02-27,49.1009
2023-02-24,49.1863
2023-02-23,49.2726
2023-02-22,49.3598
2023-02-21,49.4478
2023-02-17,49.5367
2023-02-16,49.6266
2023-02-15,49.7173
2023-02-14,49.8089
2023-02-13,49.9015
2023-02-10,49.9949
2023-02-09,50.0894
2023-02-08,50.1847
2023-02-07,50.2811
2023-02-06,50.3784
2023-02-03,50.4766
2023-02-02,50.5759
2023-02-01,50.6762
2023-01-31,50.7774
2023-01-30,50.8797
2023-01-27,50.9830
2023-01-26,51.0874
2023-01-25,51.1928
2023-01-24,51.2993
2023-01-23,51.4068
2023-01-20,51.5154
2023-01-19,51.6251
2023-01-18,51.7359
2023-01-17,51.8478
2023-01-13,51.9609
2023-01-12,52.0751
2023-01-11,52.1904
2023-01-10,52.3069
2023-01-09,52.4245
2023-01-06,52.5434
2023-01-05,52.6634
2023-01-04,52.7846
2023-01-03,52.9071
2022-12-30,53.0308
2022-12-29,53.1557
2022-12-28,53.2819
2022-12-27,53.4094
2022-12-23,53.5381
2022-12-22,53.6681
2022-12-21,53.7995
2022-12-20,53.9321
2022-12-19,54.0661
2022-12-16,54.2015
2022-12-15,54.3382
2022-12-14,54.4763
2022-12-13,54.6157
2022-12-12,54.7566
2022-12-09,54.8989
2022-12-08,55.0426
2022-12-07,55.1877
2022-12-06,55.3343
2022-12-05,55.4824
2022-12-02,55.6320
2022-12-01,55.7831
2022-11-30,55.9357
2022-11-29,56.0898
2022-11-28,56.2455
2022-11-25,56.4027
2022-11-23,56.5615
2022-11-22,56.7219
2022-11-21,56.8840
2022-11-18,57.0476
2022-11-17,57.2129
2022-11-16,57.3799
2022-11-15,57.5485
2022-11-14,57.7189
2022-11-11,57.8909
2022-11-10,58.0647
2022-11-09,58.2402
2022-11-08,58.4175
2022-11-07,58.5966
2022-11-04,58.7775
2022-11-03,58.9602
2022-11-02,59.1447
2022-11-01,59.3311
2022-10-31,59.5193
2022-10-28,59.7095
2022-10-27,59.9015
2022-10-26,60.0955
2022-10-25,60.2914
2022-10-24,60.4893
2022-10-21,60.6892
2022-10-20,60.8911
2022-10-19,61.0951
2022-10-18,61.3011
2022-10-17,61.5091
2022-10-14,61.7192
2022-10-13,61.9315
2022-10-12,62.1459
2022-10-11,62.3624
2022-10-10,62.5812
2022-10-07,62.8021
2022-10-06,63.0252
2022-10-05,63.2506
2022-10-04,63.4782
2022-10-03,63.7082
2022-09-30,63.9404
2022-09-29,64.1750
2022-09-28,64.4119
2022-09-27,64.6512
2022-09-26,64.8930
2022-09-23,64.9648
2022-09-22,65.0373
2022-09-21,65.1105
2022-09-20,65.1845
2022-09-19,65.2592
2022-09-16,65.3347
2022-09-15,65.4109
2022-09-14,65.4879
2022-09-13,65.5657
2022-09-12,65.6442
2022-09-09,65.7235
2022-09-08,65.8037
2022-09-07,65.8846
2022-09-06,65.9664
2022-09-02,66.0489
2022-09-01,66.1324
2022-08-31,66.2166
2022-08-30,66.3017
2022-08-29,66.3876
2022-08-26,66.4744
2022-08-25,66.5621
2022-08-24,66.6507
2022-08-23,66.7401
2022-08-22,66.8305
2022-08-19,66.9218
2022-08-18,67.0139
2022-08-17,67.1070
2022-08-16,67.2011
2022-08-15,67.2961
2022-08-12,67.3920
2022-08-11,67.4889
2022-08-10,67.5868
2022-08-09,67.6857
2022-08-08,67.7855
2022-08-05,67.8864
2022-08-04,67.9882
2022-08-03,68.0911
2022-08-02,68.1951
2022-08-01,68.3001
2022-07-29,68.4061
2022-07-28,68.5132
2022-07-27,68.6214
2022-07-26,68.7306
2022-07-25,68.8410
2022-07-22,68.9524
2022-07-21,69.0650
2022-07-20,69.1787
2022-07-19,69.2936
2022-07-18,69.4096
2022-07-15,69.5268
2022-07-14,69.6452
2022-07-13,69.7647
2022-07-12,69.8855
2022-07-11,70.0074
2022-07-08,70.1306
2022-07-07,70.2550
2022-07-06,70.3807
2022-07-05,70.5077
2022-07-01,70.6359
2022-06-30,70.7654
2022-06-29,70.8962
2022-06-28,71.0283
2022-06-27,71.1618
2022-06-24,71.2966
2022-06-23,71.4327
2022-06-22,71.5702
2022-06-21,71.7091
2022-06-17,71.8494
2022-06-16,71.9911
2022-06-15,72.1342
2022-06-14,72.2788
2022-06-13,72.4248
2022-06-10,72.5723
2022-06-09,72.7213
2022-06-08,72.8717
2022-06-07,73.0237
2022-06-06,73.1772
2022-06-03,73.3323
2022-06-02,73.4889
2022-06-01,73.6471
