,RSI
2023-07-10,18.9090
2023-07-06,18.9090
2023-05-12,18.9090
2023-05-11,18.9090
2023-05-10,18.9090
2023-05-09,18.9090
2023-05-08,18.9090
2023-05-05,18.9090
2023-05-04,18.9090
2023-05-03,18.9090
2023-05-02,18.9090
2023-05-01,18.9090
2023-04-28,18.9090
2023-04-27,18.9090
2023-04-25,18.9090
2023-04-24,18.9090
2023-04-21,18.9090
2023-04-20,18.9090
2023-04-19,18.9090
2023-04-18,18.9090
2023-04-17,18.9090
2023-04-14,18.9090
2023-04-13,18.9090
2023-04-12,18.9090
2023-04-11,18.9090
2023-04-10,18.9090
2023-04-06,18.9090
2023-04-05,18.9090
2023-04-04,18.9090
2023-04-03,18.9090
2023-03-31,18.9090
2023-03-30,18.9090
2023-03-29,18.9090
2023-03-28,18.9090
2023-03-27,18.9090
2023-03-24,18.9090
2023-03-23,18.9090
2023-03-22,18.9090
2023-03-21,18.9090
2023-03-20,18.9090
2023-03-17,18.9090
2023-03-16,18.9090
2023-03-15,18.9090
2023-03-14,18.9090
2023-03-13,18.9090
2023-03-10,18.9090
2023-03-09,18.9090
2023-03-08,18.9090
2023-03-07,18.9090
2023-03-06,18.9090
2023-03-03,18.9090
2023-03-02,18.9090
2023-03-01,18.9090
2023-02-28,18.9090
2023-02-27,18.9090
2023-02-24,18.9090
2023-02-23,18.9090
2023-02-22,18.9090
2023-02-21,18.9090
2023-02-17,18.9090
2023-02-16,18.9090
2023-02-15,18.9090
2023-02-14,18.9090
2023-02-13,18.9090
2023-02-10,18.9090
2023-02-09,18.9090
2023-02-08,18.9090
2023-02-07,18.9090
2023-02-06,18.9090
2023-02-03,18.9090
2023-02-02,18.9090
2023-02-01,18.9090
2023-01-31,18.9090
2023-01-30,18.9090
2023-01-27,18.9090
2023-01-26,18.9090
2023-01-25,18.9090
2023-01-24,18.9090
2023-01-23,18.9090
2023-01-20,18.9090
2023-01-19,18.9090
2023-01-18,18.9090
2023-01-17,18.9090
2023-01-13,18.9090
2023-01-12,18.9090
2023-01-11,18.9090
2023-01-10,18.9090
2023-01-09,18.9090
2023-01-06,18.9090
2023-01-05,18.9090
2023-01-04,18.9090
2023-01-03,18.9090
2022-12-30,18.9090
2022-12-29,18.9090
2022-12-28,18.9090
2022-12-27,18.9090
2022-12-23,18.9090
2022-12-22,18.9090
2022-12-21,18.9090
2022-12-20,18.9090
2022-12-19,18.9090
2022-12-16,18.9090
2022-12-15,18.9090
2022-12-14,18.9090
2022-12-13,18.9090
2022-12-12,18.9090
2022-12-09,18.9090
2022-12-08,18.9090
2022-12-07,18.9090
2022-12-06,18.9090
2022-12-05,18.9090
2022-12-02,18.9090
2022-12-01,18.9090
2022-11-30,18.9090
2022-11-29,18.9090
2022-11-28,18.9090
2022-11-25,18.9090
2022-11-23,18.9090
2022-11-22,18.9090
2022-11-21,18.9090
2022-11-18,18.9090
2022-11-17,18.9090
2022-11-16,18.9090
2022-11-15,18.9090
2022-11-14,18.9090
2022-11-11,18.9090
2022-11-10,18.9090
2022-11-09,18.9090
2022-11-08,18.9090
2022-11-07,18.9090
2022-11-04,18.9090
2022-11-03,18.9090
2022-11-02,18.9090
2022-11-01,18.9090
2022-10-31,18.9090
2022-10-28,18.9090
2022-10-27,18.9090
2022-10-26,18.9090
2022-10-25,18.9090
2022-10-24,18.9090
2022-10-21,18.9090
2022-10-20,18.9090
2022-10-19,18.9090
2022-10-18,18.9090
2022-10-17,18.9090
2022-10-14,18.9090
2022-10-13,18.9090
2022-10-12,18.9090
2022-10-11,18.9090
2022-10-10,18.9090
2022-10-07,18.9090
2022-10-06,18.9090
2022-10-05,18.9090
2022-10-04,18.9090
2022-10-03,18.9090
2022-09-30,18.9090
2022-09-29,18.9090
2022-09-28,18.9090
2022-09-27,18.9090
2022-09-26,20.7761
2022-09-23,20.7761
2022-09-22,20.7761
2022-09-21,20.7761
2022-09-20,20.7761
2022-09-19,20.7761
2022-09-16,20.7761
2022-09-15,20.7761
2022-09-14,20.7761
2022-09-13,20.7761
2022-09-12,20.7761
2022-09-09,20.7761
2022-09-08,20.7761
2022-09-07,20.7761
2022-09-06,20.7761
2022-09-02,20.7761
2022-09-01,20.7761
2022-08-31,20.7761
2022-08-30,20.7761
2022-08-29,20.7761
2022-08-26,20.7761
2022-08-25,20.7761
2022-08-24,20.7761
2022-08-23,20.7761
2022-08-22,20.7761
2022-08-19,20.7761
2022-08-18,20.7761
2022-08-17,20.7761
2022-08-16,20.7761
2022-08-15,20.7761
2022-08-12,20.7761
2022-08-11,20.7761
2022-08-10,20.7761
2022-08-09,20.7761
2022-08-08,20.7761
2022-08-05,20.7761
2022-08-04,20.7761
2022-08-03,20.7761
2022-08-02,20.7761
2022-08-01,20.7761
2022-07-29,20.7761
2022-07-28,20.7761
2022-07-27,20.7761
2022-07-26,20.7761
2022-07-25,20.7761
2022-07-22,20.7761
2022-07-21,20.7761
2022-07-20,20.7761
2022-07-19,20.7761
2022-07-18,20.7761
2022-07-15,20.7761
2022-07-14,20.7761
2022-07-13,20.7761
2022-07-12,20.7761
2022-07-11,20.7761
2022-07-08,20.7761
2022-07-07,20.7761
2022-07-06,20.7761
2022-07-05,20.7761
2022-07-01,20.7761
2022-06-30,20.7761
2022-06-29,20.7761
2022-06-28,20.7761
2022-06-27,20.7761
2022-06-24,20.7761
2022-06-23,20.7761
2022-06-22,20.7761
2022-06-21,20.7761
2022-06-17,20.7761
2022-06-16,20.7761
2022-06-15,20.7761
2022-06-14,20.7761
2022-06-13,20.7761
2022-06-10,20.7761
2022-06-09,20.7761
2022-06-08,20.7761
2022-06-07,20.7761
2022-06-06,20.7761
2022-06-03,20.7761
2022-06-02,20.7761
2022-06-01,20.7761
2022-05-31,20.7761
2022-05-27,20.7761
2022-05-26,20.7761
2022-05-25,20.7761
2022-05-24,20.7761
2022-05-23,20.7761
2022-05-20,20.7761
2022-05-19,20.7761
2022-05-18,20.7761
2022-05-17,20.7761
2022-05-16,20.7761
2022-05-13,20.7761
2022-05-12,20.7761
2022-05-11,20.7761
2022-05-10,20.7761
2022-05-09,20.7761
2022-05-06,20.7761
2022-05-05,20.7761
2022-05-04,20.7761
2022-05-03,20.7761
2022-05-02,20.7761
2022-04-29,20.7761
2022-04-28,20.7761
2022-04-27,20.7761
2022-04-26,20.7761
2022-04-25,20.7761
2022-04-22,20.7761
2022-04-21,20.7761
2022-04-20,20.7761
2022-04-19,20.7761
2022-04-18,20.7761
2022-04-14,20.7761
2022-04-13,20.7761
2022-04-12,20.7761
2022-04-11,20.7761
2022-04-08,20.7761
2022-04-07,20.7761
2022-04-06,20.7761
2022-04-05,20.7761
2022-04-04,20.7761
2022-04-01,20.7761
2022-03-31,20.7761
2022-03-30,20.7761
2022-03-29,20.7761
2022-03-28,20.7761
2022-03-25,20.7761
2022-03-24,20.7761
2022-03-23,20.7761
2022-03-22,20.7761
2022-03-21,20.7761
2022-03-18,20.7761
2022-03-17,20.7761
2022-03-16,20.7761
2022-03-15,20.7761
2022-03-14,20.7761
2022-03-11,20.7761
2022-03-10,20.7761
2022-03-09,20.7761
2022-03-08,20.7761
2022-03-07,20.7761
2022-03-04,20.7761
2022-03-03,20.7761
2022-03-02,20.7761
2022-03-01,20.7761
2022-02-28,20.7761
2022-02-25,20.7761
2022-02-24,20.7761
2022-02-23,20.7761
2022-02-22,20.7761
2022-02-18,20.7761
2022-02-17,20.7761
2022-02-16,20.7761
2022-02-15,20.7761
2022-02-14,20.7761
2022-02-11,20.7761
2022-02-10,20.7761
2022-02-09,20.7761
2022-02-08,20.7761
2022-02-07,20.7761
2022-02-04,20.7761
2022-02-03,20.7761
2022-02-02,20.7761
2022-02-01,20.7761
2022-01-31,20.7761
2022-01-28,20.7761
2022-01-27,20.7761
