,SMA
2023-07-10,44.1157
2023-07-06,44.2014
2023-05-12,44.2872
2023-05-11,44.3729
2023-05-10,44.4587
2023-05-09,44.5444
2023-05-08,44.6302
2023-05-05,44.7159
2023-05-04,44.8017
2023-05-03,44.8874
2023-05-02,44.9732
2023-05-01,45.0589
2023-04-28,45.1447
2023-04-27,45.2304
2023-04-25,45.3162
2023-04-24,45.4019
2023-04-21,45.4877
2023-04-20,45.5734
2023-04-19,45.6592
2023-04-18,45.7449
2023-04-17,45.8307
2023-04-14,45.9164
2023-04-13,46.0022
2023-04-12,46.0879
2023-04-11,46.1737
2023-04-10,46.2594
2023-04-06,46.3452
2023-04-05,46.4309
2023-04-04,46.5167
2023-04-03,46.6024
2023-03-31,46.6882
2023-03-30,46.7739
2023-03-29,46.8597
2023-03-28,46.9454
2023-03-27,47.0312
2023-03-24,47.1169
2023-03-23,47.2027
2023-03-22,47.2884
2023-03-21,47.3742
2023-03-20,47.4599
2023-03-17,47.5457
2023-03-16,47.6314
2023-03-15,47.7172
2023-03-14,47.8029
2023-03-13,47.8887
2023-03-10,47.9744
2023-03-09,48.0602
2023-03-08,48.1459
2023-03-07,48.2317
2023-03-06,48.3174
2023-03-03,48.4032
2023-03-02,48.4889
2023-03-01,48.5747
2023-02-28,48.6604
2023-02-27,48.7462
2023-02-24,48.8319
2023-02-23,48.9177
2023-02-22,49.0034
2023-02-21,49.0892
2023-02-17,49.1750
2023-02-16,49.2607
2023-02-15,49.3465
2023-02-14,49.4322
2023-02-13,49.5180
2023-02-10,49.6037
2023-02-09,49.6895
2023-02-08,49.7752
2023-02-07,49.8610
2023-02-06,49.9467
2023-02-03,50.0325
2023-02-02,50.1182
2023-02-01,50.2040
2023-01-31,50.2897
2023-01-30,50.3755
2023-01-27,50.4612
2023-01-26,50.5470
2023-01-25,50.6327
2023-01-24,50.7185
2023-01-23,50.8042
2023-01-20,50.8900
2023-01-19,50.9757
2023-01-18,51.0615
2023-01-17,51.1472
2023-01-13,51.2330
2023-01-12,51.3187
2023-01-11,51.4045
2023-01-10,51.4902
2023-01-09,51.5760
2023-01-06,51.6617
2023-01-05,51.7475
2023-01-04,51.8332
2023-01-03,51.9190
2022-12-30,52.0047
2022-12-29,52.0905
2022-12-28,52.1762
2022-12-27,52.2620
2022-12-23,52.3477
2022-12-22,52.4335
2022-12-21,52.5192
2022-12-20,52.6050
2022-12-19,52.6907
2022-12-16,52.7765
2022-12-15,52.8622
2022-12-14,52.9480
2022-12-13,53.0337
2022-12-12,53.1195
2022-12-09,53.2052
2022-12-08,53.2910
2022-12-07,53.3767
2022-12-06,53.4625
2022-12-05,53.5482
2022-12-02,53.6340
2022-12-01,53.7197
2022-11-30,53.8055
2022-11-29,53.8912
2022-11-28,53.9770
2022-11-25,54.0627
2022-11-23,54.1485
2022-11-22,54.2342
2022-11-21,54.3200
2022-11-18,54.4057
2022-11-17,54.4915
2022-11-16,54.5772
2022-11-15,54.6630
2022-11-14,54.7487
2022-11-11,54.8345
2022-11-10,54.9202
2022-11-09,55.0060
2022-11-08,55.0917
2022-11-07,55.1775
2022-11-04,55.2632
2022-11-03,55.3490
2022-11-02,55.4347
2022-11-01,55.5205
2022-10-31,55.6062
2022-10-28,55.6920
2022-10-27,55.7777
2022-10-26,55.8635
2022-10-25,55.9492
2022-10-24,56.0350
2022-10-21,56.1207
2022-10-20,56.2065
2022-10-19,56.2922
2022-10-18,56.3780
2022-10-17,56.4637
2022-10-14,56.5495
2022-10-13,56.6352
2022-10-12,56.7210
2022-10-11,56.8067
2022-10-10,56.8925
2022-10-07,56.9782
2022-10-06,57.0640
2022-10-05,57.1497
2022-10-04,57.2355
2022-10-03,57.3212
2022-09-30,57.4070
2022-09-29,57.4927
2022-09-28,57.5785
2022-09-27,57.6642
2022-09-26,57.7500
2022-09-23,57.7500
2022-09-22,57.7500
2022-09-21,57.7500
2022-09-20,57.7500
2022-09-19,57.7500
2022-09-16,57.7500
2022-09-15,57.7500
2022-09-14,57.7500
2022-09-13,57.7500
2022-09-12,57.7500
2022-09-09,57.7500
2022-09-08,57.7500
2022-09-07,57.7500
2022-09-06,57.7500
2022-09-02,57.7500
2022-09-01,57.7500
2022-08-31,57.7500
2022-08-30,57.7500
2022-08-29,57.7500
2022-08-26,57.7500
2022-08-25,57.7500
2022-08-24,57.7500
2022-08-23,57.7500
2022-08-22,57.7500
2022-08-19,57.7500
2022-08-18,57.7500
2022-08-17,57.7500
2022-08-16,57.7500
2022-08-15,57.7500
2022-08-12,57.7500
2022-08-11,57.7500
2022-08-10,57.7500
2022-08-09,57.7500
2022-08-08,57.7500
2022-08-05,57.7500
2022-08-04,57.7500
2022-08-03,57.7500
2022-08-02,57.7500
2022-08-01,57.7500
2022-07-29,57.7500
2022-07-28,57.6823
2022-07-27,57.6145
2022-07-26,57.5468
2022-07-25,57.4790
2022-07-22,57.4113
2022-07-21,57.3435
2022-07-20,57.2758
2022-07-19,57.2080
2022-07-18,57.1403
2022-07-15,57.0725
2022-07-14,57.0048
2022-07-13,56.9370
2022-07-12,56.8693
2022-07-11,56.8015
2022-07-08,56.7338
2022-07-07,56.6660
2022-07-06,56.5983
2022-07-05,56.5305
2022-07-01,56.4628
2022-06-30,56.3950
2022-06-29,56.3273
2022-06-28,56.2595
2022-06-27,56.1918
2022-06-24,56.1240
2022-06-23,56.0563
2022-06-22,55.9885
2022-06-21,55.9208
2022-06-17,55.8530
2022-06-16,55.7853
2022-06-15,55.7175
2022-06-14,55.6498
2022-06-13,55.5820
2022-06-10,55.5143
2022-06-09,55.4465
2022-06-08,55.3788
2022-06-07,55.3110
2022-06-06,55.2433
2022-06-03,55.1755
2022-06-02,55.1078
2022-06-01,55.0400
2022-05-31,54.9723
2022-05-27,54.9045
2022-05-26,54.8368
2022-05-25,54.7690
2022-05-24,54.7013
2022-05-23,54.6335
2022-05-20,54.5658
2022-05-19,54.4980
2022-05-18,54.4303
2022-05-17,54.3625
2022-05-16,54.2948
2022-05-13,54.2270
2022-05-12,54.1593
2022-05-11,54.0915
2022-05-10,54.0238
2022-05-09,53.9560
2022-05-06,53.8883
2022-05-05,53.8205
2022-05-04,53.7528
2022-05-03,53.6850
2022-05-02,53.6173
2022-04-29,53.5495
2022-04-28,53.4818
2022-04-27,53.4140
2022-04-26,53.3463
2022-04-25,53.2785
2022-04-22,53.2108
2022-04-21,53.1430
2022-04-20,53.0753
2022-04-19,53.0075
2022-04-18,52.9398
2022-04-14,52.8720
2022-04-13,52.8043
2022-04-12,52.7365
2022-04-11,52.6688
2022-04-08,52.6010
2022-04-07,52.5333
2022-04-06,52.4655
2022-04-05,52.3978
2022-04-04,52.3300
2022-04-01,52.2623
2022-03-31,52.1945
2022-03-30,52.1268
2022-03-29,52.0590
2022-03-28,51.9913
2022-03-25,51.9235
2022-03-24,51.8558
2022-03-23,51.7880
2022-03-22,51.7203
2022-03-21,51.6525
2022-03-18,51.5848
2022-03-17,51.5170
2022-03-16,51.4493
2022-03-15,51.3815
2022-03-14,51.3138
2022-03-11,51.2460
2022-03-10,51.1783
2022-03-09,51.1105
2022-03-08,51.0428
2022-03-07,50.9750
2022-03-04,50.9073
2022-03-03,50.8395
2022-03-02,50.7718
2022-03-01,50.7040
2022-02-28,50.6363
2022-02-25,50.5685
2022-02-24,50.5008
2022-02-23,50.4330
2022-02-22,50.3653
2022-02-18,50.2975
2022-02-17,50.2298
2022-02-16,50.1620
2022-02-15,50.0943
2022-02-14,50.0265
2022-02-11,49.9588
2022-02-10,49.8910
2022-02-09,49.8233
2022-02-08,49.7555
2022-02-07,49.6878
2022-02-04,49.6200
2022-02-03,49.5523
2022-02-02,49.4845
2022-02-01,49.4168
2022-01-31,49.3490
2022-01-28,49.2813
2022-01-27,49.2135
2022-01-26,49.1458
2022-01-25,49.0780
2022-01-24,49.0103
