,EMA
2024-06-04,155.7558
2024-06-03,155.5817
2024-05-31,155.3915
2024-05-30,155.2438
2024-05-29,155.1101
2024-05-28,154.9907
2024-05-24,154.8909
2024-05-23,154.7933
2024-05-22,154.7031
2024-05-21,154.6190
2024-05-20,154.5277
2024-05-17,154.4379
2024-05-16,154.3568
2024-05-15,154.2772
2024-05-14,154.1958
2024-05-13,154.1038
2024-05-10,154.0006
2024-05-09,153.9021
2024-05-08,153.8142
2024-05-07,153.7329
2024-05-06,153.6484
2024-05-03,153.5485
2024-05-02,153.4405
2024-05-01,153.3173
2024-04-30,153.2110
2024-04-29,153.1062
2024-04-26,153.0050
2024-04-25,152.9185
2024-04-24,152.8056
2024-04-23,152.7133
2024-04-22,152.6191
2024-04-19,152.5123
2024-04-18,152.4284
2024-04-17,152.3576
2024-04-16,152.2910
2024-04-15,152.2134
2024-04-12,152.1211
2024-04-11,152.0467
2024-04-10,151.9670
2024-04-09,151.8819
2024-04-08,151.7954
2024-04-05,151.7198
2024-04-04,151.6287
2024-04-03,151.5117
2024-04-02,151.4133
2024-04-01,151.3137
2024-03-28,151.2001
2024-03-27,151.0881
2024-03-26,150.9821
2024-03-25,150.8913
2024-03-22,150.8026
2024-03-21,150.7014
2024-03-20,150.5975
2024-03-19,150.5022
2024-03-18,150.3946
2024-03-15,150.2851
2024-03-14,150.1611
2024-03-13,150.0370
2024-03-12,149.9020
2024-03-11,149.7636
2024-03-08,149.6256
2024-03-07,149.4845
2024-03-06,149.3003
2024-03-05,149.1406
2024-03-04,148.9933
2024-03-01,148.8617
2024-02-29,148.7288
2024-02-28,148.5771
2024-02-27,148.4326
2024-02-26,148.2935
2024-02-23,148.1562
2024-02-22,148.0158
2024-02-21,147.8740
2024-02-20,147.7364
2024-02-16,147.6125
2024-02-15,147.4880
2024-02-14,147.3574
2024-02-13,147.2255
2024-02-12,147.0881
2024-02-09,146.9493
2024-02-08,146.8157
2024-02-07,146.6777
2024-02-06,146.5387
2024-02-05,146.3970
2024-02-02,146.2710
2024-02-01,146.1180
2024-01-31,145.9786
2024-01-30,145.8267
2024-01-29,145.6714
2024-01-26,145.5229
2024-01-25,145.3905
2024-01-24,145.2293
2024-01-23,145.0581
2024-01-22,144.8708
2024-01-19,144.6782
2024-01-18,144.4929
2024-01-17,144.3232
2024-01-16,144.1469
2024-01-12,143.9817
2024-01-11,143.7992
2024-01-10,143.6187
2024-01-09,143.4345
2024-01-08,143.2499
2024-01-05,143.0592
2024-01-04,142.8788
2024-01-03,142.6906
2024-01-02,142.4990
2023-12-29,142.3322
2023-12-28,142.1784
2023-12-27,142.0298
2023-12-26,141.9012
2023-12-22,141.7804
2023-12-21,141.6579
2023-12-20,141.5332
2023-12-19,141.3980
2023-12-18,141.2617
2023-12-15,141.1213
2023-12-14,140.9751
2023-12-13,140.8116
2023-12-12,140.6315
2023-12-11,140.4511
2023-12-08,140.2863
2023-12-07,140.1323
2023-12-06,139.9864
2023-12-05,139.8482
2023-12-04,139.7293
2023-12-01,139.6234
2023-11-30,139.5278
2023-11-29,139.4509
2023-11-28,139.3731
2023-11-27,139.3005
2023-11-24,139.2211
2023-11-22,139.1419
2023-11-21,139.0604
2023-11-20,138.9741
2023-11-17,138.9032
2023-11-16,138.8299
2023-11-15,138.7461
2023-11-14,138.6827
2023-11-13,138.6066
2023-11-10,138.5350
2023-11-09,138.4640
2023-11-08,138.4011
2023-11-07,138.3323
2023-11-06,138.2562
2023-11-03,138.1800
2023-11-02,138.1028
2023-11-01,138.0508
2023-10-31,138.0024
2023-10-30,137.9838
2023-10-27,137.9672
2023-10-26,137.9344
2023-10-25,137.9359
2023-10-24,137.8999
2023-10-23,137.9051
2023-10-20,137.9314
2023-10-19,137.9432
2023-10-18,137.9406
2023-10-17,137.9124
2023-10-16,137.8751
2023-10-13,137.8419
2023-10-12,137.8197
2023-10-11,137.7792
2023-10-10,137.7515
2023-10-09,137.7433
2023-10-06,137.7447
2023-10-05,137.7663
2023-10-04,137.7786
2023-10-03,137.8085
2023-10-02,137.8155
2023-09-29,137.8112
2023-09-28,137.8092
2023-09-27,137.8017
2023-09-26,137.7933
2023-09-25,137.7878
2023-09-22,137.7949
2023-09-21,137.7964
2023-09-20,137.7719
2023-09-19,137.7387
2023-09-18,137.7228
2023-09-15,137.6845
2023-09-14,137.6386
2023-09-13,137.6142
2023-09-12,137.6026
2023-09-11,137.5906
2023-09-08,137.6000
2023-09-07,137.6136
2023-09-06,137.6575
2023-09-05,137.6800
2023-09-01,137.7000
2023-08-31,137.7228
2023-08-30,137.7396
2023-08-29,137.7592
2023-08-28,137.7982
2023-08-25,137.8494
2023-08-24,137.9157
2023-08-23,137.9613
2023-08-22,137.9951
2023-08-21,138.0411
2023-08-18,138.0798
2023-08-17,138.1137
2023-08-16,138.1248
2023-08-15,138.1333
2023-08-14,138.1442
2023-08-11,138.1527
2023-08-10,138.1799
2023-08-09,138.1918
2023-08-08,138.2278
2023-08-07,138.2617
2023-08-04,138.3060
2023-08-03,138.3476
2023-08-02,138.3927
2023-08-01,138.4201
2023-07-31,138.4397
2023-07-28,138.4349
2023-07-27,138.4471
2023-07-26,138.4287
2023-07-25,138.4160
2023-07-24,138.3939
2023-07-21,138.3889
2023-07-20,138.3810
2023-07-19,138.3979
2023-07-18,138.4015
2023-07-17,138.4212
2023-07-14,138.4289
2023-07-13,138.4401
2023-07-12,138.4303
2023-07-11,138.4242
2023-07-10,138.4458
2023-07-07,138.4566
2023-07-06,138.4727
2023-07-05,138.4876
2023-07-03,138.5008
2023-06-30,138.5133
2023-06-29,138.5423
2023-06-28,138.5846
2023-06-27,138.6244
2023-06-26,138.6770
2023-06-23,138.7485
2023-06-22,138.8153
2023-06-21,138.8901
2023-06-20,138.9851
2023-06-16,139.0773
2023-06-15,139.1726
