,RSI
2024-06-05,56.1588
2024-06-04,55.0807
2024-06-03,55.4048
2024-05-31,54.5790
2024-05-30,54.2836
2024-05-29,53.9844
2024-05-28,53.5833
2024-05-24,53.5190
2024-05-23,53.3573
2024-05-22,53.2189
2024-05-21,53.3632
2024-05-20,53.3147
2024-05-17,53.1287
2024-05-16,53.0842
2024-05-15,53.1060
2024-05-14,53.3177
2024-05-13,53.5455
2024-05-10,53.4351
2024-05-09,53.2139
2024-05-08,53.0705
2024-05-07,53.1245
2024-05-06,53.4362
2024-05-03,53.5926
2024-05-02,53.8979
2024-05-01,53.5576
2024-04-30,53.5104
2024-04-29,53.4220
2024-04-26,53.1254
2024-04-25,53.6799
2024-04-24,53.2666
2024-04-23,53.2883
2024-04-22,53.5401
2024-04-19,53.0857
2024-04-18,52.8168
2024-04-17,52.7243
2024-04-16,52.9437
2024-04-15,53.2462
2024-04-12,52.8865
2024-04-11,52.9836
2024-04-10,53.0827
2024-04-09,53.0945
2024-04-08,52.8715
2024-04-05,53.1863
2024-04-04,53.7275
2024-04-03,53.3534
2024-04-02,53.3578
2024-04-01,53.6396
2024-03-28,53.5890
2024-03-27,53.4540
2024-03-26,53.1508
2024-03-25,53.0923
2024-03-22,53.3404
2024-03-21,53.3747
2024-03-20,53.1972
2024-03-19,53.4379
2024-03-18,53.4528
2024-03-15,53.7405
2024-03-14,53.7185
2024-03-13,53.9250
2024-03-12,53.9687
2024-03-11,53.9352
2024-03-08,53.9711
2024-03-07,54.8619
2024-03-06,54.3877
2024-03-05,54.1344
2024-03-04,53.8205
2024-03-01,53.8205
2024-02-29,54.1929
2024-02-28,54.0345
2024-02-27,53.9112
2024-02-26,53.8514
2024-02-23,53.8893
2024-02-22,53.8875
2024-02-21,53.7873
2024-02-20,53.5160
2024-02-16,53.5034
2024-02-15,53.6045
2024-02-14,53.6045
2024-02-13,53.6906
2024-02-12,53.6906
2024-02-09,53.5746
2024-02-08,53.6354
2024-02-07,53.6302
2024-02-06,53.6563
2024-02-05,53.3556
2024-02-02,53.8763
2024-02-01,53.6137
2024-01-31,53.8359
2024-01-30,53.8743
2024-01-29,53.7309
2024-01-26,53.4238
2024-01-25,53.9777
2024-01-24,54.1503
2024-01-23,54.4419
2024-01-22,54.5133
2024-01-19,54.3566
2024-01-18,54.0553
2024-01-17,54.1543
2024-01-16,53.9333
2024-01-12,54.2521
2024-01-11,54.1839
2024-01-10,54.2241
2024-01-09,54.1987
2024-01-08,54.2826
2024-01-05,54.0772
2024-01-04,54.1963
2024-01-03,54.2261
2024-01-02,53.7773
2023-12-29,53.5260
2023-12-28,53.4102
2023-12-27,53.0422
2023-12-26,52.8854
2023-12-22,52.8951
2023-12-21,52.9124
2023-12-20,53.0909
2023-12-19,53.0858
2023-12-18,53.1392
2023-12-15,53.2230
2023-12-14,53.5264
2023-12-13,53.8125
2023-12-12,53.7894
2023-12-11,53.4986
2023-12-08,53.2926
2023-12-07,53.1310
2023-12-06,52.9783
2023-12-05,52.6300
2023-12-04,52.3891
2023-12-01,52.1964
2023-11-30,51.8581
2023-11-29,51.8617
2023-11-28,51.7580
2023-11-27,51.8710
2023-11-24,51.8541
2023-11-22,51.8794
2023-11-21,51.9534
2023-11-20,51.6793
2023-11-17,51.7097
2023-11-16,51.8867
2023-11-15,51.5282
2023-11-14,51.7459
2023-11-13,51.6576
2023-11-10,51.6344
2023-11-09,51.4884
2023-11-08,51.5817
2023-11-07,51.6995
2023-11-06,51.6864
2023-11-03,51.6934
2023-11-02,51.2628
2023-11-01,51.1953
2023-10-31,50.6899
2023-10-30,50.6532
2023-10-27,50.9308
2023-10-26,50.3459
2023-10-25,51.0009
2023-10-24,50.2895
2023-10-23,49.9235
2023-10-20,50.1819
2023-10-19,50.4346
2023-10-18,50.8902
2023-10-17,51.0460
2023-10-16,50.9696
2023-10-13,50.7759
2023-10-12,51.0965
2023-10-11,50.8727
2023-10-10,50.5296
2023-10-09,50.3649
2023-10-06,50.0130
2023-10-05,50.1795
2023-10-04,49.8750
2023-10-03,50.2799
2023-10-02,50.4829
2023-09-29,50.4400
2023-09-28,50.5376
2023-09-27,50.5515
2023-09-26,50.5007
2023-09-25,50.2838
2023-09-22,50.3833
2023-09-21,50.8356
2023-09-20,50.9817
2023-09-19,50.6847
2023-09-18,51.0743
2023-09-15,51.2019
2023-09-14,50.8318
2023-09-13,50.6092
2023-09-12,50.6144
2023-09-11,50.2494
2023-09-08,50.1782
2023-09-07,49.6590
2023-09-06,50.0344
2023-09-05,50.0824
2023-09-01,50.0364
2023-08-31,50.1453
2023-08-30,50.0980
2023-08-29,49.7732
2023-08-28,49.5691
2023-08-25,49.3198
2023-08-24,49.6797
2023-08-23,49.8869
2023-08-22,49.6849
2023-08-21,49.8158
2023-08-18,49.9031
2023-08-17,50.2959
2023-08-16,50.3416
2023-08-15,50.3050
2023-08-14,50.3453
2023-08-11,50.0351
2023-08-10,50.2976
2023-08-09,49.8945
2023-08-08,49.9378
2023-08-07,49.7660
2023-08-04,49.8205
2023-08-03,49.7691
2023-08-02,50.0688
2023-08-01,50.2027
2023-07-31,50.6167
2023-07-28,50.3344
2023-07-27,50.8534
2023-07-26,50.7570
2023-07-25,50.9135
2023-07-24,50.6302
2023-07-21,50.6770
2023-07-20,50.2683
2023-07-19,50.4931
2023-07-18,50.2290
2023-07-17,50.4335
2023-07-14,50.3763
2023-07-13,50.7292
2023-07-12,50.6692
2023-07-11,50.2126
2023-07-10,50.3966
2023-07-07,50.3101
2023-07-06,50.3332
2023-07-05,50.3644
2023-07-03,50.3791
2023-06-30,50.1116
2023-06-29,49.8996
2023-06-28,49.9480
2023-06-27,49.7460
2023-06-26,49.4456
2023-06-23,49.5332
2023-06-22,49.4132
2023-06-21,49.0943
2023-06-20,49.1525
2023-06-16,49.1184
2023-06-15,49.0132
2023-06-14,48.8530
2023-06-13,49.0358
2023-06-12,49.1894
2023-06-09,48.9854
2023-06-08,48.5940
2023-06-07,48.7231
2023-06-06,49.0861
2023-06-05,49.2118
2023-06-02,48.7278
2023-06-01,50.0503
2023-05-31,49.8527
2023-05-30,49.5319
2023-05-26,49.7037
2023-05-25,49.8953
2023-05-24,50.7074
2023-05-23,50.6318
2023-05-22,50.4580
2023-05-19,50.2613
2023-05-18,50.5659
2023-05-17,51.2219
2023-05-16,51.2353
2023-05-15,51.1113
2023-05-12,50.9856
2023-05-11,50.7898
2023-05-10,50.9182
2023-05-09,51.1342
2023-05-08,51.1655
2023-05-05,50.7707
2023-05-04,50.5526
2023-05-03,50.6275
2023-05-02,51.0216
2023-05-01,51.2737
2023-04-28,51.6004
2023-04-27,51.9936
2023-04-26,51.5780
2023-04-25,51.5914
2023-04-24,51.5696
2023-04-21,51.3777
2023-04-20,51.6908
2023-04-19,52.2692
2023-04-18,52.4198
2023-04-17,52.3030
2023-04-14,52.2140
2023-04-13,52.1956
2023-04-12,52.2023
2023-04-11,52.2503
2023-04-10,52.1218
2023-04-06,52.1629
2023-04-05,51.8029
2023-04-04,51.5851
2023-04-03,51.4951
2023-03-31,51.4799
2023-03-30,51.3950
2023-03-29,51.3223
2023-03-28,51.2785
2023-03-27,51.2545
2023-03-24,51.0280
2023-03-23,51.2018
2023-03-22,51.5082
2023-03-21,51.7033
2023-03-20,51.2174
2023-03-17,50.9666
2023-03-16,51.2318
2023-03-15,51.3140
2023-03-14,50.9874
2023-03-13,50.8043
2023-03-10,50.9813
2023-03-09,51.3880
2023-03-08,51.3326
2023-03-07,51.3703
2023-03-06,51.1138
2023-03-03,51.1637
2023-03-02,50.9550
2023-03-01,51.1040
2023-02-28,51.3187
2023-02-27,51.5263
2023-02-24,51.3334
2023-02-23,51.8316
2023-02-22,52.0608
2023-02-21,52.1225
2023-02-17,51.9526
2023-02-16,51.7516
2023-02-15,51.9136
