,SMA
2024-06-04,153.4639
2024-06-03,153.2836
2024-05-31,153.0974
2024-05-30,152.9323
2024-05-29,152.7760
2024-05-28,152.6183
2024-05-24,152.4786
2024-05-23,152.3287
2024-05-22,152.1841
2024-05-21,152.0380
2024-05-20,151.8903
2024-05-17,151.7423
2024-05-16,151.6081
2024-05-15,151.4791
2024-05-14,151.3618
2024-05-13,151.2312
2024-05-10,151.1107
2024-05-09,150.9901
2024-05-08,150.8800
2024-05-07,150.7650
2024-05-06,150.6501
2024-05-03,150.5157
2024-05-02,150.3843
2024-05-01,150.2381
2024-04-30,150.1069
2024-04-29,149.9753
2024-04-26,149.8565
2024-04-25,149.7436
2024-04-24,149.6042
2024-04-23,149.4811
2024-04-22,149.3549
2024-04-19,149.2237
2024-04-18,149.1052
2024-04-17,148.9942
2024-04-16,148.8774
2024-04-15,148.7490
2024-04-12,148.6151
2024-04-11,148.4844
2024-04-10,148.3424
2024-04-09,148.2007
2024-04-08,148.0552
2024-04-05,147.9058
2024-04-04,147.7509
2024-04-03,147.5825
2024-04-02,147.4208
2024-04-01,147.2540
2024-03-28,147.0867
2024-03-27,146.9255
2024-03-26,146.7617
2024-03-25,146.5940
2024-03-22,146.4319
2024-03-21,146.2757
2024-03-20,146.1226
2024-03-19,145.9595
2024-03-18,145.8321
2024-03-15,145.6983
2024-03-14,145.5480
2024-03-13,145.4036
2024-03-12,145.2602
2024-03-11,145.1404
2024-03-08,145.0192
2024-03-07,144.8918
2024-03-06,144.7376
2024-03-05,144.6058
2024-03-04,144.5004
2024-03-01,144.4039
2024-02-29,144.3036
2024-02-28,144.1908
2024-02-27,144.0761
2024-02-26,143.9687
2024-02-23,143.8695
2024-02-22,143.7702
2024-02-21,143.6587
2024-02-20,143.5432
2024-02-16,143.4374
2024-02-15,143.3439
2024-02-14,143.2555
2024-02-13,143.1769
2024-02-12,143.1078
2024-02-09,143.0255
2024-02-08,142.9469
2024-02-07,142.8662
2024-02-06,142.7795
2024-02-05,142.7015
2024-02-02,142.6491
2024-02-01,142.5882
2024-01-31,142.5312
2024-01-30,142.4657
2024-01-29,142.3988
2024-01-26,142.3361
2024-01-25,142.2837
2024-01-24,142.2135
2024-01-23,142.1402
2024-01-22,142.0481
2024-01-19,141.9472
2024-01-18,141.8479
2024-01-17,141.7569
2024-01-16,141.6607
2024-01-12,141.5685
2024-01-11,141.4671
2024-01-10,141.3668
2024-01-09,141.2581
2024-01-08,141.1556
2024-01-05,141.0607
2024-01-04,140.9778
2024-01-03,140.8759
2024-01-02,140.7651
2023-12-29,140.6758
2023-12-28,140.5964
2023-12-27,140.5097
2023-12-26,140.4277
2023-12-22,140.3557
2023-12-21,140.2963
2023-12-20,140.2346
2023-12-19,140.1695
2023-12-18,140.0960
2023-12-15,140.0227
2023-12-14,139.9403
2023-12-13,139.8547
2023-12-12,139.7686
2023-12-11,139.6898
2023-12-08,139.6132
2023-12-07,139.5585
2023-12-06,139.5157
2023-12-05,139.4794
2023-12-04,139.4476
2023-12-01,139.4161
2023-11-30,139.3954
2023-11-29,139.3802
2023-11-28,139.3582
2023-11-27,139.3335
2023-11-24,139.3137
2023-11-22,139.2800
2023-11-21,139.2397
2023-11-20,139.2004
2023-11-17,139.1925
2023-11-16,139.2027
2023-11-15,139.2037
2023-11-14,139.2075
2023-11-13,139.1971
2023-11-10,139.1999
2023-11-09,139.2026
2023-11-08,139.1989
2023-11-07,139.1833
2023-11-06,139.1733
2023-11-03,139.1477
2023-11-02,139.1356
2023-11-01,139.1412
2023-10-31,139.1638
2023-10-30,139.2052
2023-10-27,139.2371
2023-10-26,139.2695
2023-10-25,139.3165
2023-10-24,139.3402
2023-10-23,139.3736
2023-10-20,139.3919
2023-10-19,139.4022
2023-10-18,139.3980
2023-10-17,139.3808
2023-10-16,139.3630
2023-10-13,139.3536
2023-10-12,139.3476
2023-10-11,139.3276
2023-10-10,139.3193
2023-10-09,139.3264
2023-10-06,139.3399
2023-10-05,139.3674
2023-10-04,139.3697
2023-10-03,139.3970
2023-10-02,139.4070
2023-09-29,139.4308
2023-09-28,139.4474
2023-09-27,139.4627
2023-09-26,139.5031
2023-09-25,139.5525
2023-09-22,139.6112
2023-09-21,139.6729
2023-09-20,139.7109
2023-09-19,139.7578
2023-09-18,139.7934
2023-09-15,139.8221
2023-09-14,139.8569
2023-09-13,139.9034
2023-09-12,139.9558
2023-09-11,140.0034
2023-09-08,140.0583
2023-09-07,140.1123
2023-09-06,140.1538
2023-09-05,140.1946
2023-09-01,140.2453
2023-08-31,140.2907
2023-08-30,140.3513
2023-08-29,140.4228
2023-08-28,140.4909
2023-08-25,140.5684
2023-08-24,140.6520
2023-08-23,140.7187
2023-08-22,140.7809
2023-08-21,140.8676
2023-08-18,140.9525
2023-08-17,141.0200
2023-08-16,141.0661
2023-08-15,141.0724
2023-08-14,141.0887
2023-08-11,141.0939
2023-08-10,141.0950
2023-08-09,141.0771
2023-08-08,141.0757
2023-08-07,141.0734
2023-08-04,141.0765
2023-08-03,141.0639
2023-08-02,141.0621
2023-08-01,141.0300
2023-07-31,141.0223
2023-07-28,141.0093
2023-07-27,141.0030
2023-07-26,140.9879
2023-07-25,140.9831
2023-07-24,140.9732
2023-07-21,140.9693
2023-07-20,140.9466
2023-07-19,140.9298
2023-07-18,140.9083
2023-07-17,140.8903
2023-07-14,140.8558
2023-07-13,140.8191
2023-07-12,140.7827
2023-07-11,140.7593
2023-07-10,140.7710
2023-07-07,140.7795
2023-07-06,140.7820
2023-07-05,140.7799
2023-07-03,140.7950
2023-06-30,140.7973
2023-06-29,140.8232
2023-06-28,140.8761
2023-06-27,140.9299
2023-06-26,140.9833
2023-06-23,141.0310
2023-06-22,141.0734
2023-06-21,141.1298
2023-06-20,141.1915
2023-06-16,141.2635
2023-06-15,141.3299
2023-06-14,141.3915
2023-06-13,141.4783
2023-06-12,141.5505
2023-06-09,141.6089
2023-06-08,141.6788
2023-06-07,141.7637
2023-06-06,141.8478
2023-06-05,141.9160
2023-06-02,141.9824
2023-06-01,142.0641
2023-05-31,142.1067
2023-05-30,142.1488
2023-05-26,142.2061
2023-05-25,142.2638
2023-05-24,142.3084
2023-05-23,142.3269
2023-05-22,142.3333
2023-05-19,142.3544
2023-05-18,142.3738
2023-05-17,142.3901
2023-05-16,142.3830
2023-05-15,142.3647
2023-05-12,142.3534
2023-05-11,142.3293
2023-05-10,142.2896
2023-05-09,142.2389
2023-05-08,142.1790
2023-05-05,142.1318
2023-05-04,142.1148
2023-05-03,142.0950
2023-05-02,142.0823
2023-05-01,142.0487
2023-04-28,141.9957
2023-04-27,141.9284
2023-04-26,141.8586
2023-04-25,141.8068
2023-04-24,141.7574
2023-04-21,141.7118
2023-04-20,141.6794
2023-04-19,141.6294
2023-04-18,141.5512
2023-04-17,141.4646
2023-04-14,141.3798
2023-04-13,141.3171
2023-04-12,141.2467
2023-04-11,141.1794
2023-04-10,141.1043
2023-04-06,141.0111
2023-04-05,140.9126
2023-04-04,140.8038
2023-04-03,140.7013
2023-03-31,140.6089
2023-03-30,140.5112
2023-03-29,140.4346
2023-03-28,140.3721
2023-03-27,140.3271
2023-03-24,140.3017
2023-03-23,140.2766
2023-03-22,140.2518
2023-03-21,140.2064
2023-03-20,140.1542
2023-03-17,140.1086
2023-03-16,140.0697
2023-03-15,140.0215
2023-03-14,139.9648
2023-03-13,139.9067
2023-03-10,139.8540
2023-03-09,139.7855
2023-03-08,139.7026
2023-03-07,139.6142
2023-03-06,139.5367
2023-03-03,139.4678
2023-03-02,139.3892
2023-03-01,139.3072
2023-02-28,139.2158
2023-02-27,139.1110
2023-02-24,139.0098
2023-02-23,138.9230
2023-02-22,138.8334
2023-02-21,138.7485
2023-02-17,138.6405
2023-02-16,138.5427
2023-02-15,138.4307
2023-02-14,138.3495
2023-02-13,138.2762
2023-02-10,138.1996
2023-02-09,138.1256
2023-02-08,138.0455
2023-02-07,137.9882
2023-02-06,137.9507
2023-02-03,137.9118
2023-02-02,137.8301
2023-02-01,137.7416
2023-01-31,137.6710
2023-01-30,137.5945
2023-01-27,137.5229
2023-01-26,137.4499
2023-01-25,137.3783
2023-01-24,137.3187
2023-01-23,137.2580
2023-01-20,137.1854
2023-01-19,137.1268
2023-01-18,137.0467
2023-01-17,136.9615
2023-01-13,136.8617
2023-01-12,136.7447
2023-01-11,136.6297
2023-01-10,136.5123
2023-01-09,136.3970
2023-01-06,136.2878
2023-01-05,136.1929
2023-01-04,136.1252
2023-01-03,136.0678
2022-12-30,136.0163
2022-12-29,135.9522
2022-12-28,135.8790
2022-12-27,135.7969
2022-12-23,135.7174
2022-12-22,135.6243
2022-12-21,135.5260
2022-12-20,135.4246
2022-12-19,135.3283
2022-12-16,135.2332
2022-12-15,135.1734
2022-12-14,135.0841
2022-12-13,134.9909
2022-12-12,134.8760
2022-12-09,134.7855
2022-12-08,134.6690
2022-12-07,134.5434
2022-12-06,134.4130
2022-12-05,134.2864
2022-12-02,134.1607
2022-12-01,134.0514
2022-11-30,133.9238
2022-11-29,133.8124
2022-11-28,133.6920
2022-11-25,133.5635
2022-11-23,133.4422
2022-11-22,133.3011
2022-11-21,133.1585
2022-11-18,133.0083
2022-11-17,132.8660
2022-11-16,132.6998
2022-11-15,132.5140
2022-11-14,132.3194
2022-11-11,132.1192
