,EMA
2024-06-04,199.2717
2024-06-03,199.5179
2024-05-31,199.7329
2024-05-30,199.9463
2024-05-29,200.1611
2024-05-28,200.4221
2024-05-24,200.6635
2024-05-23,200.9231
2024-05-22,201.1153
2024-05-21,201.2989
2024-05-20,201.5580
2024-05-17,201.7992
2024-05-16,202.0831
2024-05-15,202.3644
2024-05-14,202.5901
2024-05-13,202.8725
2024-05-10,203.2029
2024-05-09,203.5059
2024-05-08,203.7923
2024-05-07,204.1160
2024-05-06,204.3342
2024-05-03,204.5406
2024-05-02,204.7661
2024-05-01,204.9863
2024-04-30,205.2173
2024-04-29,205.4006
2024-04-26,205.5712
2024-04-25,205.9403
2024-04-24,206.4125
2024-04-23,206.8504
2024-04-22,207.4888
2024-04-19,208.1614
2024-04-18,208.7563
2024-04-17,209.3343
2024-04-16,209.8538
2024-04-15,210.3876
2024-04-12,210.7911
2024-04-11,211.1775
2024-04-10,211.5657
2024-04-09,211.9529
2024-04-08,212.3453
2024-04-05,212.7775
2024-04-04,213.2167
2024-04-03,213.6503
2024-04-02,214.1491
2024-04-01,214.6456
2024-03-28,215.0323
2024-03-27,215.4100
2024-03-26,215.7517
2024-03-25,216.1253
2024-03-22,216.6013
2024-03-21,217.1030
2024-03-20,217.5121
2024-03-19,217.9595
2024-03-18,218.4178
2024-03-15,218.9042
2024-03-14,219.4644
2024-03-13,219.9840
2024-03-12,220.4557
2024-03-11,220.8847
2024-03-08,221.3413
2024-03-07,221.7417
2024-03-06,222.2180
2024-03-05,222.6424
2024-03-04,223.0403
2024-03-01,223.2847
2024-02-29,223.5135
2024-02-28,223.7078
2024-02-27,223.9418
2024-02-26,224.1418
2024-02-23,224.4620
2024-02-22,224.7549
2024-02-21,225.0640
2024-02-20,225.3827
2024-02-16,225.6767
2024-02-15,225.9140
2024-02-14,226.2834
2024-02-13,226.6953
2024-02-12,227.1245
2024-02-09,227.4764
2024-02-08,227.8512
2024-02-07,228.2417
2024-02-06,228.6443
2024-02-05,229.1613
2024-02-02,229.6125
2024-02-01,230.0605
2024-01-31,230.4782
2024-01-30,230.9152
2024-01-29,231.2728
2024-01-26,231.7316
2024-01-25,232.1962
2024-01-24,232.6233
2024-01-23,232.8318
2024-01-22,233.0482
2024-01-19,233.2571
2024-01-18,233.4909
2024-01-17,233.6579
2024-01-16,233.8468
2024-01-12,234.0352
2024-01-11,234.1755
2024-01-10,234.2117
2024-01-09,234.2028
2024-01-08,234.1635
2024-01-05,234.1437
2024-01-04,234.1164
2024-01-03,234.0648
2024-01-02,233.9551
2023-12-29,233.7930
2023-12-28,233.5789
2023-12-27,233.2765
2023-12-26,233.0245
2023-12-22,232.8088
2023-12-21,232.5681
2023-12-20,232.3738
2023-12-19,232.1322
2023-12-18,231.9177
2023-12-15,231.6980
2023-12-14,231.5019
2023-12-13,231.4042
2023-12-12,231.3762
2023-12-11,231.3041
2023-12-08,231.1892
2023-12-07,231.0979
2023-12-06,230.9928
2023-12-05,230.8730
2023-12-04,230.8429
2023-12-01,230.7935
2023-11-30,230.7700
2023-11-29,230.6255
2023-11-28,230.4388
2023-11-27,230.3760
2023-11-24,230.3106
2023-11-22,230.2760
2023-11-21,230.1578
2023-11-20,230.1087
2023-11-17,230.0692
2023-11-16,230.0498
2023-11-15,229.9549
2023-11-14,229.8611
2023-11-13,229.8091
2023-11-10,229.9519
2023-11-09,230.1522
2023-11-08,230.2567
2023-11-07,230.3281
2023-11-06,230.4321
2023-11-03,230.4970
2023-11-02,230.5909
2023-11-01,230.7680
2023-10-31,231.0366
2023-10-30,231.3875
2023-10-27,231.6097
2023-10-26,231.8209
2023-10-25,232.0269
2023-10-24,232.1892
2023-10-23,232.3469
2023-10-20,232.5715
2023-10-19,232.7279
2023-10-18,232.7960
2023-10-17,232.5960
2023-10-16,232.4200
2023-10-13,232.2429
2023-10-12,231.9749
2023-10-11,231.6639
2023-10-10,231.3168
2023-10-09,231.0512
2023-10-06,230.8074
2023-10-05,230.5745
2023-10-04,230.2787
2023-10-03,230.0992
2023-10-02,229.9132
2023-09-29,229.7635
2023-09-28,229.5601
2023-09-27,229.4550
2023-09-26,229.3062
2023-09-25,229.1687
2023-09-22,229.0259
2023-09-21,228.7407
2023-09-20,228.4482
2023-09-19,228.0603
2023-09-18,227.6956
2023-09-15,227.2588
2023-09-14,226.7533
2023-09-13,226.3054
2023-09-12,225.8656
2023-09-11,225.4144
2023-09-08,225.0239
2023-09-07,224.7606
2023-09-06,224.5565
2023-09-05,224.2492
2023-09-01,224.0406
2023-08-31,223.7068
2023-08-30,223.3824
2023-08-29,223.0727
2023-08-28,222.9168
2023-08-25,222.7192
2023-08-24,222.6329
2023-08-23,222.4718
2023-08-22,222.4028
2023-08-21,222.2234
2023-08-18,222.2301
2023-08-17,222.3117
2023-08-16,222.2740
2023-08-15,222.2162
2023-08-14,222.0503
2023-08-11,221.9131
2023-08-10,221.7135
2023-08-09,221.4755
2023-08-08,221.1800
2023-08-07,220.9160
2023-08-04,220.6091
2023-08-03,220.2035
2023-08-02,219.8835
2023-08-01,219.5249
2023-07-31,219.0552
2023-07-28,218.5685
2023-07-27,218.1535
2023-07-26,217.6494
2023-07-25,217.1911
2023-07-24,216.6365
2023-07-21,216.2424
2023-07-20,215.7222
2023-07-19,215.0806
2023-07-18,214.2669
2023-07-17,213.5043
2023-07-14,212.7694
2023-07-13,212.1238
2023-07-12,211.4960
2023-07-11,210.8444
2023-07-10,210.2635
2023-07-07,209.5981
2023-07-06,208.9063
2023-07-05,208.2110
2023-07-03,207.5013
