,SMA
2024-06-04,211.6087
2024-06-03,211.8651
2024-05-31,212.1146
2024-05-30,212.4157
2024-05-29,212.7013
2024-05-28,213.0392
2024-05-24,213.3842
2024-05-23,213.7644
2024-05-22,214.0927
2024-05-21,214.4357
2024-05-20,214.8630
2024-05-17,215.2354
2024-05-16,215.6455
2024-05-15,216.1063
2024-05-14,216.5442
2024-05-13,216.9710
2024-05-10,217.4625
2024-05-09,217.9135
2024-05-08,218.4004
2024-05-07,218.8217
2024-05-06,219.2497
2024-05-03,219.7285
2024-05-02,220.2982
2024-05-01,220.8346
2024-04-30,221.3578
2024-04-29,221.8079
2024-04-26,222.2388
2024-04-25,222.7761
2024-04-24,223.3246
2024-04-23,223.8927
2024-04-22,224.5682
2024-04-19,225.2559
2024-04-18,225.9051
2024-04-17,226.5313
2024-04-16,227.0461
2024-04-15,227.5526
2024-04-12,227.9499
2024-04-11,228.3044
2024-04-10,228.6919
2024-04-09,229.1232
2024-04-08,229.5125
2024-04-05,230.0414
2024-04-04,230.5035
2024-04-03,230.9478
2024-04-02,231.3697
2024-04-01,231.8468
2024-03-28,232.2335
2024-03-27,232.5859
2024-03-26,232.9242
2024-03-25,233.1524
2024-03-22,233.4486
2024-03-21,233.6959
2024-03-20,233.9029
2024-03-19,234.0887
2024-03-18,234.2398
2024-03-15,234.3886
2024-03-14,234.5733
2024-03-13,234.6576
2024-03-12,234.7250
2024-03-11,234.7473
2024-03-08,234.8011
2024-03-07,234.7971
2024-03-06,234.8112
2024-03-05,234.7823
2024-03-04,234.7091
2024-03-01,234.5437
2024-02-29,234.3794
2024-02-28,234.2389
2024-02-27,234.0803
2024-02-26,233.9228
2024-02-23,233.8061
2024-02-22,233.6982
2024-02-21,233.5480
2024-02-20,233.3948
2024-02-16,233.2142
2024-02-15,233.0133
2024-02-14,232.8833
2024-02-13,232.7613
2024-02-12,232.6046
2024-02-09,232.4455
2024-02-08,232.2937
2024-02-07,232.1719
2024-02-06,232.0550
2024-02-05,231.9998
