,EMA
2024-06-04,169.4719
2024-06-03,169.2323
2024-05-31,168.9595
2024-05-30,168.6941
2024-05-29,168.4252
2024-05-28,168.1414
2024-05-24,167.7609
2024-05-23,167.4487
2024-05-22,167.0954
2024-05-21,166.7650
2024-05-20,166.4594
2024-05-17,166.1724
2024-05-16,165.8827
2024-05-15,165.6142
2024-05-14,165.3431
2024-05-13,165.1211
2024-05-10,164.9012
2024-05-09,164.6903
2024-05-08,164.4963
2024-05-07,164.3228
2024-05-06,164.1464
2024-05-03,164.0009
2024-05-02,163.8779
2024-05-01,163.7305
2024-04-30,163.6213
2024-04-29,163.4853
2024-04-26,163.3572
2024-04-25,163.2501
2024-04-24,163.1338
2024-04-23,162.9947
2024-04-22,163.0059
2024-04-19,163.0448
2024-04-18,163.0561
2024-04-17,163.0614
2024-04-16,163.0199
2024-04-15,162.9870
2024-04-12,162.9457
2024-04-11,162.9026
2024-04-10,162.8443
2024-04-09,162.7858
2024-04-08,162.7154
2024-04-05,162.6781
2024-04-04,162.6308
2024-04-03,162.5512
2024-04-02,162.4926
2024-04-01,162.4058
2024-03-28,162.3004
2024-03-27,162.2004
2024-03-26,162.1441
2024-03-25,162.0628
2024-03-22,161.9868
2024-03-21,161.9011
2024-03-20,161.8036
2024-03-19,161.7624
2024-03-18,161.7148
2024-03-15,161.5983
2024-03-14,161.5300
2024-03-13,161.4239
2024-03-12,161.3109
2024-03-11,161.1759
2024-03-08,161.0765
2024-03-07,160.9444
2024-03-06,160.8428
2024-03-05,160.7318
2024-03-04,160.6371
2024-03-01,160.5301
2024-02-29,160.4715
2024-02-28,160.4387
2024-02-27,160.4195
2024-02-26,160.3894
2024-02-23,160.3586
2024-02-22,160.3154
2024-02-21,160.2810
2024-02-20,160.2700
2024-02-16,160.2904
2024-02-15,160.3012
2024-02-14,160.3266
2024-02-13,160.3627
2024-02-12,160.3950
2024-02-09,160.3864
2024-02-08,160.3889
2024-02-07,160.4110
2024-02-06,160.4272
2024-02-05,160.4512
2024-02-02,160.4672
2024-02-01,160.4994
2024-01-31,160.5236
2024-01-30,160.5361
2024-01-29,160.5239
2024-01-26,160.5129
2024-01-25,160.4807
2024-01-24,160.4001
2024-01-23,160.3164
2024-01-22,160.1968
2024-01-19,160.0842
2024-01-18,160.0012
2024-01-17,159.9791
2024-01-16,159.9776
2024-01-12,159.9579
2024-01-11,159.9156
2024-01-10,159.8679
2024-01-09,159.8065
2024-01-08,159.7693
2024-01-05,159.7394
2024-01-04,159.7124
2024-01-03,159.7088
2024-01-02,159.6508
2023-12-29,159.5838
2023-12-28,159.4894
2023-12-27,159.3896
2023-12-26,159.2964
2023-12-22,159.2249
2023-12-21,159.1693
2023-12-20,159.1179
2023-12-19,159.0534
2023-12-18,158.9862
2023-12-15,158.9165
2023-12-14,158.8286
2023-12-13,158.8045
2023-12-12,158.8362
2023-12-11,158.8495
2023-12-08,158.8762
2023-12-07,158.9158
2023-12-06,158.9603
2023-12-05,158.9825
2023-12-04,159.0314
2023-12-01,159.0994
2023-11-30,159.1826
2023-11-29,159.2511
2023-11-28,159.3192
2023-11-27,159.4145
2023-11-24,159.5062
2023-11-22,159.5816
2023-11-21,159.6559
2023-11-20,159.7294
2023-11-17,159.8099
2023-11-16,159.9083
2023-11-15,160.0110
2023-11-14,160.1242
2023-11-13,160.2464
2023-11-10,160.4092
2023-11-09,160.5860
2023-11-08,160.7553
2023-11-07,160.9212
2023-11-06,161.0852
2023-11-03,161.2233
2023-11-02,161.3656
2023-11-01,161.5525
2023-10-31,161.7640
2023-10-30,161.9959
2023-10-27,162.2294
2023-10-26,162.4387
2023-10-25,162.6767
2023-10-24,162.9244
2023-10-23,163.1215
2023-10-20,163.3162
2023-10-19,163.4723
2023-10-18,163.6160
2023-10-17,163.7604
2023-10-16,163.9072
2023-10-13,164.0502
2023-10-12,164.1754
2023-10-11,164.2752
2023-10-10,164.3929
2023-10-09,164.5078
2023-10-06,164.6326
2023-10-05,164.7739
2023-10-04,164.8756
2023-10-03,164.9862
2023-10-02,165.0934
2023-09-29,165.1880
2023-09-28,165.2705
2023-09-27,165.3803
2023-09-26,165.4803
2023-09-25,165.5778
2023-09-22,165.6730
2023-09-21,165.7507
2023-09-20,165.8433
2023-09-19,165.9015
2023-09-18,165.9753
2023-09-15,166.0543
2023-09-14,166.0929
2023-09-13,166.1297
2023-09-12,166.1916
2023-09-11,166.2466
2023-09-08,166.2840
