,RSI
2024-06-05,53.3548
2024-06-04,53.1955
2024-06-03,53.5744
2024-05-31,53.4666
2024-05-30,53.4765
2024-05-29,53.6257
2024-05-28,54.7997
2024-05-24,54.0310
2024-05-23,54.5160
2024-05-22,54.2308
2024-05-21,53.9248
2024-05-20,53.6882
2024-05-17,53.6860
2024-05-16,53.4217
2024-05-15,53.4195
2024-05-14,52.8488
2024-05-13,52.7996
2024-05-10,52.6744
2024-05-09,52.4638
2024-05-08,52.2117
2024-05-07,52.2252
2024-05-06,51.8594
2024-05-03,51.5870
2024-05-02,51.8681
2024-05-01,51.4174
2024-04-30,51.7306
2024-04-29,51.6238
2024-04-26,51.3697
2024-04-25,51.4686
2024-04-24,51.7296
2024-04-23,49.9538
2024-04-22,49.6162
2024-04-19,49.9563
2024-04-18,50.0289
2024-04-17,50.6020
2024-04-16,50.4940
2024-04-15,50.5931
2024-04-12,50.6089
2024-04-11,50.7893
2024-04-10,50.7858
2024-04-09,50.9230
2024-04-08,50.5240
2024-04-05,50.6400
2024-04-04,51.0286
2024-04-03,50.7713
2024-04-02,51.1092
2024-04-01,51.3264
2024-03-28,51.2513
2024-03-27,50.7264
2024-03-26,51.0245
2024-03-25,50.9528
2024-03-22,51.0625
2024-03-21,51.1966
2024-03-20,50.5209
2024-03-19,50.5936
2024-03-18,51.4359
2024-03-15,50.8496
2024-03-14,51.3125
2024-03-13,51.3853
2024-03-12,51.6492
2024-03-11,51.2088
2024-03-08,51.6097
2024-03-07,51.2298
2024-03-06,51.3344
2024-03-05,51.1249
2024-03-04,51.2680
2024-03-01,50.6716
2024-02-29,50.3480
2024-02-28,50.1762
2024-02-27,50.3098
2024-02-26,50.3147
2024-02-23,50.4638
2024-02-22,50.3513
2024-02-21,50.0625
2024-02-20,49.6770
2024-02-16,49.7960
2024-02-15,49.6183
2024-02-14,49.4895
2024-02-13,49.5387
2024-02-12,50.0386
2024-02-09,49.9025
2024-02-08,49.6625
2024-02-07,49.7371
2024-02-06,49.6449
2024-02-05,49.7429
2024-02-02,49.5483
2024-02-01,49.6481
2024-01-31,49.7895
2024-01-30,50.0863
2024-01-29,50.0714
2024-01-26,50.3224
2024-01-25,50.9044
2024-01-24,50.9321
2024-01-23,51.3620
2024-01-22,51.2651
2024-01-19,50.9062
2024-01-18,50.1725
2024-01-17,49.9202
2024-01-16,50.1405
2024-01-12,50.4123
2024-01-11,50.4725
2024-01-10,50.6338
2024-01-09,50.3392
2024-01-08,50.2458
2024-01-05,50.2093
2024-01-04,49.9259
2024-01-03,50.5811
2024-01-02,50.6848
2023-12-29,51.0102
2023-12-28,51.0659
2023-12-27,50.9755
2023-12-26,50.7105
2023-12-22,50.5144
2023-12-21,50.4584
2023-12-20,50.6092
2023-12-19,50.6341
2023-12-18,50.6566
2023-12-15,50.8644
2023-12-14,50.1077
2023-12-13,49.4383
2023-12-12,49.6589
2023-12-11,49.5003
2023-12-08,49.3474
2023-12-07,49.2938
2023-12-06,49.5597
2023-12-05,49.2420
2023-12-04,49.0171
2023-12-01,48.8407
2023-11-30,49.0209
2023-11-29,49.0347
2023-11-28,48.7136
2023-11-27,48.7659
2023-11-24,48.9648
2023-11-22,48.9852
2023-11-21,49.0033
2023-11-20,48.9282
2023-11-17,48.7263
2023-11-16,48.6864
2023-11-15,48.5751
2023-11-14,48.4827
2023-11-13,48.0131
2023-11-10,47.8661
2023-11-09,47.9684
2023-11-08,48.0238
2023-11-07,48.0628
2023-11-06,48.3644
2023-11-03,48.3319
2023-11-02,47.8231
2023-11-01,47.5521
2023-10-31,47.3343
2023-10-30,47.3419
2023-10-27,47.6271
2023-10-26,47.3107
2023-10-25,47.2228
2023-10-24,47.7957
2023-10-23,47.8425
2023-10-20,48.2859
2023-10-19,48.4391
2023-10-18,48.4477
2023-10-17,48.4363
2023-10-16,48.4940
