,SMA
2024-06-04,163.8972
2024-06-03,163.7394
2024-05-31,163.5754
2024-05-30,163.4270
2024-05-29,163.2608
2024-05-28,163.0866
2024-05-24,162.8796
2024-05-23,162.6990
2024-05-22,162.5025
2024-05-21,162.3291
2024-05-20,162.1709
2024-05-17,162.0276
2024-05-16,161.9127
2024-05-15,161.8232
2024-05-14,161.7315
2024-05-13,161.6654
2024-05-10,161.5945
2024-05-09,161.5224
2024-05-08,161.4989
2024-05-07,161.4847
2024-05-06,161.4573
2024-05-03,161.4397
2024-05-02,161.4482
2024-05-01,161.4397
2024-04-30,161.4356
2024-04-29,161.4300
2024-04-26,161.4381
2024-04-25,161.4453
2024-04-24,161.4427
2024-04-23,161.4039
2024-04-22,161.4383
2024-04-19,161.4844
2024-04-18,161.5413
2024-04-17,161.6018
2024-04-16,161.6328
2024-04-15,161.6539
2024-04-12,161.6648
2024-04-11,161.6517
2024-04-10,161.6248
2024-04-09,161.6049
2024-04-08,161.5798
2024-04-05,161.5837
2024-04-04,161.5946
2024-04-03,161.6115
2024-04-02,161.6237
2024-04-01,161.6201
2024-03-28,161.6113
2024-03-27,161.5814
2024-03-26,161.5828
2024-03-25,161.5704
2024-03-22,161.5519
2024-03-21,161.5202
2024-03-20,161.5112
2024-03-19,161.5371
2024-03-18,161.5570
2024-03-15,161.5375
2024-03-14,161.5573
2024-03-13,161.5271
2024-03-12,161.4634
2024-03-11,161.3988
2024-03-08,161.3663
2024-03-07,161.3180
2024-03-06,161.2894
2024-03-05,161.2360
2024-03-04,161.1825
2024-03-01,161.1257
2024-02-29,161.0760
2024-02-28,161.0430
2024-02-27,161.0177
2024-02-26,160.9993
2024-02-23,160.9682
2024-02-22,160.9486
2024-02-21,160.9124
2024-02-20,160.8915
2024-02-16,160.8936
2024-02-15,160.8976
2024-02-14,160.9179
2024-02-13,160.9272
2024-02-12,160.9243
2024-02-09,160.9405
2024-02-08,160.9844
2024-02-07,161.0456
2024-02-06,161.0963
2024-02-05,161.1451
2024-02-02,161.2125
2024-02-01,161.2969
2024-01-31,161.3640
2024-01-30,161.4282
2024-01-29,161.4690
2024-01-26,161.5325
2024-01-25,161.5834
2024-01-24,161.5921
2024-01-23,161.5949
2024-01-22,161.5972
2024-01-19,161.6266
2024-01-18,161.6764
2024-01-17,161.7506
2024-01-16,161.8254
2024-01-12,161.8788
2024-01-11,161.9064
2024-01-10,161.9472
2024-01-09,161.9824
2024-01-08,162.0217
2024-01-05,162.0612
2024-01-04,162.1110
2024-01-03,162.1567
2024-01-02,162.1850
2023-12-29,162.1878
2023-12-28,162.1810
2023-12-27,162.1803
2023-12-26,162.1556
2023-12-22,162.1654
2023-12-21,162.1899
2023-12-20,162.2036
2023-12-19,162.2070
2023-12-18,162.2215
2023-12-15,162.2337
2023-12-14,162.2186
2023-12-13,162.2352
2023-12-12,162.2745
2023-12-11,162.3114
2023-12-08,162.3450
2023-12-07,162.4013
2023-12-06,162.4515
2023-12-05,162.5026
2023-12-04,162.5747
2023-12-01,162.6644
2023-11-30,162.7513
2023-11-29,162.8321
2023-11-28,162.9188
2023-11-27,163.0059
2023-11-24,163.1166
2023-11-22,163.2310
2023-11-21,163.3411
2023-11-20,163.4477
2023-11-17,163.5631
2023-11-16,163.6975
2023-11-15,163.8005
2023-11-14,163.8897
2023-11-13,163.9789
2023-11-10,164.0827
2023-11-09,164.2057
2023-11-08,164.3306
2023-11-07,164.4535
2023-11-06,164.5599
2023-11-03,164.6468
2023-11-02,164.7395
2023-11-01,164.8680
2023-10-31,165.0195
2023-10-30,165.1717
2023-10-27,165.3363
2023-10-26,165.4805
2023-10-25,165.6303
2023-10-24,165.7862
2023-10-23,165.8798
2023-10-20,165.9625
2023-10-19,166.0130
2023-10-18,166.0658
2023-10-17,166.1014
2023-10-16,166.1353
2023-10-13,166.1684
2023-10-12,166.1921
2023-10-11,166.1995
2023-10-10,166.2298
2023-10-09,166.2626
2023-10-06,166.2982
2023-10-05,166.3555
2023-10-04,166.3894
2023-10-03,166.4488
2023-10-02,166.5215
2023-09-29,166.6129
2023-09-28,166.6596
2023-09-27,166.7283
2023-09-26,166.7811
2023-09-25,166.8262
2023-09-22,166.8964
2023-09-21,166.9509
2023-09-20,167.0047
2023-09-19,167.0644
2023-09-18,167.0996
2023-09-15,167.1384
2023-09-14,167.1664
2023-09-13,167.2104
2023-09-12,167.2559
2023-09-11,167.2874
2023-09-08,167.3078
2023-09-07,167.3447
2023-09-06,167.3509
2023-09-05,167.3654
2023-09-01,167.4097
2023-08-31,167.4352
2023-08-30,167.4474
2023-08-29,167.4567
