,EMA
2024-06-04,16.3719
2024-06-03,16.3558
2024-05-31,16.3380
2024-05-30,16.3260
2024-05-29,16.3176
2024-05-28,16.3082
2024-05-24,16.2966
2024-05-23,16.2846
2024-05-22,16.2734
2024-05-21,16.2642
2024-05-20,16.2517
2024-05-17,16.2403
2024-05-16,16.2287
2024-05-15,16.2178
2024-05-14,16.2064
2024-05-13,16.1956
2024-05-10,16.1857
2024-05-09,16.1756
2024-05-08,16.1663
2024-05-07,16.1576
2024-05-06,16.1485
2024-05-03,16.1405
2024-05-02,16.1336
2024-05-01,16.1250
2024-04-30,16.1179
2024-04-29,16.1100
2024-04-26,16.1011
2024-04-25,16.0974
2024-04-24,16.0914
2024-04-23,16.0832
2024-04-22,16.0803
2024-04-19,16.0741
2024-04-18,16.0716
2024-04-17,16.0712
2024-04-16,16.0708
2024-04-15,16.0693
2024-04-12,16.0654
2024-04-11,16.0619
2024-04-10,16.0558
2024-04-09,16.0486
2024-04-08,16.0390
2024-04-05,16.0282
2024-04-04,16.0160
2024-04-03,16.0028
2024-04-02,15.9897
2024-04-01,15.9775
2024-03-28,15.9682
2024-03-27,15.9551
2024-03-26,15.9445
2024-03-25,15.9354
2024-03-22,15.9271
2024-03-21,15.9172
2024-03-20,15.9072
2024-03-19,15.8978
2024-03-18,15.8865
2024-03-15,15.8771
2024-03-14,15.8696
2024-03-13,15.8595
2024-03-12,15.8482
2024-03-11,15.8364
2024-03-08,15.8253
2024-03-07,15.8156
2024-03-06,15.8046
2024-03-05,15.7944
2024-03-04,15.7847
2024-03-01,15.7765
2024-02-29,15.7683
2024-02-28,15.7585
2024-02-27,15.7505
2024-02-26,15.7446
2024-02-23,15.7367
2024-02-22,15.7304
2024-02-21,15.7227
2024-02-20,15.7134
2024-02-16,15.7044
2024-02-15,15.6947
2024-02-14,15.6849
2024-02-13,15.6748
2024-02-12,15.6640
2024-02-09,15.6549
2024-02-08,15.6462
2024-02-07,15.6324
2024-02-06,15.6155
2024-02-05,15.5978
2024-02-02,15.5795
2024-02-01,15.5587
2024-01-31,15.5362
2024-01-30,15.5192
2024-01-29,15.5046
2024-01-26,15.4902
2024-01-25,15.4763
