,RSI
2024-06-05,53.1373
2024-06-04,52.6546
2024-06-03,52.9098
2024-05-31,52.0426
2024-05-30,51.5095
2024-05-29,51.6364
2024-05-28,51.9709
2024-05-24,52.0188
2024-05-23,51.8864
2024-05-22,51.5763
2024-05-21,52.0853
2024-05-20,51.8934
2024-05-17,51.9253
2024-05-16,51.7928
2024-05-15,51.8560
2024-05-14,51.7535
2024-05-13,51.6072
2024-05-10,51.6383
2024-05-09,51.4925
2024-05-08,51.3905
2024-05-07,51.4366
2024-05-06,51.2770
2024-05-03,51.0879
2024-05-02,51.3472
2024-05-01,51.1149
2024-04-30,51.2366
2024-04-29,51.3583
2024-04-26,50.5995
2024-04-25,50.9493
2024-04-24,51.2558
2024-04-23,50.4851
2024-04-22,50.9631
2024-04-19,50.4207
2024-04-18,50.0849
2024-04-17,50.0849
2024-04-16,50.2534
2024-04-15,50.6230
2024-04-12,50.5476
2024-04-11,50.9501
2024-04-10,51.1059
2024-04-09,51.4659
2024-04-08,51.6531
2024-04-05,51.8394
2024-04-04,51.9948
2024-04-03,51.9518
2024-04-02,51.7942
2024-04-01,51.3759
2024-03-28,51.9325
2024-03-27,51.5554
2024-03-26,51.3215
2024-03-25,51.1822
2024-03-22,51.4210
2024-03-21,51.4210
2024-03-20,51.3195
2024-03-19,51.5954
2024-03-18,51.3059
2024-03-15,50.9998
2024-03-14,51.3979
2024-03-13,51.5828
2024-03-12,51.6290
2024-03-11,51.5138
2024-03-08,51.2828
2024-03-07,51.4810
2024-03-06,51.3515
2024-03-05,51.2508
2024-03-04,51.0202
2024-03-01,51.0202
2024-02-29,51.2452
2024-02-28,50.9582
2024-02-27,50.6548
2024-02-26,50.9385
2024-02-23,50.6927
2024-02-22,50.9017
2024-02-21,51.1264
2024-02-20,51.0691
2024-02-16,51.1736
2024-02-15,51.1594
2024-02-14,51.2039
2024-02-13,51.2778
2024-02-12,51.0245
2024-02-09,50.9541
2024-02-08,51.7091
2024-02-07,52.1615
2024-02-06,52.2525
2024-02-05,52.3282
2024-02-02,52.6697
2024-02-01,52.9064
2024-01-31,52.1050
2024-01-30,51.7387
2024-01-29,51.6963
2024-01-26,51.5976
2024-01-25,51.0571
2024-01-24,50.7547
2024-01-23,51.4780
2024-01-22,51.0150
2024-01-19,50.9276
2024-01-18,50.3846
2024-01-17,50.5199
2024-01-16,50.5800
2024-01-12,50.4628
2024-01-11,51.1568
2024-01-10,51.3095
2024-01-09,51.4163
2024-01-08,51.7209
2024-01-05,51.3093
2024-01-04,51.4598
2024-01-03,51.5501
2024-01-02,50.8638
2023-12-29,50.5589
2023-12-28,50.4278
2023-12-27,50.3550
2023-12-26,50.3697
2023-12-22,50.3697
2023-12-21,50.3266
2023-12-20,50.4721
2023-12-19,50.2718
2023-12-18,50.5186
2023-12-15,50.4046
2023-12-14,50.3904
2023-12-13,50.1344
2023-12-12,50.4655
2023-12-11,50.9751
2023-12-08,51.2399
2023-12-07,51.1417
2023-12-06,51.3622
2023-12-05,51.0964
2023-12-04,50.5587
2023-12-01,50.5587
2023-11-30,50.1157
2023-11-29,49.9719
2023-11-28,49.9431
2023-11-27,49.9717
2023-11-24,50.0001
2023-11-22,50.0568
2023-11-21,49.8020
2023-11-20,49.5601
2023-11-17,49.5741
2023-11-16,49.5316
2023-11-15,49.2050
2023-11-14,49.2740
2023-11-13,49.1463
2023-11-10,49.2422
2023-11-09,49.2422
2023-11-08,49.4606
2023-11-07,49.2787
2023-11-06,49.4422
2023-11-03,49.5375
2023-11-02,49.1472
2023-11-01,48.9648
2023-10-31,48.6690
2023-10-30,48.1994
2023-10-27,48.3996
2023-10-26,48.4932
2023-10-25,48.9368
2023-10-24,48.4821
2023-10-23,48.7385
2023-10-20,48.4817
2023-10-19,48.7246
2023-10-18,47.4137
2023-10-17,47.1898
2023-10-16,47.2967
2023-10-13,47.4035
2023-10-12,47.6175
2023-10-11,48.0355
2023-10-10,47.6520
