,SMA
2024-06-04,15.9217
2024-06-03,15.8990
2024-05-31,15.8755
2024-05-30,15.8553
2024-05-29,15.8374
2024-05-28,15.8183
2024-05-24,15.7989
2024-05-23,15.7787
2024-05-22,15.7579
2024-05-21,15.7385
2024-05-20,15.7177
2024-05-17,15.6984
2024-05-16,15.6793
2024-05-15,15.6618
2024-05-14,15.6438
2024-05-13,15.6266
2024-05-10,15.6115
2024-05-09,15.5963
2024-05-08,15.5824
2024-05-07,15.5674
2024-05-06,15.5515
2024-05-03,15.5360
2024-05-02,15.5199
2024-05-01,15.4992
2024-04-30,15.4821
2024-04-29,15.4679
2024-04-26,15.4548
2024-04-25,15.4448
2024-04-24,15.4339
2024-04-23,15.4231
2024-04-22,15.4150
2024-04-19,15.4063
2024-04-18,15.3996
2024-04-17,15.3935
2024-04-16,15.3876
2024-04-15,15.3800
2024-04-12,15.3714
2024-04-11,15.3619
2024-04-10,15.3507
2024-04-09,15.3398
2024-04-08,15.3274
2024-04-05,15.3151
2024-04-04,15.3037
2024-04-03,15.2921
2024-04-02,15.2797
2024-04-01,15.2679
2024-03-28,15.2570
2024-03-27,15.2451
2024-03-26,15.2348
2024-03-25,15.2253
2024-03-22,15.2145
2024-03-21,15.2020
2024-03-20,15.1890
2024-03-19,15.1751
2024-03-18,15.1635
2024-03-15,15.1525
2024-03-14,15.1417
2024-03-13,15.1284
2024-03-12,15.1165
2024-03-11,15.1066
2024-03-08,15.0977
2024-03-07,15.0901
2024-03-06,15.0829
2024-03-05,15.0763
2024-03-04,15.0702
2024-03-01,15.0662
2024-02-29,15.0626
2024-02-28,15.0582
2024-02-27,15.0545
2024-02-26,15.0524
2024-02-23,15.0496
2024-02-22,15.0471
2024-02-21,15.0438
2024-02-20,15.0400
2024-02-16,15.0370
2024-02-15,15.0346
2024-02-14,15.0341
2024-02-13,15.0319
2024-02-12,15.0292
2024-02-09,15.0275
2024-02-08,15.0266
2024-02-07,15.0259
2024-02-06,15.0227
2024-02-05,15.0232
2024-02-02,15.0283
2024-02-01,15.0326
2024-01-31,15.0365
2024-01-30,15.0434
2024-01-29,15.0512
2024-01-26,15.0588
2024-01-25,15.0659
2024-01-24,15.0742
2024-01-23,15.0844
2024-01-22,15.0909
2024-01-19,15.0984
2024-01-18,15.1051
2024-01-17,15.1130
2024-01-16,15.1198
2024-01-12,15.1258
2024-01-11,15.1321
2024-01-10,15.1357
2024-01-09,15.1375
2024-01-08,15.1387
2024-01-05,15.1399
2024-01-04,15.1427
2024-01-03,15.1432
2024-01-02,15.1437
2023-12-29,15.1461
2023-12-28,15.1493
2023-12-27,15.1538
2023-12-26,15.1580
2023-12-22,15.1623
2023-12-21,15.1685
2023-12-20,15.1742
2023-12-19,15.1805
2023-12-18,15.1877
2023-12-15,15.1934
2023-12-14,15.1987
2023-12-13,15.2054
2023-12-12,15.2139
2023-12-11,15.2225
2023-12-08,15.2293
2023-12-07,15.2359
2023-12-06,15.2420
2023-12-05,15.2473
2023-12-04,15.2537
2023-12-01,15.2610
2023-11-30,15.2681
2023-11-29,15.2781
2023-11-28,15.2872
2023-11-27,15.2964
2023-11-24,15.3065
2023-11-22,15.3158
2023-11-21,15.3269
2023-11-20,15.3400
2023-11-17,15.3560
2023-11-16,15.3715
2023-11-15,15.3888
2023-11-14,15.4058
2023-11-13,15.4215
2023-11-10,15.4377
2023-11-09,15.4551
2023-11-08,15.4701
2023-11-07,15.4807
