,EMA
2024-06-04,37.9647
2024-06-03,37.9354
2024-05-31,37.9028
2024-05-30,37.8804
2024-05-29,37.8669
2024-05-28,37.8529
2024-05-24,37.8341
2024-05-23,37.8173
2024-05-22,37.7994
2024-05-21,37.7803
2024-05-20,37.7569
2024-05-17,37.7339
2024-05-16,37.7072
2024-05-15,37.6813
2024-05-14,37.6504
2024-05-13,37.6209
2024-05-10,37.5935
2024-05-09,37.5713
2024-05-08,37.5518
2024-05-07,37.5348
2024-05-06,37.5148
2024-05-03,37.4986
2024-05-02,37.4830
2024-05-01,37.4646
2024-04-30,37.4458
2024-04-29,37.4211
2024-04-26,37.3961
2024-04-25,37.3794
2024-04-24,37.3602
2024-04-23,37.3387
2024-04-22,37.3229
2024-04-19,37.2819
2024-04-18,37.2546
2024-04-17,37.2285
2024-04-16,37.2022
2024-04-15,37.1730
2024-04-12,37.1435
2024-04-11,37.1129
2024-04-10,37.0794
2024-04-09,37.0439
2024-04-08,37.0036
2024-04-05,36.9589
2024-04-04,36.9125
2024-04-03,36.8584
2024-04-02,36.8077
2024-04-01,36.7594
2024-03-28,36.7135
2024-03-27,36.6707
2024-03-26,36.6328
2024-03-25,36.5972
2024-03-22,36.5642
2024-03-21,36.5288
2024-03-20,36.4992
2024-03-19,36.4708
2024-03-18,36.4430
2024-03-15,36.4188
2024-03-14,36.3932
2024-03-13,36.3634
2024-03-12,36.3305
2024-03-11,36.2997
2024-03-08,36.2732
2024-03-07,36.2461
2024-03-06,36.2138
2024-03-05,36.1787
2024-03-04,36.1433
2024-03-01,36.1118
2024-02-29,36.0792
2024-02-28,36.0453
2024-02-27,36.0124
2024-02-26,35.9819
2024-02-23,35.9420
2024-02-22,35.9015
2024-02-21,35.8593
2024-02-20,35.8193
2024-02-16,35.7796
2024-02-15,35.7408
2024-02-14,35.7024
2024-02-13,35.6618
2024-02-12,35.6227
2024-02-09,35.5878
2024-02-08,35.5509
2024-02-07,35.5097
2024-02-06,35.4601
2024-02-05,35.4072
2024-02-02,35.3477
