,RSI
2024-06-05,52.8485
2024-06-04,52.3614
2024-06-03,52.5866
2024-05-31,51.8726
2024-05-30,51.2260
2024-05-29,51.2558
2024-05-28,51.5991
2024-05-24,51.4514
2024-05-23,51.5185
2024-05-22,51.5928
2024-05-21,51.8908
2024-05-20,51.8562
2024-05-17,52.1096
2024-05-16,52.0410
2024-05-15,52.3845
2024-05-14,52.2755
2024-05-13,52.1050
2024-05-10,51.7415
2024-05-09,51.5342
2024-05-08,51.3472
2024-05-07,51.5599
2024-05-06,51.2760
2024-05-03,51.2274
2024-05-02,51.4241
2024-05-01,51.4314
2024-04-30,51.8549
2024-04-29,51.8481
2024-04-26,51.2727
2024-04-25,51.4401
2024-04-24,51.5932
2024-04-23,51.1871
2024-04-22,53.0562
2024-04-19,52.0773
2024-04-18,51.9705
2024-04-17,51.9705
2024-04-16,52.1700
2024-04-15,52.1700
2024-04-12,52.2234
2024-04-11,52.4295
2024-04-10,52.5517
2024-04-09,52.8969
2024-04-08,53.1945
2024-04-05,53.2936
2024-04-04,53.8617
2024-04-03,53.5890
2024-04-02,53.4018
2024-04-01,53.1938
2024-03-28,52.9579
2024-03-27,52.5912
2024-03-26,52.4066
2024-03-25,52.2008
2024-03-22,52.3585
2024-03-21,51.9320
2024-03-20,51.8212
2024-03-19,51.7659
2024-03-18,51.4890
2024-03-15,51.5774
2024-03-14,51.8728
2024-03-13,52.0880
2024-03-12,51.9100
2024-03-11,51.5935
2024-03-08,51.6229
2024-03-07,51.9839
2024-03-06,52.1691
2024-03-05,52.1691
2024-03-04,51.8772
2024-03-01,51.9285
2024-02-29,52.0090
2024-02-28,51.9146
2024-02-27,51.7257
2024-02-26,52.3987
2024-02-23,52.4208
2024-02-22,52.5091
2024-02-21,52.3361
2024-02-20,52.2829
2024-02-16,52.2032
2024-02-15,52.1502
2024-02-14,52.2728
2024-02-13,52.1543
2024-02-12,51.8439
2024-02-09,51.9652
2024-02-08,52.2516
2024-02-07,52.8308
2024-02-06,53.0429
2024-02-05,53.4924
2024-02-02,53.6407
2024-02-01,53.9982
2024-01-31,53.6847
2024-01-30,53.5626
2024-01-29,53.6514
2024-01-26,53.7772
