,SMA
2024-06-04,36.8461
2024-06-03,36.7997
2024-05-31,36.7515
2024-05-30,36.7087
2024-05-29,36.6698
2024-05-28,36.6296
2024-05-24,36.5865
2024-05-23,36.5429
2024-05-22,36.4986
2024-05-21,36.4547
2024-05-20,36.4105
2024-05-17,36.3667
2024-05-16,36.3233
2024-05-15,36.2842
2024-05-14,36.2414
2024-05-13,36.1979
2024-05-10,36.1583
2024-05-09,36.1196
2024-05-08,36.0861
2024-05-07,36.0503
2024-05-06,36.0113
2024-05-03,35.9763
2024-05-02,35.9407
2024-05-01,35.8957
2024-04-30,35.8584
2024-04-29,35.8219
2024-04-26,35.7872
2024-04-25,35.7582
2024-04-24,35.7280
2024-04-23,35.7006
2024-04-22,35.6776
2024-04-19,35.6445
2024-04-18,35.6179
2024-04-17,35.5915
2024-04-16,35.5644
2024-04-15,35.5349
2024-04-12,35.5041
2024-04-11,35.4724
2024-04-10,35.4360
2024-04-09,35.4001
2024-04-08,35.3614
2024-04-05,35.3202
2024-04-04,35.2802
2024-04-03,35.2385
2024-04-02,35.1954
2024-04-01,35.1530
2024-03-28,35.1115
2024-03-27,35.0725
2024-03-26,35.0352
2024-03-25,34.9982
2024-03-22,34.9603
2024-03-21,34.9203
2024-03-20,34.8847
2024-03-19,34.8481
2024-03-18,34.8174
2024-03-15,34.7853
2024-03-14,34.7531
2024-03-13,34.7184
2024-03-12,34.6854
2024-03-11,34.6570
2024-03-08,34.6294
2024-03-07,34.6032
2024-03-06,34.5743
2024-03-05,34.5433
2024-03-04,34.5132
2024-03-01,34.4871
2024-02-29,34.4654
2024-02-28,34.4432
2024-02-27,34.4206
2024-02-26,34.4012
2024-02-23,34.3773
2024-02-22,34.3527
2024-02-21,34.3267
2024-02-20,34.3036
2024-02-16,34.2813
2024-02-15,34.2620
2024-02-14,34.2464
2024-02-13,34.2270
2024-02-12,34.2023
2024-02-09,34.1794
2024-02-08,34.1538
2024-02-07,34.1285
2024-02-06,34.1004
2024-02-05,34.0719
2024-02-02,34.0462
2024-02-01,34.0222
2024-01-31,33.9946
2024-01-30,33.9702
2024-01-29,33.9458
2024-01-26,33.9216
2024-01-25,33.8965
