,EMA
2024-06-04,262.0908
2024-06-03,262.0150
2024-05-31,261.9037
2024-05-30,261.8079
2024-05-29,261.7386
2024-05-28,261.6656
2024-05-24,261.5393
2024-05-23,261.4040
2024-05-22,261.2649
2024-05-21,261.1215
2024-05-20,260.9519
2024-05-17,260.7683
2024-05-16,260.5745
2024-05-15,260.3618
2024-05-14,260.1982
2024-05-13,260.0101
2024-05-10,259.7997
2024-05-09,259.6065
2024-05-08,259.4388
2024-05-07,259.2595
2024-05-06,259.1192
2024-05-03,259.0184
2024-05-02,258.9231
2024-05-01,258.8233
2024-04-30,258.7346
2024-04-29,258.6211
2024-04-26,258.4885
2024-04-25,258.3276
2024-04-24,258.1855
2024-04-23,257.9457
2024-04-22,257.7894
2024-04-19,257.6621
2024-04-18,257.5284
2024-04-17,257.3823
2024-04-16,257.2275
2024-04-15,257.0987
2024-04-12,256.8949
2024-04-11,256.7126
2024-04-10,256.5439
2024-04-09,256.3594
2024-04-08,256.1508
2024-04-05,255.9539
2024-04-04,255.7566
2024-04-03,255.5346
2024-04-02,255.2891
2024-04-01,255.0661
2024-03-28,254.8171
2024-03-27,254.5844
2024-03-26,254.3316
2024-03-25,254.0374
2024-03-22,253.7515
2024-03-21,253.3926
2024-03-20,253.0304
2024-03-19,252.6880
2024-03-18,252.3519
2024-03-15,252.0404
2024-03-14,251.7290
2024-03-13,251.3602
2024-03-12,251.0308
2024-03-11,250.7318
2024-03-08,250.4484
2024-03-07,250.1666
2024-03-06,249.8632
2024-03-05,249.5655
2024-03-04,249.2621
2024-03-01,248.9303
2024-02-29,248.5911
2024-02-28,248.2255
2024-02-27,247.8903
2024-02-26,247.5310
2024-02-23,247.1794
2024-02-22,246.8074
2024-02-21,246.4872
2024-02-20,246.2095
2024-02-16,245.9296
2024-02-15,245.5828
2024-02-14,245.2656
2024-02-13,244.9572
2024-02-12,244.6729
2024-02-09,244.3589
2024-02-08,244.0561
2024-02-07,243.7046
2024-02-06,243.3566
2024-02-05,243.0509
2024-02-02,242.7161
2024-02-01,242.3758
2024-01-31,242.0744
2024-01-30,241.7325
2024-01-29,241.4126
2024-01-26,241.1658
2024-01-25,240.9268
2024-01-24,240.6252
2024-01-23,240.3143
2024-01-22,240.0106
2024-01-19,239.6969
2024-01-18,239.4207
2024-01-17,239.1447
2024-01-16,238.9006
2024-01-12,238.6631
2024-01-11,238.4070
2024-01-10,238.1451
2024-01-09,237.8855
2024-01-08,237.6529
2024-01-05,237.4287
2024-01-04,237.2038
2024-01-03,237.0037
2024-01-02,236.7969
2023-12-29,236.5774
2023-12-28,236.3460
2023-12-27,236.1327
2023-12-26,235.9100
2023-12-22,235.6924
2023-12-21,235.4579
2023-12-20,235.2459
2023-12-19,235.0019
2023-12-18,234.7743
2023-12-15,234.5435
2023-12-14,234.3524
2023-12-13,234.0725
2023-12-12,233.8302
2023-12-11,233.6039
2023-12-08,233.3985
2023-12-07,233.1909
2023-12-06,232.9824
2023-12-05,232.7627
2023-12-04,232.5569
2023-12-01,232.3318
2023-11-30,232.1056
2023-11-29,231.8926
2023-11-28,231.6808
2023-11-27,231.4675
2023-11-24,231.2475
2023-11-22,231.0265
2023-11-21,230.8152
2023-11-20,230.6314
2023-11-17,230.4500
2023-11-16,230.2685
2023-11-15,230.0936
2023-11-14,229.9349
2023-11-13,229.7810
2023-11-10,229.6372
2023-11-09,229.5022
2023-11-08,229.3624
2023-11-07,229.2295
2023-11-06,229.1013
2023-11-03,228.9659
2023-11-02,228.8180
2023-11-01,228.7206
2023-10-31,228.6599
2023-10-30,228.6243
2023-10-27,228.6022
2023-10-26,228.5899
2023-10-25,228.5436
2023-10-24,228.5201
2023-10-23,228.4898
2023-10-20,228.4746
2023-10-19,228.4315
2023-10-18,228.3547
2023-10-17,228.2521
2023-10-16,228.1519
2023-10-13,228.0569
2023-10-12,227.9871
2023-10-11,227.9133
2023-10-10,227.8305
2023-10-09,227.7732
2023-10-06,227.7364
2023-10-05,227.6955
2023-10-04,227.6818
2023-10-03,227.6772
2023-10-02,227.6627
2023-09-29,227.6603
2023-09-28,227.6220
2023-09-27,227.6049
2023-09-26,227.5917
2023-09-25,227.5618
2023-09-22,227.4971
2023-09-21,227.4180
2023-09-20,227.2980
2023-09-19,227.1482
2023-09-18,226.9832
2023-09-15,226.8571
2023-09-14,226.7201
2023-09-13,226.5508
2023-09-12,226.3583
2023-09-11,226.1660
2023-09-08,225.9678
2023-09-07,225.7631
2023-09-06,225.5792
2023-09-05,225.3942
2023-09-01,225.1781
2023-08-31,224.9686
2023-08-30,224.7758
2023-08-29,224.5728
2023-08-28,224.3969
2023-08-25,224.2241
2023-08-24,224.0659
2023-08-23,223.8974
2023-08-22,223.7365
2023-08-21,223.5871
2023-08-18,223.4425
2023-08-17,223.3343
2023-08-16,223.1810
2023-08-15,223.0607
2023-08-14,222.8845
2023-08-11,222.7194
2023-08-10,222.5599
2023-08-09,222.3925
2023-08-08,222.2292
2023-08-07,222.0650
2023-08-04,221.9111
2023-08-03,221.7679
2023-08-02,221.6431
2023-08-01,221.4909
2023-07-31,221.3520
2023-07-28,221.2231
2023-07-27,221.1070
2023-07-26,220.9615
2023-07-25,220.8743
2023-07-24,220.7005
2023-07-21,220.5283
2023-07-20,220.3538
2023-07-19,220.1634
