,RSI
2024-06-05,53.0038
2024-06-04,52.5854
2024-06-03,53.0019
2024-05-31,52.8246
2024-05-30,52.5287
2024-05-29,52.5647
2024-05-28,53.1956
2024-05-24,53.2905
2024-05-23,53.3184
2024-05-22,53.3534
2024-05-21,53.6524
2024-05-20,53.8006
2024-05-17,53.9013
2024-05-16,54.1066
2024-05-15,53.5753
2024-05-14,53.8531
2024-05-13,54.0994
2024-05-10,53.9010
2024-05-09,53.6139
2024-05-08,53.7350
2024-05-07,53.3069
2024-05-06,52.8741
2024-05-03,52.8046
2024-05-02,52.8464
2024-05-01,52.7188
2024-04-30,53.0018
2024-04-29,53.2155
2024-04-26,53.5384
2024-04-25,53.3247
2024-04-24,54.4984
2024-04-23,53.5922
2024-04-22,53.2611
2024-04-19,53.3254
2024-04-18,53.4613
2024-04-17,53.5515
2024-04-16,53.2550
2024-04-15,54.1711
2024-04-12,53.9200
2024-04-11,53.7530
2024-04-10,53.9312
2024-04-09,54.2094
2024-04-08,54.0622
2024-04-05,54.0462
2024-04-04,54.3296
2024-04-03,54.5967
2024-04-02,54.3354
2024-04-01,54.6332
2024-03-28,54.4363
2024-03-27,54.6584
2024-03-26,55.1521
2024-03-25,55.0355
2024-03-22,55.9390
2024-03-21,55.9359
2024-03-20,55.6959
2024-03-19,55.5946
2024-03-18,55.3053
2024-03-15,55.2721
2024-03-14,55.9727
2024-03-13,55.5269
2024-03-12,55.1750
2024-03-11,54.9782
2024-03-08,54.9306
2024-03-07,55.1732
2024-03-06,55.0808
2024-03-05,55.1155
2024-03-04,55.4423
2024-03-01,55.4926
2024-02-29,55.7894
2024-02-28,55.4388
2024-02-27,55.7064
2024-02-26,55.5900
2024-02-23,55.8070
2024-02-22,55.2336
2024-02-21,54.7539
2024-02-20,54.7475
2024-02-16,55.5757
2024-02-15,55.2271
2024-02-14,55.1014
2024-02-13,54.8118
2024-02-12,55.1607
2024-02-09,55.0086
2024-02-08,55.6043
2024-02-07,55.5319
2024-02-06,55.0459
2024-02-05,55.3878
2024-02-02,55.4155
2024-02-01,54.9657
2024-01-31,55.4577
2024-01-30,55.1870
2024-01-29,54.3556
2024-01-26,54.2414
2024-01-25,55.0408
2024-01-24,55.1242
2024-01-23,55.0126
2024-01-22,55.1048
2024-01-19,54.6599
2024-01-18,54.6268
2024-01-17,54.2439
2024-01-16,54.1438
2024-01-12,54.3555
2024-01-11,54.3989
2024-01-10,54.3451
2024-01-09,54.0176
2024-01-08,53.9002
2024-01-05,53.8825
2024-01-04,53.5824
2024-01-03,53.6439
2024-01-02,53.7796
2023-12-29,53.9025
2023-12-28,53.6798
2023-12-27,53.7702
2023-12-26,53.6915
2023-12-22,53.8778
2023-12-21,53.6065
2023-12-20,53.9859
2023-12-19,53.7802
2023-12-18,53.7916
2023-12-15,53.3336
2023-12-14,54.4459
2023-12-13,54.0016
2023-12-12,53.7963
2023-12-11,53.5398
2023-12-08,53.5398
2023-12-07,53.5276
2023-12-06,53.6437
2023-12-05,53.4660
2023-12-04,53.6847
2023-12-01,53.6716
2023-11-30,53.5029
2023-11-29,53.4668
2023-11-28,53.4591
2023-11-27,53.5153
2023-11-24,53.5034
2023-11-22,53.3752
2023-11-21,53.0537
2023-11-20,53.0081
2023-11-17,52.9908
2023-11-16,52.8981
2023-11-15,52.7059
2023-11-14,52.6367
2023-11-13,52.5104
2023-11-10,52.4003
2023-11-09,52.4419
2023-11-08,52.3517
2023-11-07,52.2877
2023-11-06,52.3566
2023-11-03,52.4874
2023-11-02,51.9319
2023-11-01,51.5239
2023-10-31,51.2431
2023-10-30,51.0918
2023-10-27,50.9799
2023-10-26,51.3697
2023-10-25,51.1159
2023-10-24,51.1892
2023-10-23,51.0221
2023-10-20,51.3388
2023-10-19,51.7238
2023-10-18,52.0132
2023-10-17,51.9778
2023-10-16,51.9104
2023-10-13,51.6303
2023-10-12,51.6670
2023-10-11,51.7631
2023-10-10,51.4798
2023-10-09,51.2541
2023-10-06,51.2959
2023-10-05,50.9990
2023-10-04,50.8986
2023-10-03,51.0093
2023-10-02,50.8773
2023-09-29,51.2797
2023-09-28,51.0475
2023-09-27,51.0036
2023-09-26,51.1896
2023-09-25,51.5764
2023-09-22,51.7308
2023-09-21,52.1871
2023-09-20,52.5149
2023-09-19,52.6726
2023-09-18,52.2498
2023-09-15,52.3598
2023-09-14,52.7166
2023-09-13,52.9657
2023-09-12,52.9441
2023-09-11,52.9891
2023-09-08,53.0420
2023-09-07,52.8087
2023-09-06,52.8005
2023-09-05,53.1350
2023-09-01,53.0461
2023-08-31,52.8560
2023-08-30,52.9502
2023-08-29,52.6550
2023-08-28,52.6053
2023-08-25,52.4402
2023-08-24,52.5374
2023-08-23,52.4437
2023-08-22,52.3106
2023-08-21,52.2482
2023-08-18,51.8639
2023-08-17,52.3515
2023-08-16,51.9990
2023-08-15,52.6106
2023-08-14,52.4797
2023-08-11,52.4067
2023-08-10,52.4757
2023-08-09,52.4184
2023-08-08,52.4104
2023-08-07,52.2905
2023-08-04,52.1687
2023-08-03,51.9686
2023-08-02,52.2546
2023-08-01,52.1060
2023-07-31,51.9923
2023-07-28,51.8506
2023-07-27,52.1570
2023-07-26,51.5547
2023-07-25,52.4970
2023-07-24,52.4628
2023-07-21,52.4694
2023-07-20,52.6259
2023-07-19,52.6358
2023-07-18,52.8391
2023-07-17,52.8402
2023-07-14,53.0177
2023-07-13,52.9264
2023-07-12,52.7085
2023-07-11,52.4405
2023-07-10,52.2637
2023-07-07,52.2362
2023-07-06,52.4013
2023-07-05,52.0231
2023-07-03,52.3006
2023-06-30,52.2291
2023-06-29,51.4883
2023-06-28,51.3589
2023-06-27,51.3569
2023-06-26,51.5638
2023-06-23,51.3428
2023-06-22,51.2571
2023-06-21,51.2333
2023-06-20,51.3249
2023-06-16,51.2707
2023-06-15,50.8319
2023-06-14,51.0094
2023-06-13,51.2038
2023-06-12,51.0844
2023-06-09,51.0085
2023-06-08,51.1572
2023-06-07,51.3534
2023-06-06,51.3233
2023-06-05,51.4482
2023-06-02,51.5402
2023-06-01,50.9503
2023-05-31,50.6781
2023-05-30,51.1934
2023-05-26,51.0768
2023-05-25,50.9425
2023-05-24,50.9527
2023-05-23,51.6412
2023-05-22,52.0620
2023-05-19,52.1342
2023-05-18,51.9805
2023-05-17,52.0148
2023-05-16,51.9986
2023-05-15,51.8682
2023-05-12,51.9512
2023-05-11,51.8328
2023-05-10,52.1494
2023-05-09,51.8454
2023-05-08,51.8627
2023-05-05,51.5875
2023-05-04,51.2540
2023-05-03,51.4697
2023-05-02,51.9752
2023-05-01,52.0694
2023-04-28,51.6697
2023-04-27,51.6717
2023-04-26,51.9308
2023-04-25,52.1144
2023-04-24,52.2379
2023-04-21,52.3164
2023-04-20,52.0800
2023-04-19,52.2362
2023-04-18,52.2131
2023-04-17,52.2403
2023-04-14,52.1456
2023-04-13,51.8200
2023-04-12,51.8667
2023-04-11,51.5958
2023-04-10,51.4623
2023-04-06,51.5212
2023-04-05,51.5820
