,SMA
2024-06-04,260.2820
2024-06-03,260.1268
2024-05-31,259.9371
2024-05-30,259.7828
2024-05-29,259.6359
2024-05-28,259.4839
2024-05-24,259.3088
2024-05-23,259.1269
2024-05-22,258.9436
2024-05-21,258.7528
2024-05-20,258.5436
2024-05-17,258.3184
2024-05-16,258.1021
2024-05-15,257.8700
2024-05-14,257.6577
2024-05-13,257.4269
2024-05-10,257.2002
2024-05-09,256.9532
2024-05-08,256.7626
2024-05-07,256.5653
2024-05-06,256.3887
2024-05-03,256.2395
2024-05-02,256.0939
2024-05-01,255.9558
2024-04-30,255.8237
2024-04-29,255.6878
2024-04-26,255.5383
2024-04-25,255.3642
2024-04-24,255.1867
2024-04-23,254.9524
2024-04-22,254.7594
2024-04-19,254.5893
2024-04-18,254.3975
2024-04-17,254.2130
2024-04-16,254.0213
2024-04-15,253.8063
2024-04-12,253.5481
2024-04-11,253.3015
2024-04-10,253.0724
2024-04-09,252.8252
2024-04-08,252.5627
2024-04-05,252.3059
2024-04-04,252.0542
2024-04-03,251.7885
2024-04-02,251.4903
2024-04-01,251.2129
2024-03-28,250.9331
2024-03-27,250.6567
2024-03-26,250.3676
2024-03-25,250.0663
2024-03-22,249.7802
2024-03-21,249.4576
2024-03-20,249.1412
2024-03-19,248.8408
2024-03-18,248.5153
2024-03-15,248.1899
2024-03-14,247.8911
2024-03-13,247.5595
2024-03-12,247.2425
2024-03-11,246.9427
2024-03-08,246.6856
2024-03-07,246.4507
2024-03-06,246.2099
2024-03-05,245.9655
2024-03-04,245.7214
2024-03-01,245.4638
2024-02-29,245.1975
2024-02-28,244.9237
2024-02-27,244.6607
2024-02-26,244.4027
2024-02-23,244.1344
2024-02-22,243.8585
2024-02-21,243.5959
2024-02-20,243.3386
2024-02-16,243.0923
2024-02-15,242.8387
2024-02-14,242.6061
2024-02-13,242.3585
2024-02-12,242.1246
2024-02-09,241.8900
2024-02-08,241.6714
2024-02-07,241.4362
2024-02-06,241.2082
2024-02-05,240.9904
2024-02-02,240.7673
2024-02-01,240.5419
2024-01-31,240.3389
2024-01-30,240.1122
2024-01-29,239.8806
2024-01-26,239.6893
2024-01-25,239.4886
2024-01-24,239.2509
2024-01-23,239.0130
2024-01-22,238.7833
2024-01-19,238.5611
2024-01-18,238.3405
2024-01-17,238.1133
2024-01-16,237.9050
2024-01-12,237.6930
2024-01-11,237.4757
2024-01-10,237.2556
2024-01-09,237.0284
2024-01-08,236.8148
2024-01-05,236.6168
2024-01-04,236.4138
2024-01-03,236.2028
2024-01-02,235.9789
2023-12-29,235.7511
2023-12-28,235.5149
2023-12-27,235.3065
2023-12-26,235.0779
2023-12-22,234.8746
2023-12-21,234.6758
2023-12-20,234.4922
2023-12-19,234.3174
2023-12-18,234.1380
2023-12-15,233.9397
2023-12-14,233.7509
2023-12-13,233.5265
2023-12-12,233.3250
2023-12-11,233.1363
2023-12-08,232.9480
2023-12-07,232.7748
2023-12-06,232.5966
2023-12-05,232.4125
2023-12-04,232.2564
2023-12-01,232.1011
2023-11-30,231.9539
2023-11-29,231.8197
2023-11-28,231.6783
2023-11-27,231.5476
2023-11-24,231.4317
2023-11-22,231.3038
2023-11-21,231.1704
2023-11-20,231.0552
2023-11-17,230.9420
2023-11-16,230.8557
2023-11-15,230.7510
2023-11-14,230.6523
2023-11-13,230.5637
2023-11-10,230.4701
2023-11-09,230.3717
2023-11-08,230.2499
2023-11-07,230.1342
2023-11-06,230.0343
2023-11-03,229.9143
2023-11-02,229.7737
2023-11-01,229.6886
2023-10-31,229.6139
2023-10-30,229.5496
2023-10-27,229.4930
2023-10-26,229.4376
2023-10-25,229.3539
2023-10-24,229.2821
2023-10-23,229.1821
2023-10-20,229.0887
2023-10-19,228.9608
2023-10-18,228.8147
2023-10-17,228.6415
2023-10-16,228.4682
2023-10-13,228.3016
2023-10-12,228.1443
2023-10-11,227.9765
2023-10-10,227.8125
2023-10-09,227.6658
2023-10-06,227.5162
2023-10-05,227.3784
2023-10-04,227.2585
2023-10-03,227.1537
2023-10-02,227.0600
2023-09-29,227.0055
2023-09-28,226.8859
2023-09-27,226.7668
2023-09-26,226.6577
2023-09-25,226.5367
2023-09-22,226.4145
2023-09-21,226.3034
2023-09-20,226.1728
2023-09-19,226.0342
2023-09-18,225.8454
2023-09-15,225.6824
2023-09-14,225.5290
2023-09-13,225.3574
2023-09-12,225.1667
2023-09-11,224.9649
2023-09-08,224.7749
2023-09-07,224.5967
2023-09-06,224.4041
2023-09-05,224.2150
2023-09-01,224.0183
2023-08-31,223.7939
2023-08-30,223.5912
2023-08-29,223.3700
2023-08-28,223.1515
2023-08-25,222.9379
2023-08-24,222.7159
2023-08-23,222.4831
2023-08-22,222.2612
2023-08-21,222.0828
2023-08-18,221.9229
2023-08-17,221.7821
2023-08-16,221.5999
2023-08-15,221.4266
2023-08-14,221.1929
2023-08-11,220.9375
2023-08-10,220.6883
2023-08-09,220.4084
2023-08-08,220.1345
2023-08-07,219.8563
2023-08-04,219.6037
2023-08-03,219.3400
2023-08-02,219.0901
2023-08-01,218.7690
2023-07-31,218.4755
2023-07-28,218.1939
2023-07-27,217.9379
2023-07-26,217.6645
2023-07-25,217.4367
2023-07-24,217.1498
2023-07-21,216.8731
2023-07-20,216.5679
2023-07-19,216.2592
2023-07-18,215.9440
2023-07-17,215.6119
2023-07-14,215.3056
2023-07-13,214.9939
2023-07-12,214.6890
2023-07-11,214.4094
2023-07-10,214.1738
2023-07-07,213.9401
2023-07-06,213.7103
2023-07-05,213.4660
2023-07-03,213.2797
2023-06-30,213.0900
2023-06-29,212.9140
2023-06-28,212.7971
2023-06-27,212.6647
2023-06-26,212.5094
2023-06-23,212.3508
2023-06-22,212.1992
2023-06-21,212.0743
2023-06-20,211.9322
2023-06-16,211.7971
2023-06-15,211.6790
2023-06-14,211.5698
2023-06-13,211.4940
2023-06-12,211.3972
2023-06-09,211.3026
2023-06-08,211.2186
2023-06-07,211.1370
2023-06-06,211.0664
2023-06-05,210.9962
2023-06-02,210.9255
2023-06-01,210.8482
2023-05-31,210.7804
2023-05-30,210.7393
2023-05-26,210.6746
2023-05-25,210.6215
2023-05-24,210.5613
2023-05-23,210.5164
2023-05-22,210.4160
2023-05-19,210.2947
2023-05-18,210.1574
2023-05-17,210.0272
2023-05-16,209.8984
2023-05-15,209.7881
2023-05-12,209.6778
2023-05-11,209.5641
2023-05-10,209.4718
2023-05-09,209.3678
2023-05-08,209.2961
2023-05-05,209.2001
2023-05-04,209.1129
2023-05-03,209.0244
2023-05-02,208.9414
2023-05-01,208.8233
2023-04-28,208.6546
2023-04-27,208.5088
2023-04-26,208.3769
2023-04-25,208.2262
2023-04-24,208.0681
2023-04-21,207.9051
2023-04-20,207.7258
2023-04-19,207.5406
2023-04-18,207.3504
2023-04-17,207.1545
2023-04-14,206.9669
2023-04-13,206.8173
2023-04-12,206.6937
2023-04-11,206.5284
2023-04-10,206.3697
2023-04-06,206.1941
2023-04-05,206.0374
2023-04-04,205.8345
2023-04-03,205.6427
2023-03-31,205.4920
2023-03-30,205.3333
2023-03-29,205.1744
2023-03-28,205.0662
2023-03-27,205.0091
2023-03-24,204.9590
2023-03-23,204.9054
2023-03-22,204.8743
2023-03-21,204.8206
2023-03-20,204.7675
2023-03-17,204.7367
2023-03-16,204.7081
2023-03-15,204.6763
2023-03-14,204.6241
2023-03-13,204.5319
2023-03-10,204.4727
