,EMA
2024-06-04,56.7114
2024-06-03,56.6181
2024-05-31,56.5287
2024-05-30,56.4469
2024-05-29,56.3617
2024-05-28,56.2774
2024-05-24,56.1875
2024-05-23,56.0976
2024-05-22,56.0064
2024-05-21,55.9162
2024-05-20,55.8297
2024-05-17,55.7433
2024-05-16,55.6579
2024-05-15,55.5719
2024-05-14,55.5291
2024-05-13,55.4789
2024-05-10,55.4273
2024-05-09,55.3772
2024-05-08,55.3287
2024-05-07,55.2775
2024-05-06,55.2304
2024-05-03,55.1845
2024-05-02,55.1420
2024-05-01,55.1059
2024-04-30,55.0657
2024-04-29,55.0161
2024-04-26,54.9663
2024-04-25,54.9167
2024-04-24,54.8671
2024-04-23,54.8279
2024-04-22,54.7755
2024-04-19,54.7294
2024-04-18,54.6840
2024-04-17,54.6344
2024-04-16,54.5810
2024-04-15,54.5283
2024-04-12,54.4703
2024-04-11,54.4168
2024-04-10,54.3552
2024-04-09,54.3043
2024-04-08,54.2505
2024-04-05,54.1987
2024-04-04,54.1470
2024-04-03,54.0949
2024-04-02,54.0438
2024-04-01,53.9870
2024-03-28,53.9255
2024-03-27,53.8599
2024-03-26,53.7916
2024-03-25,53.7266
2024-03-22,53.6569
2024-03-21,53.5820
2024-03-20,53.5067
2024-03-19,53.4351
2024-03-18,53.3615
2024-03-15,53.2899
2024-03-14,53.2178
2024-03-13,53.1388
2024-03-12,53.0614
2024-03-11,52.9863
2024-03-08,52.9189
2024-03-07,52.8518
2024-03-06,52.7741
2024-03-05,52.7044
2024-03-04,52.6365
2024-03-01,52.5815
2024-02-29,52.5230
2024-02-28,52.4575
2024-02-27,52.3903
2024-02-26,52.3215
2024-02-23,52.2572
2024-02-22,52.1965
2024-02-21,52.1425
2024-02-20,52.0843
2024-02-16,52.0139
2024-02-15,51.9700
2024-02-14,51.9274
2024-02-13,51.8878
2024-02-12,51.8416
2024-02-09,51.7995
2024-02-08,51.7565
2024-02-07,51.7131
2024-02-06,51.6663
2024-02-05,51.6239
2024-02-02,51.5771
2024-02-01,51.5359
2024-01-31,51.5026
2024-01-30,51.4618
2024-01-29,51.4310
2024-01-26,51.4011
2024-01-25,51.3752
2024-01-24,51.3545
2024-01-23,51.3286
2024-01-22,51.3050
2024-01-19,51.2790
2024-01-18,51.2506
2024-01-17,51.2294
2024-01-16,51.2073
2024-01-12,51.1848
2024-01-11,51.1623
2024-01-10,51.1397
2024-01-09,51.1227
2024-01-08,51.1110
2024-01-05,51.1033
2024-01-04,51.0915
