,RSI
2024-06-05,57.8038
2024-06-04,57.5133
2024-06-03,57.2711
2024-05-31,56.8426
2024-05-30,57.0187
2024-05-29,56.9268
2024-05-28,57.2448
2024-05-24,57.1993
2024-05-23,57.2262
2024-05-22,57.1307
2024-05-21,56.9039
2024-05-20,56.8484
2024-05-17,56.7577
2024-05-16,56.7476
2024-05-15,54.4344
2024-05-14,54.8935
2024-05-13,54.9604
2024-05-10,54.8455
2024-05-09,54.7306
2024-05-08,54.8778
2024-05-07,54.6276
2024-05-06,54.5349
2024-05-03,54.3273
2024-05-02,53.9531
2024-05-01,54.1935
2024-04-30,54.7778
2024-04-29,54.7669
2024-04-26,54.7288
2024-04-25,54.6964
2024-04-24,54.1096
2024-04-23,54.9495
2024-04-22,54.5698
2024-04-19,54.5090
2024-04-18,54.7610
2024-04-17,54.9739
2024-04-16,54.9085
2024-04-15,55.2279
2024-04-12,54.9508
2024-04-11,55.4529
2024-04-10,54.8343
2024-04-09,55.0024
2024-04-08,54.8537
2024-04-05,54.8261
2024-04-04,54.8207
2024-04-03,54.7332
2024-04-02,55.0779
2024-04-01,55.3513
2024-03-28,55.5857
2024-03-27,55.7266
2024-03-26,55.5075
2024-03-25,55.7822
2024-03-22,56.0852
2024-03-21,56.0641
2024-03-20,55.8317
2024-03-19,55.9186
2024-03-18,55.7710
2024-03-15,55.7658
2024-03-14,56.1648
2024-03-13,56.0461
2024-03-12,55.8847
2024-03-11,55.4384
2024-03-08,55.3856
2024-03-07,56.0468
2024-03-06,55.5825
2024-03-05,55.4495
2024-03-04,54.7099
2024-03-01,54.9085
2024-02-29,55.3416
2024-02-28,55.4085
2024-02-27,55.4686
2024-02-26,55.1894
2024-02-23,54.9606
2024-02-22,54.5590
2024-02-21,54.8054
2024-02-20,55.5816
2024-02-16,54.0580
2024-02-15,53.9640
2024-02-14,53.7623
2024-02-13,54.1830
2024-02-12,53.9163
2024-02-09,53.9523
2024-02-08,53.9504
2024-02-07,54.1493
2024-02-06,53.8678
2024-02-05,54.1405
2024-02-02,53.7857
2024-02-01,53.3123
2024-01-31,53.7821
2024-01-30,53.1760
2024-01-29,53.1069
2024-01-26,52.8498
2024-01-25,52.5210
2024-01-24,52.8544
2024-01-23,52.6990
2024-01-22,52.8479
2024-01-19,52.9901
2024-01-18,52.5393
2024-01-17,52.5879
2024-01-16,52.6012
2024-01-12,52.5873
2024-01-11,52.5834
2024-01-10,52.2306
2024-01-09,51.9064
2024-01-08,51.6600
2024-01-05,51.9225
2024-01-04,52.2015
2024-01-03,52.3230
2024-01-02,51.8211
2023-12-29,51.8815
2023-12-28,51.9331
2023-12-27,51.6419
2023-12-26,51.7145
2023-12-22,51.4750
2023-12-21,51.1838
2023-12-20,51.4848
2023-12-19,51.3686
2023-12-18,51.0690
2023-12-15,50.7508
2023-12-14,51.1173
2023-12-13,50.7164
2023-12-12,50.6489
2023-12-11,50.6326
2023-12-08,50.8121
2023-12-07,51.3067
2023-12-06,51.4383
2023-12-05,51.2185
2023-12-04,50.9918
2023-12-01,51.4253
2023-11-30,51.5609
2023-11-29,52.1484
2023-11-28,51.7285
2023-11-27,51.5862
2023-11-24,51.4257
2023-11-22,51.5469
2023-11-21,51.4950
2023-11-20,51.5119
2023-11-17,51.5981
2023-11-16,52.1919
2023-11-15,54.3313
2023-11-14,54.2906
2023-11-13,53.9429
2023-11-10,53.5837
2023-11-09,53.5482
2023-11-08,53.8827
2023-11-07,53.8690
2023-11-06,53.6212
2023-11-03,53.9345
2023-11-02,53.6415
2023-11-01,53.6083
2023-10-31,53.3713
2023-10-30,53.0677
2023-10-27,53.0722
2023-10-26,53.3468
2023-10-25,53.4475
2023-10-24,53.1031
2023-10-23,52.5733
2023-10-20,53.0422
2023-10-19,53.1770
2023-10-18,53.2781
2023-10-17,53.0532
2023-10-16,53.0137
2023-10-13,52.7607
2023-10-12,52.6160
2023-10-11,52.5625
2023-10-10,52.1584
2023-10-09,51.9275
2023-10-06,52.7131
2023-10-05,53.1163
2023-10-04,52.9572
2023-10-03,52.9661
2023-10-02,52.9266
2023-09-29,53.7220
2023-09-28,53.5198
2023-09-27,53.5198
2023-09-26,53.7320
2023-09-25,53.6210
2023-09-22,53.5938
2023-09-21,54.0510
2023-09-20,53.9239
2023-09-19,53.8816
2023-09-18,54.1742
2023-09-15,54.2938
2023-09-14,54.2539
2023-09-13,54.2407
2023-09-12,54.1597
2023-09-11,54.0657
2023-09-08,53.9680
2023-09-07,53.6889
2023-09-06,53.3850
2023-09-05,53.7028
2023-09-01,53.9275
2023-08-31,53.5960
2023-08-30,53.4590
2023-08-29,53.1915
2023-08-28,52.9724
2023-08-25,52.8415
2023-08-24,53.0468
2023-08-23,52.7545
2023-08-22,52.8320
2023-08-21,52.9740
2023-08-18,52.5279
2023-08-17,53.7505
2023-08-16,53.5542
2023-08-15,53.4887
