,SMA
2024-06-04,55.9051
2024-06-03,55.8405
2024-05-31,55.7766
2024-05-30,55.7164
2024-05-29,55.6589
2024-05-28,55.5999
2024-05-24,55.5390
2024-05-23,55.4778
2024-05-22,55.4165
2024-05-21,55.3537
2024-05-20,55.2936
2024-05-17,55.2328
2024-05-16,55.1721
2024-05-15,55.1138
2024-05-14,55.0776
2024-05-13,55.0367
2024-05-10,54.9967
2024-05-09,54.9563
2024-05-08,54.9190
2024-05-07,54.8773
2024-05-06,54.8369
2024-05-03,54.7926
2024-05-02,54.7499
2024-05-01,54.7104
2024-04-30,54.6686
2024-04-29,54.6219
2024-04-26,54.5774
2024-04-25,54.5331
2024-04-24,54.4882
2024-04-23,54.4484
2024-04-22,54.4042
2024-04-19,54.3669
2024-04-18,54.3306
2024-04-17,54.2902
2024-04-16,54.2451
2024-04-15,54.1999
2024-04-12,54.1527
2024-04-11,54.1070
2024-04-10,54.0601
2024-04-09,54.0192
2024-04-08,53.9755
2024-04-05,53.9319
2024-04-04,53.8894
2024-04-03,53.8525
2024-04-02,53.8147
2024-04-01,53.7724
2024-03-28,53.7258
2024-03-27,53.6757
2024-03-26,53.6224
2024-03-25,53.5683
2024-03-22,53.5102
2024-03-21,53.4507
2024-03-20,53.3908
2024-03-19,53.3296
2024-03-18,53.2660
2024-03-15,53.2026
2024-03-14,53.1407
2024-03-13,53.0747
2024-03-12,53.0119
2024-03-11,52.9533
2024-03-08,52.8980
2024-03-07,52.8461
2024-03-06,52.7920
2024-03-05,52.7429
2024-03-04,52.6939
2024-03-01,52.6513
2024-02-29,52.6115
2024-02-28,52.5687
2024-02-27,52.5237
2024-02-26,52.4801
2024-02-23,52.4375
2024-02-22,52.3946
2024-02-21,52.3537
2024-02-20,52.3114
2024-02-16,52.2641
2024-02-15,52.2302
2024-02-14,52.1964
2024-02-13,52.1647
2024-02-12,52.1292
2024-02-09,52.0962
2024-02-08,52.0668
2024-02-07,52.0347
2024-02-06,52.0017
2024-02-05,51.9682
2024-02-02,51.9337
2024-02-01,51.9006
2024-01-31,51.8696
2024-01-30,51.8358
2024-01-29,51.8082
2024-01-26,51.7814
2024-01-25,51.7587
2024-01-24,51.7376
2024-01-23,51.7116
2024-01-22,51.6842
2024-01-19,51.6579
2024-01-18,51.6292
2024-01-17,51.6024
2024-01-16,51.5734
2024-01-12,51.5426
2024-01-11,51.5106
2024-01-10,51.4773
2024-01-09,51.4440
2024-01-08,51.4121
2024-01-05,51.3830
2024-01-04,51.3530
2024-01-03,51.3188
2024-01-02,51.2806
2023-12-29,51.2486
2023-12-28,51.2110
2023-12-27,51.1743
2023-12-26,51.1384
2023-12-22,51.1025
2023-12-21,51.0715
2023-12-20,51.0425
2023-12-19,51.0154
2023-12-18,50.9882
2023-12-15,50.9643
2023-12-14,50.9410
