,SMA
2024-06-04,107.5695
2024-06-03,107.5275
2024-05-31,107.4733
2024-05-30,107.4420
2024-05-29,107.4149
2024-05-28,107.3753
2024-05-24,107.3398
2024-05-23,107.2905
2024-05-22,107.2246
2024-05-21,107.1583
2024-05-20,107.0876
2024-05-17,107.0003
2024-05-16,106.9219
2024-05-15,106.8457
2024-05-14,106.7656
2024-05-13,106.6892
2024-05-10,106.6137
2024-05-09,106.5333
2024-05-08,106.4643
2024-05-07,106.3943
2024-05-06,106.3156
2024-05-03,106.2321
2024-05-02,106.1447
2024-05-01,106.0554
2024-04-30,105.9551
2024-04-29,105.8667
2024-04-26,105.7944
2024-04-25,105.7208
2024-04-24,105.6288
2024-04-23,105.5294
2024-04-22,105.4263
2024-04-19,105.3423
2024-04-18,105.2710
2024-04-17,105.1998
2024-04-16,105.1301
2024-04-15,105.0473
2024-04-12,104.9504
2024-04-11,104.8430
2024-04-10,104.7280
2024-04-09,104.6221
2024-04-08,104.5186
2024-04-05,104.4130
2024-04-04,104.3234
2024-04-03,104.2465
2024-04-02,104.1633
2024-04-01,104.0973
2024-03-28,104.0384
2024-03-27,103.9764
2024-03-26,103.9372
2024-03-25,103.8938
2024-03-22,103.8449
2024-03-21,103.7849
2024-03-20,103.7425
2024-03-19,103.6912
2024-03-18,103.6259
2024-03-15,103.5654
2024-03-14,103.5144
2024-03-13,103.4837
2024-03-12,103.4540
2024-03-11,103.4316
2024-03-08,103.4065
2024-03-07,103.3857
2024-03-06,103.3716
2024-03-05,103.3476
2024-03-04,103.3284
2024-03-01,103.3096
2024-02-29,103.2947
2024-02-28,103.2845
2024-02-27,103.2762
2024-02-26,103.2823
2024-02-23,103.2865
2024-02-22,103.3003
2024-02-21,103.3034
2024-02-20,103.3090
2024-02-16,103.3161
2024-02-15,103.3457
2024-02-14,103.4020
2024-02-13,103.4581
2024-02-12,103.5019
2024-02-09,103.5554
2024-02-08,103.6067
2024-02-07,103.6587
2024-02-06,103.7140
2024-02-05,103.7636
2024-02-02,103.8208
2024-02-01,103.8586
2024-01-31,103.9026
2024-01-30,103.9428
2024-01-29,103.9882
2024-01-26,104.0382
2024-01-25,104.0875
2024-01-24,104.1441
2024-01-23,104.2204
2024-01-22,104.2970
2024-01-19,104.3784
2024-01-18,104.4460
2024-01-17,104.4944
2024-01-16,104.5442
2024-01-12,104.5710
2024-01-11,104.5837
2024-01-10,104.5985
2024-01-09,104.5939
2024-01-08,104.6005
2024-01-05,104.6169
2024-01-04,104.6086
2024-01-03,104.5741
2024-01-02,104.5532
2023-12-29,104.5318
2023-12-28,104.5308
2023-12-27,104.5417
2023-12-26,104.5446
2023-12-22,104.5643
2023-12-21,104.5923
2023-12-20,104.6262
2023-12-19,104.6577
2023-12-18,104.6926
2023-12-15,104.7176
2023-12-14,104.7529
2023-12-13,104.7856
2023-12-12,104.8364
2023-12-11,104.8819
2023-12-08,104.9149
2023-12-07,104.9585
2023-12-06,104.9967
2023-12-05,105.0358
2023-12-04,105.0799
2023-12-01,105.1301
2023-11-30,105.1804
2023-11-29,105.2340
2023-11-28,105.2852
2023-11-27,105.3264
2023-11-24,105.3594
2023-11-22,105.3949
2023-11-21,105.4247
2023-11-20,105.4465
2023-11-17,105.4602
2023-11-16,105.4994
2023-11-15,105.5441
2023-11-14,105.5658
2023-11-13,105.6000
2023-11-10,105.6490
2023-11-09,105.6879
2023-11-08,105.7210
2023-11-07,105.7344
2023-11-06,105.7656
2023-11-03,105.7679
2023-11-02,105.7630
2023-11-01,105.7854
2023-10-31,105.8055
2023-10-30,105.8287
2023-10-27,105.8450
2023-10-26,105.8421
2023-10-25,105.8404
2023-10-24,105.8424
2023-10-23,105.8311
2023-10-20,105.7976
2023-10-19,105.7456
2023-10-18,105.7183
2023-10-17,105.6897
2023-10-16,105.6684
2023-10-13,105.6525
2023-10-12,105.6456
2023-10-11,105.6297
2023-10-10,105.6214
2023-10-09,105.5953
2023-10-06,105.5571
2023-10-05,105.5423
2023-10-04,105.5003
2023-10-03,105.4453
2023-10-02,105.3962
2023-09-29,105.3360
2023-09-28,105.2493
2023-09-27,105.1619
2023-09-26,105.0928
2023-09-25,105.0234
2023-09-22,104.9661
2023-09-21,104.9285
2023-09-20,104.8791
2023-09-19,104.8420
2023-09-18,104.7943
2023-09-15,104.7475
2023-09-14,104.6991
2023-09-13,104.6677
2023-09-12,104.6295
2023-09-11,104.6010
2023-09-08,104.5578
2023-09-07,104.5269
2023-09-06,104.4973
2023-09-05,104.4836
2023-09-01,104.4687
2023-08-31,104.4574
2023-08-30,104.4469
2023-08-29,104.4284
2023-08-28,104.4274
2023-08-25,104.4341
2023-08-24,104.4408
2023-08-23,104.4551
2023-08-22,104.4456
2023-08-21,104.4399
2023-08-18,104.4321
2023-08-17,104.4240
2023-08-16,104.4168
2023-08-15,104.4004
2023-08-14,104.3619
2023-08-11,104.3242
2023-08-10,104.2892
2023-08-09,104.2493
2023-08-08,104.2160
2023-08-07,104.1811
2023-08-04,104.1387
2023-08-03,104.0937
2023-08-02,104.0589
2023-08-01,104.0055
2023-07-31,103.9486
2023-07-28,103.8988
2023-07-27,103.8696
2023-07-26,103.8393
2023-07-25,103.7958
2023-07-24,103.7398
2023-07-21,103.6753
2023-07-20,103.5966
2023-07-19,103.5170
2023-07-18,103.4447
2023-07-17,103.3632
2023-07-14,103.2803
2023-07-13,103.1780
2023-07-12,103.0786
2023-07-11,102.9965
2023-07-10,102.9292
2023-07-07,102.8690
2023-07-06,102.8057
2023-07-05,102.7463
2023-07-03,102.6801
2023-06-30,102.6143
2023-06-29,102.5514
2023-06-28,102.5014
2023-06-27,102.4526
2023-06-26,102.3963
2023-06-23,102.3420
2023-06-22,102.2998
2023-06-21,102.2573
2023-06-20,102.2073
2023-06-16,102.1450
2023-06-15,102.0949
2023-06-14,102.0482
2023-06-13,101.9948
2023-06-12,101.9425
2023-06-09,101.8935
2023-06-08,101.8201
2023-06-07,101.7351
2023-06-06,101.6632
2023-06-05,101.5993
2023-06-02,101.5118
2023-06-01,101.4377
2023-05-31,101.3731
2023-05-30,101.3150
2023-05-26,101.2490
2023-05-25,101.1582
